stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MELFI;2016;1;0;0;1.8;0;3.2;0.4;0;0;0.8;0.2;0;0
MELFI;2016;2;0.6;0;0;0;25.4;0;0;0;0;14.6;0;0
MELFI;2016;3;12.4;0;5.6;0;17;0;0;0;0;0;0;0
MELFI;2016;4;0.4;1;0;0;2.8;0.2;0;0;0;0.2;0;0
MELFI;2016;5;4;0;0;0;0.2;0;0;0;8;0.2;0;0
MELFI;2016;6;2.6;0;0.8;0;0;18;3.6;5.4;5;0;0;0
MELFI;2016;7;0;0;0;0.4;0;0;0;35.4;10.6;29.6;29;0
MELFI;2016;8;0;0;0;12.4;0;4.6;0;1.6;17.2;0.4;19;0
MELFI;2016;9;0;0;0.2;9.6;0;9.4;0;0;8.6;0.2;2.8;0
MELFI;2016;10;1.2;0;1;21.2;0;13;0;0;18.6;1;4.6;0
MELFI;2016;11;0;6.2;3.6;0;6.4;0;0;0;11.8;2;7.6;0
MELFI;2016;12;0;0.2;63.2;0;0.2;0.2;0;0;5.6;1.6;12;1.4
MELFI;2016;13;0;9.4;55.8;0;0;26.6;0;0;17;0;0;0.2
MELFI;2016;14;0;3.6;1;0;3.4;0;0;0;0.2;0.2;5.4;0
MELFI;2016;15;4.2;11.2;3.4;0;0;0;11.4;0;0;0;1.6;0
MELFI;2016;16;10;0;1.4;0;4.6;0;16.8;0;0;0.2;0;0.6
MELFI;2016;17;0.8;0;19.4;0;9.4;0;0;0;3.6;0.2;0.2;0
MELFI;2016;18;0;13;7.2;0;0.2;0;0;0;5.4;1.4;0.2;0
MELFI;2016;19;0;0;0;0;1;2.6;0;2.6;2.2;0;0;0
MELFI;2016;20;0;0;0;0;18.6;0;0;0;0.2;0.2;0.6;6.8
MELFI;2016;21;1.2;0;0;0;2.6;0;0;0;3.6;4.2;0.2;0.2
MELFI;2016;22;0;0;5.2;0;0;0;0;0;0.2;0;0;0
MELFI;2016;23;0;0;14;8.6;0;30;0;0.4;0.2;0.2;0.2;0
MELFI;2016;24;7.6;0;10.2;0.8;0;0;6.8;0;0;0.4;0.2;0
MELFI;2016;25;0;0;0;19;0;0;33.8;0;0.2;0;7.4;0
MELFI;2016;26;0;1.8;0;0;0;18.6;0;0;0;1;0;0
MELFI;2016;27;0;0;0;0;0;0;1.2;0;0.2;30.4;0.2;1.2
MELFI;2016;28;0;0;0;0;0;0;12.6;0;0.2;0.2;15.6;0.6
MELFI;2016;29;0;2.4;0;0.2;0;0;0;0;0;0;0.2;0
MELFI;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
MELFI;2016;31;0;NA;0;NA;0;NA;0;3;NA;0.2;NA;0
