stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MESAGNE;2016;1;0;0;0.2;0;4.8;0;0;0;0.4;0;0;0
MESAGNE;2016;2;1.4;0;0;0;50.4;0;0;0;0;0;0;0
MESAGNE;2016;3;3.2;0;1.2;0;0.2;0.6;0;0;0;0;0;0
MESAGNE;2016;4;2.8;3.2;0;0;0;0;0;0;0;0;0;0
MESAGNE;2016;5;1.4;0;0.2;0.2;0;5.2;0;0;0.8;0;0.2;0.2
MESAGNE;2016;6;3.2;0;14.2;0;0;0;0.6;3.2;31.2;0;0.2;0.2
MESAGNE;2016;7;0;0;1.6;0;0;0;0;7.8;4.8;17;3.2;0.2
MESAGNE;2016;8;0.2;0;0;4.4;1;0;0;0;36.2;0;4.4;0
MESAGNE;2016;9;0;0;0;0.2;0;0;0;0;40.2;4.2;0.6;0
MESAGNE;2016;10;0.2;1;0;8.4;0;0;0;0;32.4;0.6;1.2;0.2
MESAGNE;2016;11;0;3.6;0;0.2;1.6;0;0;0.8;53.8;3.2;0;0.2
MESAGNE;2016;12;0;2.8;16;0;0.2;0;0;0.2;8.8;2.6;2.4;0.6
MESAGNE;2016;13;0.2;6.2;4.8;0;0;3;0;0;0.2;0;0;0
MESAGNE;2016;14;0;0;0.4;0;0;0.4;0;0;0;0;0;0
MESAGNE;2016;15;2;0.2;0.2;0;0;0;0.6;0;0.2;0;3.8;1
MESAGNE;2016;16;28;0;22.2;0;0;0;3.6;0;0.2;0;0;0
MESAGNE;2016;17;0.4;0;6.8;0;8.2;0;0;0;0;0;0;0
MESAGNE;2016;18;0;9.8;32;0;0.2;0;0;0;0;13;0;0
MESAGNE;2016;19;0;0;0.2;0;0;0.2;0;0;3;0.2;5.8;0.2
MESAGNE;2016;20;0;0;0;0;60.4;0;0;0;0.2;11;1.4;0
MESAGNE;2016;21;0;0;0.2;0;1.4;0;0;0;8.2;22.2;0;0
MESAGNE;2016;22;0;0;0;0.4;0;0;0;0;0;0.2;0.4;0
MESAGNE;2016;23;0;1;18.4;2;0;0;0;0;0;1.2;0.2;0
MESAGNE;2016;24;0.8;1.4;0.4;0.2;0;0;0;0;0;0.2;0.4;0
MESAGNE;2016;25;0;0.2;0;3.8;0;0;0;0;0;0.2;5;0
MESAGNE;2016;26;0;0;0.2;0;0;0;0;0;0;0.4;10.6;0
MESAGNE;2016;27;0.2;0.2;0;0;0;0;0;0;0;7.4;0.6;1.2
MESAGNE;2016;28;0;0;0;0;0;0;0;0;0;1.4;2.2;0.8
MESAGNE;2016;29;0;1.2;0;0.2;0;0;0;0;0;0;3.6;0.4
MESAGNE;2016;30;0;NA;0;0;0;0;0;0;0;0.2;0;0
MESAGNE;2016;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
