stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MONTEMILONE;2016;1;0;0;0.4;0;5.4;0.2;0;0;0;0;0;0
MONTEMILONE;2016;2;0;0;0;0;17.2;0;12.8;0;0;9.2;0;0
MONTEMILONE;2016;3;7.6;0;2.2;0;8.6;22.6;0;0;0;0.2;0;0
MONTEMILONE;2016;4;0.8;0;0.6;0;0.2;0;0;0;0;0;0;0
MONTEMILONE;2016;5;0.6;0;0;0;0.6;8.4;0;0;9.6;0;0;0
MONTEMILONE;2016;6;0.6;0;0;0;0;16.8;0.4;17.8;0;0;0;0
MONTEMILONE;2016;7;2.6;0;0;0;0;0;0;12;12.8;23.6;26.8;0
MONTEMILONE;2016;8;0;0;0.4;20.4;0;0;0;0.8;18;0;19.8;0
MONTEMILONE;2016;9;0;0;8.6;1.4;0;44;0;0;13.2;0.4;1.8;0
MONTEMILONE;2016;10;0.4;0;0.4;22;0;2;0;0;7;0;2.2;0
MONTEMILONE;2016;11;0;3.4;5.2;0;4.2;0;0;0;4.4;1;3.6;0
MONTEMILONE;2016;12;0;0.8;15.2;0;0;0.2;0;0;2.6;3.4;7;0.2
MONTEMILONE;2016;13;0;2.2;27.2;0;0;9.2;0;0;22.8;0;0;0
MONTEMILONE;2016;14;0;0.8;9.6;0;4.2;0;0;0;0;0;1.6;0
MONTEMILONE;2016;15;2;11.4;1.4;0;0;0;9;0;0;0;0.8;0
MONTEMILONE;2016;16;4.2;0;6.4;0;1.8;0;8.4;0;0;0;0;0
MONTEMILONE;2016;17;1.4;0;11.8;0;8.4;0;0;0;5;0;0;0
MONTEMILONE;2016;18;0;12.2;7.8;0;0;0;0;0;10.8;4.6;0;0
MONTEMILONE;2016;19;0;0;0;0;0.2;0.8;0;0;1.8;0;0;0
MONTEMILONE;2016;20;0;0.6;0;0;16.6;0;0;0;2.2;0;0;0.4
MONTEMILONE;2016;21;1.4;0;0;0;6.2;0;0;0;2.6;3.2;0;0
MONTEMILONE;2016;22;0.4;0;2.6;0;0;0;0;0;0;0;0;0
MONTEMILONE;2016;23;0;0;4.8;4;0;0.2;0;0;0;0;0;0
MONTEMILONE;2016;24;0;0;14.2;0.6;0.2;0;3;0;0;0;0;0
MONTEMILONE;2016;25;0;0;0;7.6;0;0;3.2;0;0;0;2.4;0
MONTEMILONE;2016;26;0;0;0;0;0;3.4;0;0;0;1;0;0
MONTEMILONE;2016;27;0;0;0;0;0;0;0;0;0;11.6;0;0.2
MONTEMILONE;2016;28;0;0;0;0;0;0;23.4;0;0;0;3.4;0
MONTEMILONE;2016;29;0;0.6;0;0.2;0;0;0;0;0;0;0.6;2.8
MONTEMILONE;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
MONTEMILONE;2016;31;0;NA;0;NA;0;NA;0;58.2;NA;0;NA;0
