stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
NARDÒ;2016;1;0;0;0;0;6.4;0;0;0;3.8;0;0;0
NARDÒ;2016;2;0.2;0;0;0;32;0;0;0;0;0;0;0
NARDÒ;2016;3;6.2;0;3;0;7.8;0;0;0;0;0;0;0
NARDÒ;2016;4;2.6;0.4;0;0.2;0.2;0;0;0;0;0;0.2;0
NARDÒ;2016;5;2.6;0.4;0;0;0;0;0;0;0;0;0;0
NARDÒ;2016;6;9.4;0;5;0;0;0;0;0;29.8;2.6;0;0
NARDÒ;2016;7;0;0;2;0;0;0;0;4;15.8;8.8;0.6;0
NARDÒ;2016;8;0;0;0;1.4;0;0;0;0;16.4;0;0.6;0
NARDÒ;2016;9;0;0;0;0.2;0;1;0;0;33.8;17.6;1;0
NARDÒ;2016;10;0.4;0;0;2.4;0;0;0;0;4;0;4;0
NARDÒ;2016;11;0;1.2;10.8;0;0.6;0;0;0;0;4.6;0.2;0
NARDÒ;2016;12;0.2;4.4;10.4;0;0.6;0;0;0;3.6;0;7.6;0
NARDÒ;2016;13;0;0.4;7.6;0;0;0;0;0;17.4;0;0;0
NARDÒ;2016;14;0;0;0;0;0;0;0;0;0;0;0;0
NARDÒ;2016;15;0.8;0;0;0;0.2;0;0.2;0;0;0;1.6;0
NARDÒ;2016;16;11.8;0;38.4;0;12;0;2;0;0;0;0;0
NARDÒ;2016;17;0.4;0;12.2;0;1.4;0;0;0;0.2;0;0.2;0
NARDÒ;2016;18;0;5;2.6;0;0.2;0;0;0;0;16.8;0;0
NARDÒ;2016;19;0;0.2;0;0;0;0;0;0;0;1;7.2;0
NARDÒ;2016;20;0;0.2;0;0;2.2;0;0;0;0;2.8;10.2;0
NARDÒ;2016;21;1;0;0.2;0;1.8;0;0;0;0.2;5.2;0.2;0
NARDÒ;2016;22;0.2;0;0;0.2;0;0;0;0;0;0.2;0.2;0
NARDÒ;2016;23;0;1.6;1.8;0;0;0;0;0;0;14.2;0;0
NARDÒ;2016;24;0;0.8;1.4;0.6;0;0;0;0;0;0.2;0.2;0
NARDÒ;2016;25;0;0;0;3;0;0;0;0;0;0.2;0.2;0
NARDÒ;2016;26;0;0.2;5.8;0.2;0;0;0.4;0;0;0;10.6;0.2
NARDÒ;2016;27;0;0;0;0;0;0;0;0;0;27.8;5.6;0.4
NARDÒ;2016;28;0;0;0;0;0;0;0;0;0;9.8;1.2;0
NARDÒ;2016;29;0;0.2;0;0;0;0;0;0;0;0;0.4;0.2
NARDÒ;2016;30;0.2;NA;0;0;0;0;0;0;0;0;0;0
NARDÒ;2016;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;0
