stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
NOCI;2016;1;0;0;0;0.2;4.2;0;0;9.2;6.6;0;0;0
NOCI;2016;2;0.8;0;0;0;31;0.4;0;0;0;0;0;0
NOCI;2016;3;14.8;0;1.6;0;1.6;0.2;0;0;0;0;0;0
NOCI;2016;4;3.2;4.4;2.2;0;0;0;0;0;0;7.8;0;0
NOCI;2016;5;1;0;0;0;0;7.8;0;0;7.8;0;0.2;0.2
NOCI;2016;6;3.8;0;13;0;0;0;20;11.8;5.8;0;0;0.4
NOCI;2016;7;1;0;0.2;0;0;0;0;14.6;10.4;18;12;0.6
NOCI;2016;8;0.2;1;0;12.8;0;0;0;0;19.2;0;21;0
NOCI;2016;9;0;0.2;0;0.8;0;0;0;0;51.4;0.6;0;0
NOCI;2016;10;0;5.4;0.4;12;0;0;0;0;8.4;0.2;0.4;0.4
NOCI;2016;11;0;8.8;2.2;0;2.2;0;0;14.2;3.2;1;0;0.4
NOCI;2016;12;0.8;3;8.8;0;1.8;7.6;0;0;0;6.6;6.8;2.8
NOCI;2016;13;0;4.2;7.2;0;0;11.4;0;0;5.2;0;0;0
NOCI;2016;14;0;0;4.4;0;4.4;0.2;0;0;12.4;0;0;0
NOCI;2016;15;0;0;1.2;0;0.2;0;0;0;0;0;3.8;0
NOCI;2016;16;9;0;1.2;0;0;0;7;0;0;0;0;0.2
NOCI;2016;17;1.2;0;7.8;0;8;0;0;1.6;0;0;0;0
NOCI;2016;18;3.2;19;9;0;0;0;0;0;6.8;6.6;0.2;0
NOCI;2016;19;13;0;0;0;0;14;0;0;0.6;0.2;1.6;0
NOCI;2016;20;0;1;0;0;23;0;0;0;2;25;0.2;0.4
NOCI;2016;21;0.2;0;0;0;8.6;0;0;0;8;6.2;0;0
NOCI;2016;22;0.2;0;1;0;0;0;0;0;0;0.2;0.6;0
NOCI;2016;23;0;0.6;0.4;1.8;0;0;0;0;0;0.2;0.2;0
NOCI;2016;24;0.6;0.2;2.4;0.4;1;0;0;0;0;0.4;0.4;0
NOCI;2016;25;0;0;0;6.8;0;0;0;0;0;0.2;12;0
NOCI;2016;26;0;0;0.4;0;0;0;0;0;0;0.6;0;0
NOCI;2016;27;0;0;0;0;0;3;0;0;0;4.2;0.2;10.2
NOCI;2016;28;0.2;0.4;0;0.2;0;0;0.6;0;0;0.2;2.4;5
NOCI;2016;29;0;0;0;0;0;0;0;0;0;0;0.6;2.4
NOCI;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
NOCI;2016;31;0;NA;0;NA;0;NA;0;2.4;NA;0;NA;0
