stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
NOVOLI;2016;1;0;0;0;0;9.6;0;0;0;12.6;0;0;0
NOVOLI;2016;2;0.2;0;0;0;25.6;0;0;0;0;0;0;0
NOVOLI;2016;3;5;0;4.4;0;5.2;1.2;0;0;0;0;0.2;0
NOVOLI;2016;4;2.6;0.4;0;0;0;0;0;0;0;0;0.2;0
NOVOLI;2016;5;2.2;0;0;0.2;0;0;0;0;10.2;0;0;0
NOVOLI;2016;6;13.6;0;1.4;0;0;0;0;3.2;29;3.2;0.2;0
NOVOLI;2016;7;0;0;0;0;0;0;0;0.2;1.2;13.2;1;0
NOVOLI;2016;8;0;0;0;12.8;5.8;0;0;0;28.6;0;4.8;0
NOVOLI;2016;9;0.2;0;0;0;0.2;0;0;0;67;20.8;0;0
NOVOLI;2016;10;0;0.2;0;5.8;0;0;0;0;32.8;0.4;2;0
NOVOLI;2016;11;0;2.2;5.2;0;1.4;0;0;0.6;19.6;1.8;0.2;0
NOVOLI;2016;12;0;5.4;12;0;0;0;0;0;5.4;1.2;4.4;0.8
NOVOLI;2016;13;0;1;4.6;0;0;0.6;0;0;0.2;0;0;0
NOVOLI;2016;14;0;0;0;0;0;0.2;0;0;0;0;0;0
NOVOLI;2016;15;0;0;4.8;0;0;0;1;0;0;0;1.6;0
NOVOLI;2016;16;10.2;0;18;0;0;0;0.6;0;0.2;0;0;0
NOVOLI;2016;17;1.2;0;6;0;7.2;0;0;0;0.4;0;0;0
NOVOLI;2016;18;0.4;6.2;5.8;0;0;0;0;4.4;0.2;16;0;0
NOVOLI;2016;19;0;0.4;0;0;0;0;0;0;4.8;0.8;3.6;0
NOVOLI;2016;20;0;0.4;0;0;25.2;0;0;0;0.2;1.8;4.2;0
NOVOLI;2016;21;0.6;0;0;0;1.6;0;0;0;1.2;20.2;0.2;0
NOVOLI;2016;22;0;0;0;0.2;0;0;0;0;0;0.2;2.2;0
NOVOLI;2016;23;0;2;0.6;0;0;0;0;0;0;14.6;0.2;0
NOVOLI;2016;24;0.2;1.8;1.4;0;0;0;0;0;0;0.2;0.4;0
NOVOLI;2016;25;0;0.2;0;6.6;0;0;0;0;0;0.4;0.2;0
NOVOLI;2016;26;0;2.6;0;0;0;0;0;0;0;0.4;9.4;0.2
NOVOLI;2016;27;0.2;0.2;0;0;0;0;0;0;0;6.2;4.8;0.2
NOVOLI;2016;28;0.2;0;0;0.2;0;0;0;0;0;18;1.8;1
NOVOLI;2016;29;0.2;0.8;0;0.4;0;0;0;0;0;0;0.6;0
NOVOLI;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
NOVOLI;2016;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;0
