stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ORTO DI ZOLFO;2016;1;0.2;0;15;0;4;2;2.6;7.4;0.2;0.2;0.2;0
ORTO DI ZOLFO;2016;2;0.4;0;0;0;24.2;0.2;0;0;0;20.8;0.2;0
ORTO DI ZOLFO;2016;3;6.4;0;3.8;0;15.2;0;0;0;0;0.2;0.4;0
ORTO DI ZOLFO;2016;4;4.4;4.2;0;0;0;0.4;0;0;0;0.2;0.2;0.2
ORTO DI ZOLFO;2016;5;1.6;1.6;0;0;0;0.8;0;0;52.6;0.8;0;0.2
ORTO DI ZOLFO;2016;6;2.8;0;6.6;0;0.2;0.2;13.4;14.8;0.2;4.2;3.4;0
ORTO DI ZOLFO;2016;7;0.8;0;0.8;0;0;0;0;18.6;18.4;17;20.6;2.8
ORTO DI ZOLFO;2016;8;0.4;0;0.2;16.6;0;0;0;0.2;2.6;0;18.4;0
ORTO DI ZOLFO;2016;9;0;0;1.2;4.4;0;21.2;0;0;11.4;0.4;2.4;0
ORTO DI ZOLFO;2016;10;2;5.2;1.6;26.6;0;0;19.2;0;2.8;0.2;1.6;0
ORTO DI ZOLFO;2016;11;0.2;10.4;14.2;0.2;3.2;0.2;0;12.6;47.2;6.2;23.2;0.2
ORTO DI ZOLFO;2016;12;0;1;48.4;0;6.8;2.2;0;0.2;2.4;0;1;0.8
ORTO DI ZOLFO;2016;13;1;11.4;12.8;0;0.8;5.8;0;0;0.2;0;0.2;0.2
ORTO DI ZOLFO;2016;14;0.8;6;1.8;0;7.4;0.2;0;0;0;0.2;1.6;0
ORTO DI ZOLFO;2016;15;9.4;9.2;2.6;0;5;0;23.6;0;0.2;13.2;0.4;1.6
ORTO DI ZOLFO;2016;16;0.6;0.4;22;0;6.2;0;10.2;0;6.8;0.2;0;0.8
ORTO DI ZOLFO;2016;17;0;0.2;55.6;0;13;0;0.2;0.2;0.2;0.2;0.2;0
ORTO DI ZOLFO;2016;18;0.2;6.4;64.4;0;0;0;0;15.4;10.8;14;0.2;0
ORTO DI ZOLFO;2016;19;1.4;0;0;0;1.6;14;0;6.8;2.8;0.2;0;0.2
ORTO DI ZOLFO;2016;20;6.2;0.6;0.2;0;24;0.2;0;0;0.8;1.8;0;2
ORTO DI ZOLFO;2016;21;9;0;0;0;0;0;0;0;5.6;1.6;0.4;0.2
ORTO DI ZOLFO;2016;22;6.8;0;1.2;0;0;0;0;0.6;4.6;1.6;0.2;0
ORTO DI ZOLFO;2016;23;8.6;0;18.2;6;0;7.2;0;0.4;0;0.6;0.2;0.2
ORTO DI ZOLFO;2016;24;6;0;1.2;0.4;0;0;2.6;0;0;0;0.2;0
ORTO DI ZOLFO;2016;25;0;0;0;19.6;0.2;11.8;12;0;0.2;0;5.2;0
ORTO DI ZOLFO;2016;26;0;2.2;0;0.2;0;1.8;0.2;0;0;5.6;0.2;0
ORTO DI ZOLFO;2016;27;0;0;0;0;0;0;0;0.2;0.2;51.4;0.4;0.2
ORTO DI ZOLFO;2016;28;0.2;0.4;0;0;0;0;18.4;0;0;0;11.2;0
ORTO DI ZOLFO;2016;29;0.2;18.8;0;0.2;0;0;0.2;0;0.2;0.2;0;0
ORTO DI ZOLFO;2016;30;0.2;NA;0;0.2;0;0.2;0;0;0;0;0.2;0
ORTO DI ZOLFO;2016;31;0;NA;0;NA;0;NA;0;15.4;NA;0;NA;0.2
