stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
PESCHICI;2016;1;NA;NA;NA;NA;10;1;0;0;0;0;0;0
PESCHICI;2016;2;NA;NA;NA;NA;17.2;10.6;0;0;0;8.8;0;0
PESCHICI;2016;3;NA;NA;NA;NA;3.6;0;0;0;0;0;2.6;0
PESCHICI;2016;4;NA;NA;NA;NA;0;0;0;0;0;0;2.6;0
PESCHICI;2016;5;NA;NA;NA;NA;0;0;0;0;0.2;0;0;0
PESCHICI;2016;6;NA;NA;NA;NA;0;0;0;11.4;0.4;4.4;0;0
PESCHICI;2016;7;NA;NA;NA;NA;0;0;0;6.2;12.4;6.4;8.4;1
PESCHICI;2016;8;NA;NA;NA;NA;0;0;0;0;0;0;14.6;0
PESCHICI;2016;9;NA;NA;NA;NA;0;13;0;0;0;0.2;9;0
PESCHICI;2016;10;NA;NA;NA;NA;0;0.2;0;0;14;2.6;1;0
PESCHICI;2016;11;NA;NA;NA;NA;1;0;0;0;51.6;20.2;8.4;0
PESCHICI;2016;12;NA;NA;NA;NA;8.4;22;0;0;0.2;3.4;5;5
PESCHICI;2016;13;NA;NA;NA;NA;0;0.2;0;0;0;0;0;0
PESCHICI;2016;14;NA;NA;NA;NA;0.6;0.2;0;0;0;0;0;0
PESCHICI;2016;15;NA;NA;NA;NA;1;0;43.4;0;0;10.6;0;2
PESCHICI;2016;16;NA;NA;NA;NA;0;0.2;23.6;0;3.2;0;0;0
PESCHICI;2016;17;NA;NA;NA;NA;13.2;0;0;0;0;0;0;0
PESCHICI;2016;18;NA;NA;NA;NA;0;0.8;0;0;4;5.4;0;0
PESCHICI;2016;19;NA;NA;NA;NA;0;5.4;0;0;51.6;0;0;0
PESCHICI;2016;20;NA;NA;NA;NA;2.2;0;0;0;5.2;0;0;0
PESCHICI;2016;21;NA;NA;NA;NA;0;0;0;0;0;0;0;0
PESCHICI;2016;22;NA;NA;NA;NA;0;0;0;0;0;0.2;0;0
PESCHICI;2016;23;NA;NA;NA;NA;0;1.6;0;0;0;0;0;0
PESCHICI;2016;24;NA;NA;NA;NA;0;0;0;0;0;0;0;0
PESCHICI;2016;25;NA;NA;NA;NA;0;0;0;0;0;0;0;0
PESCHICI;2016;26;NA;NA;NA;NA;0;0;0;0;0;0;0;0
PESCHICI;2016;27;NA;NA;NA;NA;0;0;0;0;0;16.6;0.2;1.2
PESCHICI;2016;28;NA;NA;NA;0;0;0;0;0;0;0;4.8;0
PESCHICI;2016;29;NA;NA;NA;0;0;0;0;0;0;0;0.2;0
PESCHICI;2016;30;NA;NA;NA;0;0;0;0;0;0;0;0;0
PESCHICI;2016;31;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;0
