stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SAN GIOVANNI ROTONDO;2016;1;0;0;8.2;0;9.2;0.2;0;0;0.4;0;0;0
SAN GIOVANNI ROTONDO;2016;2;0;0;4;0;18.8;0.2;0.4;0;0;21.6;0;0
SAN GIOVANNI ROTONDO;2016;3;10;0;3.6;0;9.2;3.4;0;0;0;6.2;0.8;2.8
SAN GIOVANNI ROTONDO;2016;4;2.2;16.2;17.4;0;0.2;7;0;0;0;0;0.2;0
SAN GIOVANNI ROTONDO;2016;5;3.6;0;0;0;0;0.4;0;0;17.2;0;0;0
SAN GIOVANNI ROTONDO;2016;6;2;0;3.8;0;6;0;0;6.6;4.8;0.6;0;0
SAN GIOVANNI ROTONDO;2016;7;3.8;0;0;0;0;0;0;16;38;14.4;16.4;1.6
SAN GIOVANNI ROTONDO;2016;8;0;0;0;0;0;0;0;0;5.6;0;19;0
SAN GIOVANNI ROTONDO;2016;9;0;0;0.2;0.8;0;35.8;0;0;52.2;0.2;10.4;0
SAN GIOVANNI ROTONDO;2016;10;0.2;0.2;1;7.2;0;76.4;0;0;28.4;7.4;1.6;0
SAN GIOVANNI ROTONDO;2016;11;0;11.8;0;0;2.4;0;0;0;13.4;7;17.4;0
SAN GIOVANNI ROTONDO;2016;12;0;1.6;7.6;0;1.8;5.2;0;0;1;2;24;14.6
SAN GIOVANNI ROTONDO;2016;13;0.6;5.2;5.6;0;0;0;0;0;0;0;3.6;0.2
SAN GIOVANNI ROTONDO;2016;14;0;1;1;0;5.6;0;0;0;0;0.2;0;0
SAN GIOVANNI ROTONDO;2016;15;5.4;14.4;4.4;0;18.2;0;45.2;0;0;12.6;0;1.8
SAN GIOVANNI ROTONDO;2016;16;8.4;0;5;0;1.8;0;44;0;3.4;0;0;0
SAN GIOVANNI ROTONDO;2016;17;4.4;0;11.4;0;28.8;0;0.6;0;0;0;0;0
SAN GIOVANNI ROTONDO;2016;18;0.8;10.2;16.8;0;0;0;0;18;10.8;5.2;0;0
SAN GIOVANNI ROTONDO;2016;19;0;0;0;0.6;0.2;21.4;0;0;37.4;0;0;0
SAN GIOVANNI ROTONDO;2016;20;0;8.4;0;0;17.8;0;0;0;39.6;0.4;0;4
SAN GIOVANNI ROTONDO;2016;21;0;0;0;0;1.6;0;0;0;15;1;0;0
SAN GIOVANNI ROTONDO;2016;22;1.2;0;1;0;0;0;0;0;0;0.2;0;0
SAN GIOVANNI ROTONDO;2016;23;1;0;12.4;4;0;0;0;0.2;0;0;0;0
SAN GIOVANNI ROTONDO;2016;24;2;0;2.2;1.6;0;0;0;0;0;0;0;0
SAN GIOVANNI ROTONDO;2016;25;0;0;0;20.8;0;0;10.8;0;0;0;0.6;0
SAN GIOVANNI ROTONDO;2016;26;0;1;0.4;0;0;0;0;0;0;2.8;0;0
SAN GIOVANNI ROTONDO;2016;27;0;0;0;0;0;0;0;0;0;11.2;0;0.2
SAN GIOVANNI ROTONDO;2016;28;0;0;0.8;0;0;0;1.6;0;0;0;4.2;4.4
SAN GIOVANNI ROTONDO;2016;29;0;3.2;0;1.6;0;0;0;0;0;0;0.2;0.8
SAN GIOVANNI ROTONDO;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
SAN GIOVANNI ROTONDO;2016;31;0;NA;0;NA;0;NA;0;6.4;NA;0;NA;0
