stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
TARANTO;2016;1;0;0;0.6;0;6.4;0;0;0;0;0;0;0
TARANTO;2016;2;0.2;0;0;0;24.4;0;0;0;0;0;0;0
TARANTO;2016;3;11.8;0;0.6;0;0.2;0;0;0;0;0;0;0
TARANTO;2016;4;1.6;0;0;0;0.2;0;0;0;0;0.2;0;0
TARANTO;2016;5;2.4;0;0;0;0;0;0;0;0;0;0;0
TARANTO;2016;6;2.4;0;3.6;0;0;3.2;2.8;3.6;0.2;0;0;0
TARANTO;2016;7;0.2;0;0;0;0;0;0;3.4;11.4;12.4;0;0
TARANTO;2016;8;0.2;0.2;0;5.4;0;0;0;0;4.2;0;10.8;0
TARANTO;2016;9;0;0;0;1.6;0;0;0;0;16.4;2.8;0.2;0
TARANTO;2016;10;0.4;1;9;16.4;0;0;0;0;16;2;0.2;0
TARANTO;2016;11;0;4.8;1.4;0;1.2;0;0;8.2;0.4;4.6;0;0
TARANTO;2016;12;0.6;10;12.6;0;0;0;0;0;20.8;1;2;0
TARANTO;2016;13;0.2;5.8;2.2;0;0;4.6;0;0;0;0;0;0
TARANTO;2016;14;0;0;0;0;0;0;0;0;0;0;0.4;0
TARANTO;2016;15;2;0;2.6;0;0.2;0;0;0;0;0;3.2;0
TARANTO;2016;16;4.6;0;10.4;0;1.4;0;0.2;0;0;0;0;0
TARANTO;2016;17;0;0;23;0;18;0;0;0;0;0;0;0
TARANTO;2016;18;8.2;15.6;16.6;0;0;0;0;0;5.2;3.8;0;0
TARANTO;2016;19;0;0;0;0;0;3.2;0;0;0.8;0;0;0
TARANTO;2016;20;0;0;0;0;4.2;0;0;0;0;9.4;0;1.6
TARANTO;2016;21;0.2;0;0;0;6.4;0;0;0;0.8;10;0;0
TARANTO;2016;22;0;0;0;0;0;0;0;0;0;0;0.2;0
TARANTO;2016;23;0;1.4;0;0;0;0;0;0;0;1.4;0.2;0
TARANTO;2016;24;0;0.4;5.6;0;0;0;0;0;0;0;0;0
TARANTO;2016;25;0;0;0;3.2;0;0;0;0;0;0;14;0
TARANTO;2016;26;0;3;0.2;0;0;0;0;0;0;0.2;0;0
TARANTO;2016;27;0;0;0;0;0;0;0;0;0;0;0;2.6
TARANTO;2016;28;0;0;0;0;0;0;0;0;0;0.2;0.6;1.8
TARANTO;2016;29;0;0;0;0;0;0;0;0;0;0;1;0.8
TARANTO;2016;30;0;NA;0;0;0;0;0;0;0;0;0;1
TARANTO;2016;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
