stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
TURI;2016;1;0;0;0.2;0;4.2;0;0;0;2;0;0;0
TURI;2016;2;0;0;0;0;25.8;5.4;0;0;0;0.4;0;0
TURI;2016;3;10.2;0;1.6;0;5.8;0.8;0;0;0;0;0;0
TURI;2016;4;2.8;3.8;1.4;0;0.2;0;0;0;0;5.2;0;0
TURI;2016;5;0.4;0;0;0;0;0.2;0;0;11.6;0.2;0.2;0
TURI;2016;6;2.4;0;27.2;0;0;0;4.8;22.6;8.6;0;0;0.2
TURI;2016;7;0.8;0;0;0;0;0;0;17.8;38.4;16.4;20.8;0
TURI;2016;8;0;0;0;0.4;0;0;0;0;19.2;0;7;0
TURI;2016;9;0;0;0;1.8;0;0;0;0;32.4;1.4;0;0
TURI;2016;10;0.8;0.6;1.2;8.6;0;0.2;0;0;16;0;0.8;0
TURI;2016;11;0;8;3.4;0;0.8;0.2;0;5;1;1.4;0;0.2
TURI;2016;12;0.6;4.2;5.8;0;0.4;0.2;0;0;0;3.4;6.6;5.4
TURI;2016;13;1;2;5.6;0;0.4;5.8;0;0;0;0;0;0
TURI;2016;14;0;0;1;0;0.6;6.6;0;0;0;0;0.2;0
TURI;2016;15;0.2;0;4.4;0;0.6;0.2;1.4;0;0;0;3.4;0
TURI;2016;16;9.2;0;0.8;0;0;0;13.4;0;0;0;0;0
TURI;2016;17;2.6;0;4;0;3.8;0;0;3.6;0.2;0;0;0
TURI;2016;18;7.8;12.4;15;0;0.2;0;0;0;15;14;0.2;0
TURI;2016;19;0;0;0;0;0;3.8;0;0;0.8;0;0;0
TURI;2016;20;0;0;0;0;46.8;0;0;0;0.4;2;0;0.4
TURI;2016;21;1;0;0;0;14.2;0;0;0;3.8;4;0;0.2
TURI;2016;22;1.4;0;1.2;0;0;0;0;0;0;0;0;0
TURI;2016;23;0;0.6;0.8;30;0;0;0;0.2;0;0;0;0
TURI;2016;24;1.2;0;1.8;0.2;0.4;0;0;0;0;0.2;0;0
TURI;2016;25;0;0;0.2;6.4;0;0;0;0;0;0;3.8;0
TURI;2016;26;0;0;0.4;0;0;0;0;0;0;0.8;0.2;0
TURI;2016;27;0;0;0;0;0;0;0;0;0;1.4;0;7.8
TURI;2016;28;0;0;0;0;0;0;0.4;0;0;0.2;1.6;5.4
TURI;2016;29;0;0;0;0.4;0;0;0;0;0;0;0.6;0
TURI;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
TURI;2016;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
