stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
VIESTE;2016;1;0;0;3.4;0;7.4;0.4;0;0;0;0;0;0
VIESTE;2016;2;0;0;3.2;0;13.6;0;0;0;0;16.6;0;0
VIESTE;2016;3;9.8;0;2;0.2;3.6;0;0;0;0;0;2.2;0
VIESTE;2016;4;0.2;19;2;0;0;0;0;0;0;0;1;0
VIESTE;2016;5;3;0;0;0;0;0.2;0;0;0;0;0.2;0
VIESTE;2016;6;3.6;0;0;0.2;0;0;0;10.8;1.2;1.4;0;0
VIESTE;2016;7;3.8;0;0;0;0;0;0;29.4;11.6;46;13.2;3.8
VIESTE;2016;8;0;0;0;0;0;0;0;0;0;0;10.4;0
VIESTE;2016;9;0;0;0;2.4;0;1.2;0;0;0;0;1.8;0
VIESTE;2016;10;0.2;0;3.2;16;0;0.6;0;0;11;8;2;0
VIESTE;2016;11;0.2;4;0;0;2.2;0;0;0;69.4;10.2;4.4;0
VIESTE;2016;12;0;0;12.4;0;2.2;5.8;0;0;0;3.4;5.4;7.8
VIESTE;2016;13;2.2;2;10;0;0;0;0;0;0;0;0;0
VIESTE;2016;14;0.6;0.6;1.2;0;0;0;0;0;0;0;0;0
VIESTE;2016;15;7;1.2;1.8;0;8.2;0;24.2;0;0;9;0;0
VIESTE;2016;16;10.2;0;2.6;0;0.2;0.2;11;0;5.8;0;0;0
VIESTE;2016;17;4;0.2;8.4;0;1.8;0;0;0;0.2;0;0;0
VIESTE;2016;18;0;20.2;13;0;0;0;0;0;5;7.6;0;0
VIESTE;2016;19;0;0;0;1.8;0;5;0;0;27.4;0;0;0
VIESTE;2016;20;0;8;0;0;7;0;0;0;3;0;0;0
VIESTE;2016;21;1.4;0;0;0;0;0;0;0;0;0.4;0;0
VIESTE;2016;22;0;0;3.8;0;0;0;0;0;0;1.6;0;0
VIESTE;2016;23;0;0;3;20;0;15.6;0;0;0;0;0;0
VIESTE;2016;24;0;0;1.4;4;0;0;0;0;0;0;0;0
VIESTE;2016;25;0;0;0;6;0;0;0;0;0;0;0.2;0
VIESTE;2016;26;0;0.8;0;0;0;0;0;0;0;0;0;0
VIESTE;2016;27;0;0;0;0;0;0;0;0;0;1.2;0;0.6
VIESTE;2016;28;0;0.2;0;0;0;0;0;0;0;0.2;2.2;0
VIESTE;2016;29;0;3;0;0.6;0;0;0;0;0;0;0;0
VIESTE;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
VIESTE;2016;31;0;NA;0.2;NA;0;NA;0;0;NA;0;NA;0
