stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ANZANO DI PUGLIA;2017;1;0;0;2.2;0;0;0;0;0;0;0.2;0;0.8
ANZANO DI PUGLIA;2017;2;0;0;0;1.4;0;0;2.6;0;6.8;0;0;3.8
ANZANO DI PUGLIA;2017;3;8.2;0;0;3.6;0;0;0;0;1.2;0.2;0.2;10
ANZANO DI PUGLIA;2017;4;0;0.2;0;0.2;0;0;0;0;0.2;0;0.2;0
ANZANO DI PUGLIA;2017;5;0.8;0;7.6;0;0;3.8;0;0;0;0;0;0
ANZANO DI PUGLIA;2017;6;0;4.4;0.2;2.4;1.2;0;0;0;0;5.2;22.8;0
ANZANO DI PUGLIA;2017;7;0;0;23;1.4;0;0;0;0;0.4;4.4;15.4;0
ANZANO DI PUGLIA;2017;8;0.6;0;23.4;0;21.2;0;0;0;16.8;0;0.4;0
ANZANO DI PUGLIA;2017;9;0;11.4;0;0;3.4;0;0;0;2;0;0.2;14.8
ANZANO DI PUGLIA;2017;10;0;2.6;0.2;0;0.2;0;0;0;0.2;0.2;1.6;0
ANZANO DI PUGLIA;2017;11;0.2;0;0;1;0;0;0;0;18;0.2;0.2;0
ANZANO DI PUGLIA;2017;12;0.2;0;0;0;0;0;0;1.8;0;0;0;0
ANZANO DI PUGLIA;2017;13;3.4;0.2;0;0.2;0;0;0;0;0.2;0;8.8;13.6
ANZANO DI PUGLIA;2017;14;0;0.2;0;0;0;0;0;0;0.2;0;11.6;0.4
ANZANO DI PUGLIA;2017;15;0;0.2;0;0;7.2;0;0;0;0;0;1;17.2
ANZANO DI PUGLIA;2017;16;3.8;0;0;1;0;3.6;0.2;0;0;0;54.6;11.6
ANZANO DI PUGLIA;2017;17;0.4;0;0;3.2;0;0;0;0;0.8;0;1.8;0.4
ANZANO DI PUGLIA;2017;18;11;9.6;0;0;0;0;0;0;0;0;0;0
ANZANO DI PUGLIA;2017;19;2.4;0;0;3;0;0;0;0;2.2;0;0.2;0
ANZANO DI PUGLIA;2017;20;24;0;0;0;7.6;0;0;0;7;0.2;0;0
ANZANO DI PUGLIA;2017;21;4.2;0;0.2;0.2;11.8;0;0;0;0;0;0;0
ANZANO DI PUGLIA;2017;22;1;0;0;0;0;0;0;0;0;3.4;0;0.4
ANZANO DI PUGLIA;2017;23;15.8;0.2;0;0;0;0;0;0;0;16.8;0.2;0
ANZANO DI PUGLIA;2017;24;3.4;0.6;0;0;0;0;0;0;0;12;0.2;0
ANZANO DI PUGLIA;2017;25;0;16.8;0;0;9.4;0;0;0;1.8;0;0;0.2
ANZANO DI PUGLIA;2017;26;0;0.2;0;0;0;1;13.6;0;0.2;0;1.6;0.4
ANZANO DI PUGLIA;2017;27;0;0.2;1.2;0;0;0;0.8;0;0.2;0.4;3.2;5.4
ANZANO DI PUGLIA;2017;28;0.2;0;0;0;0;2;0;0;0;1;0;11.8
ANZANO DI PUGLIA;2017;29;0;NA;0;3.2;0;0;0;0;1.6;0;4;1.4
ANZANO DI PUGLIA;2017;30;0;NA;0;0;0;0;0;0;0;1;20.4;0
ANZANO DI PUGLIA;2017;31;0;NA;0;NA;4;NA;0;0;NA;0.6;NA;0
