stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BARI (POLITECNICO);2017;1;0;0;0.4;0;0;0;0;0;0;0;0;2.4
BARI (POLITECNICO);2017;2;0;0;0;0;0;1;0;0;5;0;0;10.2
BARI (POLITECNICO);2017;3;0.6;0;0;4.6;0;0;0;0;0.2;0;0;6.4
BARI (POLITECNICO);2017;4;1.6;0;0;0;0;0;0;0;0;0;0;0.4
BARI (POLITECNICO);2017;5;9.2;0;0;0;0;0;0;0;0;0;0;4.6
BARI (POLITECNICO);2017;6;3;0;0.4;0;0.6;4.4;0;0;0;0;15.6;0
BARI (POLITECNICO);2017;7;0;0;6.2;4.4;0;0;0;0;0;4.2;4.6;0
BARI (POLITECNICO);2017;8;3.8;0;1.2;0;3.2;0;0;0;4.2;0;0;0
BARI (POLITECNICO);2017;9;0;0;0;0;2.2;0;0;0;5.2;0;0;0.2
BARI (POLITECNICO);2017;10;0.2;0.2;0.4;0;0;0;0;0;0;0;0.4;0
BARI (POLITECNICO);2017;11;1;0;0;0;0;0;0;0;17.8;8;0;0
BARI (POLITECNICO);2017;12;0;0;0;0;0;0;0;5.2;0;0;0.2;0
BARI (POLITECNICO);2017;13;0.4;0;0;0;0;0;0;0;0;0;1.4;4
BARI (POLITECNICO);2017;14;0.8;2.8;0;0;0;0;0;0;0;0;18.4;0.2
BARI (POLITECNICO);2017;15;6.4;0;0;0;0;0;0;0;0;0;4.4;0
BARI (POLITECNICO);2017;16;10.6;0;0;3.4;0;0;0;0;0;0;33;1.6
BARI (POLITECNICO);2017;17;2;0;0;8;0;0;0;0;0;0;1.8;2.4
BARI (POLITECNICO);2017;18;36.8;0.8;0;0;0;0;0;0;0;0;0;15.6
BARI (POLITECNICO);2017;19;8.8;0;0;1;0;0;0;0;0;0;0;2
BARI (POLITECNICO);2017;20;3;0;0;2.4;8.6;0;0;0;3;0;0.2;9.2
BARI (POLITECNICO);2017;21;1.2;0;0;0.2;7.2;0;0;0;0.2;0;0;0
BARI (POLITECNICO);2017;22;0;0;0;0;0;0;0;0;0;0.4;0;0
BARI (POLITECNICO);2017;23;0;0;0;0;0;0;0;0;0;4;0;0
BARI (POLITECNICO);2017;24;1.6;0;0;0;0;0;0;0;0;3.6;0;0
BARI (POLITECNICO);2017;25;0.2;9.8;0;0;2.8;0;12;0;0;0;0;0
BARI (POLITECNICO);2017;26;0;2.6;0;0;0;0;0;0;0;0;0;0
BARI (POLITECNICO);2017;27;0;0;18.6;0;0;0;0;0;0;0;6.6;0
BARI (POLITECNICO);2017;28;0;0;0;0.8;0;0;0;0;1.6;0;0.2;0
BARI (POLITECNICO);2017;29;0.6;NA;0;1.8;0;0;0;0;18.4;0;0;3.6
BARI (POLITECNICO);2017;30;0;NA;0;0;0;0;0;0;1.4;0;1.4;0
BARI (POLITECNICO);2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
