stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BARI (PRESIDENZA REGIONE);2017;1;0;0;0.2;0;0;0;0;0;0;0;0;2.2
BARI (PRESIDENZA REGIONE);2017;2;0;0;0;0;0;1.2;0;0;4.8;0.2;0;8.2
BARI (PRESIDENZA REGIONE);2017;3;0.6;0;0;2.4;0;0;0;0;0.2;0;0;5.8
BARI (PRESIDENZA REGIONE);2017;4;1.8;0;0;0;0;0;0;0;0;0;0;0.4
BARI (PRESIDENZA REGIONE);2017;5;9.8;0;0;0;0;0;0;0;0;0;0;4.6
BARI (PRESIDENZA REGIONE);2017;6;3.6;0;0.4;0.6;0.4;3;0;0;0;1.8;14.6;0
BARI (PRESIDENZA REGIONE);2017;7;0.8;0;6.4;3.4;0;0;0;0;0;5.4;4;0
BARI (PRESIDENZA REGIONE);2017;8;0.4;0;1.6;0;3.8;0;0;0;2.8;0;0;0
BARI (PRESIDENZA REGIONE);2017;9;0;0;0;0;2.2;0;0;0;5;0;0;0.2
BARI (PRESIDENZA REGIONE);2017;10;0;0;0.4;0;0;0;0;0;0;0;0.4;0
BARI (PRESIDENZA REGIONE);2017;11;1;0;0.2;0;0;0;0;0;17;13.6;0;0
BARI (PRESIDENZA REGIONE);2017;12;0;0;0;0;0;0;0;4.4;0.2;0;0.2;0
BARI (PRESIDENZA REGIONE);2017;13;0.6;0;0;0;0;0;0;0;0;0;2;4
BARI (PRESIDENZA REGIONE);2017;14;1.2;2.2;0;0;0;0;0;0;0;0;17.6;0
BARI (PRESIDENZA REGIONE);2017;15;6.2;0;0;0;0;0;0;0;0;0;5;0
BARI (PRESIDENZA REGIONE);2017;16;11.2;0;0;4.6;0;0;0;0;0;0;41.8;2.2
BARI (PRESIDENZA REGIONE);2017;17;1.4;0;0;8.2;0;0;0;0;0;0;1;2
BARI (PRESIDENZA REGIONE);2017;18;33.8;0.8;0;0;0;0;0;0;0;0;0;14.4
BARI (PRESIDENZA REGIONE);2017;19;8;0;0;1.6;0;0;0;0;0;0;0;1.8
BARI (PRESIDENZA REGIONE);2017;20;2;0;0;2.8;8.2;0;0;0;8;0;0.2;11.2
BARI (PRESIDENZA REGIONE);2017;21;0.8;0;0;0.2;5.8;0;0;0;0;0;0;0
BARI (PRESIDENZA REGIONE);2017;22;0;0;0;0;0;0;0;0;0;0.2;0;0.2
BARI (PRESIDENZA REGIONE);2017;23;0;0;0;0;0;0;0;0;0;13.6;0;0
BARI (PRESIDENZA REGIONE);2017;24;1.6;0;0;0;0;0;0;0;0;18.2;0;0
BARI (PRESIDENZA REGIONE);2017;25;0.2;9.8;0;0;2.6;0;4;0;0;0;0;0
BARI (PRESIDENZA REGIONE);2017;26;0;1.8;0;0;0.2;0;0;0;0;0;0;0
BARI (PRESIDENZA REGIONE);2017;27;0;0;18.8;0;0;0;0;0;0;0;7.8;0
BARI (PRESIDENZA REGIONE);2017;28;0;0;0;0.8;0;0;0;0;1.8;0;0;0.6
BARI (PRESIDENZA REGIONE);2017;29;0.4;NA;0;1.8;0;0;0;0;20;0;0;3.2
BARI (PRESIDENZA REGIONE);2017;30;0.2;NA;0;0;0;0;0;0;1;0;1.4;0
BARI (PRESIDENZA REGIONE);2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
