stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BISACCIA;2017;1;0.2;0.2;1;0;0;0;0;0;0;1;0;1.2
BISACCIA;2017;2;0;0;0;0.8;0;0;0.8;0;3.8;0;0;5.6
BISACCIA;2017;3;4.4;0;0;1.4;1.2;1.2;0;0;0;0;0.2;5.8
BISACCIA;2017;4;0.2;0.4;0;0.4;0;0;0;0;0;0;0;0.2
BISACCIA;2017;5;0;3.6;4.4;0;0;0;0;0;0;0;0;0
BISACCIA;2017;6;0;7.2;0;2.6;0.6;0;0;0;0;0.8;20.6;0
BISACCIA;2017;7;0;0;11.4;0.4;0;0;0;0;0;3.8;10;0
BISACCIA;2017;8;1.4;0;10.4;0;8.6;0;0;0;6.2;0;0.2;0.4
BISACCIA;2017;9;0.2;13;0;0;2;0;0;0;3.6;0;0.2;8
BISACCIA;2017;10;0;2.4;0;0;0;0;0;0;6.2;0;0.6;3.6
BISACCIA;2017;11;1.4;0.2;0;0.6;0.2;0;0;0;23.6;0.2;0.2;45.4
BISACCIA;2017;12;14;0;0;0;0;0;0;0.8;0;0;0.2;2
BISACCIA;2017;13;4.2;0;0;0;0;0;0;0;0;0;7.2;6.8
BISACCIA;2017;14;0.6;0;0.2;0;0;0;0;0;0;0;11.8;0.4
BISACCIA;2017;15;0;0.2;0;0;0.8;0;0;0;0;0;1;30.6
BISACCIA;2017;16;2.8;0;0;0.8;0;0.2;0.8;0;0;0;54.8;8.2
BISACCIA;2017;17;2.8;0;0;1;0;0;0;0;0.6;0;8.6;0.8
BISACCIA;2017;18;12;9;0;0;0;0.2;0;0;0;0;0;0
BISACCIA;2017;19;1.4;0.8;0;4;0;0;0;0;1.6;0;0;0
BISACCIA;2017;20;18.8;0;0;0;1;0;0;0;2.6;0.2;0;0.2
BISACCIA;2017;21;33;0.2;0;0.2;2;0;0;0;0;0;0;0
BISACCIA;2017;22;10.2;0;0;0;0;0;0;0;0;4.2;0;0.2
BISACCIA;2017;23;10.8;0;0;0;0;0;0;0;0;8.4;0;0
BISACCIA;2017;24;3.4;0.8;0;0;0;0;0;0;1.8;6.6;0.4;0
BISACCIA;2017;25;0;27.2;0;0;2.8;0;0;0;3.6;0;0.2;0
BISACCIA;2017;26;0;1.2;0;0;0.2;1.8;0.4;0;0.2;0;0;0.2
BISACCIA;2017;27;0;0.2;1.6;0;0;0;1.8;0;2;0;0.6;31.6
BISACCIA;2017;28;0.2;0.2;0;0;0;0.8;0;0;0.4;1.2;0;7
BISACCIA;2017;29;0;NA;0;9;0;0;0;0;0;0;10.8;0.4
BISACCIA;2017;30;0;NA;0;0.2;0;0;0;0;0;0;24;0
BISACCIA;2017;31;0;NA;0;NA;0.2;NA;0;0;NA;0;NA;0
