stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CAGNANO VARANO;2017;1;0;0;2;0;0;0;0;0;0.2;0;0;0
CAGNANO VARANO;2017;2;0;0;0;0;0;0.4;3.6;0;1.8;0;0;0
CAGNANO VARANO;2017;3;12.2;0;0;1.4;2.2;0;23.4;0;1.4;0;0;14.2
CAGNANO VARANO;2017;4;1;0;0;0;0.2;0;0;0;0;0;0;4.2
CAGNANO VARANO;2017;5;15;0;1.2;0;0;0;0;0;0;0;0;0
CAGNANO VARANO;2017;6;0.2;1;0;2.4;0.6;2.4;0;0;0;36.6;7;0
CAGNANO VARANO;2017;7;0;2.2;2.8;9.8;6;0;0;0;0;4.4;3.2;0
CAGNANO VARANO;2017;8;0.6;0;15.4;0;5.2;0;0;0;0.6;0;0;0.2
CAGNANO VARANO;2017;9;0;8.6;0;0;1.6;0;0;0;2.8;0;0;19.6
CAGNANO VARANO;2017;10;2.2;6;0;0;0;0;0;0;8.2;0;0;0.4
CAGNANO VARANO;2017;11;1.8;0;0;0;0;0;0;0;12;0;0;0
CAGNANO VARANO;2017;12;1.2;0;0;0;0;0;0;13;0;0;0;0
CAGNANO VARANO;2017;13;1.8;0;0;0;0;0;0;0;0.6;0;0.4;2.2
CAGNANO VARANO;2017;14;3.6;0;0;0;0;0;3.8;0;0;0;29.4;0
CAGNANO VARANO;2017;15;3.4;0;0.8;0;0;4.2;0;0;0;0;20.6;8
CAGNANO VARANO;2017;16;1.8;0;0;15;0;0;0;0;0;0;33;0
CAGNANO VARANO;2017;17;21.8;0;0;12.6;0;0;0;0;0;0;0;10
CAGNANO VARANO;2017;18;27.2;12.2;0;3.2;0;0;0;0;0;0;0.2;0
CAGNANO VARANO;2017;19;24.8;0.2;0;5.2;0;0;0;0;2.6;0;0.6;0
CAGNANO VARANO;2017;20;4.8;0;0;1.8;11.8;0;0;0;8.6;0;4.6;0
CAGNANO VARANO;2017;21;0;0;0;0;10.2;0;0;0;0.8;0;0;0
CAGNANO VARANO;2017;22;0.4;0;0;0;0;0;0;0;0;1.6;0;0
CAGNANO VARANO;2017;23;0;0;0;0;0;0;0;0;0;17.2;0;0
CAGNANO VARANO;2017;24;0.2;0;0;0;0;0;0;0;0.2;0.2;0;0
CAGNANO VARANO;2017;25;0;37.4;0;0;7.6;0;13;0;6.4;0;0;0
CAGNANO VARANO;2017;26;0;1.4;0;0;0;0;0;0;0.4;0;3.4;0
CAGNANO VARANO;2017;27;0;0;4.6;0;0;0;0;0;6.4;2.2;0;0.6
CAGNANO VARANO;2017;28;0;0;0;0;0;0;0;0;2.2;0;0;0.4
CAGNANO VARANO;2017;29;0;NA;0;10.8;0;0;0;0;10.6;0;0;10
CAGNANO VARANO;2017;30;0;NA;0;0;0;0;0;0;37.2;0;4.8;0
CAGNANO VARANO;2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
