stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
GALLIPOLI;2017;1;0;0;1.4;0;0;0;0;0;0;0;0;11.6
GALLIPOLI;2017;2;0;0;0;0;0;0;0;0;1.4;0;0;3.6
GALLIPOLI;2017;3;3.8;0;0;9;0;0;0;0;0;0;0;2
GALLIPOLI;2017;4;0;0;0;0.2;0;0;0;0;0;0;0.6;0
GALLIPOLI;2017;5;1.8;0;0.6;0;0;0;0;0;0;0;0;0
GALLIPOLI;2017;6;15.2;0.4;0.2;0;0;0;0;0;0;0;2.8;0
GALLIPOLI;2017;7;3;1.6;10.4;0;0;0;0;0;0;0.6;0.6;0
GALLIPOLI;2017;8;3.2;0;5;0;0;0;0;0;1.6;0;0;0
GALLIPOLI;2017;9;0;6.8;0;0;2;0;0;0;0;0;0;0
GALLIPOLI;2017;10;0;2.6;0;0;0;0;0;0;0;0;5.6;0
GALLIPOLI;2017;11;0;0;1.2;0;0.2;0;0;0;22.2;0;2.6;0
GALLIPOLI;2017;12;0;0;0;0;0;0;0;0;0;0;0;0
GALLIPOLI;2017;13;0;0.6;0;0;0;0;0;0;0;0;0;0
GALLIPOLI;2017;14;0.2;0;0;0;0;0;0;0;0;0;30.6;0
GALLIPOLI;2017;15;19.2;0;0;0;0;0;0;0;0;0;9;1
GALLIPOLI;2017;16;9.2;0;0;1.8;0.2;0;0;0;0;0;37.2;1.4
GALLIPOLI;2017;17;5;0;0;0;0;0;0;0;0;0.4;20.4;8
GALLIPOLI;2017;18;33.2;0.2;0;0;0;0;0;0;0;0.2;10;0
GALLIPOLI;2017;19;0;0;0;0.2;0;0;0;0;0;0.2;0;0
GALLIPOLI;2017;20;0;0;0;0;0;0;0;3;3;0.2;0;0
GALLIPOLI;2017;21;0;0;0;0;0.2;0;0;0.4;0;0;0;0
GALLIPOLI;2017;22;0;0;0.2;0;0;0;0;0;0;0;0;0
GALLIPOLI;2017;23;0;0;0.2;0;0;0;0;0;0;4.8;0;0
GALLIPOLI;2017;24;12.6;0;0.2;0;0;0;0;0;37.4;24.8;0;0
GALLIPOLI;2017;25;0;3.4;0;0;3.2;0;0;0;3;0;0.2;0
GALLIPOLI;2017;26;0;0.2;0.2;0;0.8;0;0;0;0;0;0.4;0.2
GALLIPOLI;2017;27;0;0;0;0;0;0;0;0;0;0;0.6;0
GALLIPOLI;2017;28;0;0;0;0;0;0;0;0;0;0.2;0;0.8
GALLIPOLI;2017;29;0;NA;0;0;0;0;0;0;2.2;0;0;0.2
GALLIPOLI;2017;30;0;NA;0;0;0;0;0;0;5.6;0;1;0
GALLIPOLI;2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
