stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
LAVELLO;2017;1;0;0;1.2;0;0;0;0;0;0;0;0;2.6
LAVELLO;2017;2;0;0;0;0;0;30.2;8.2;0;4.2;0;0;5
LAVELLO;2017;3;0.8;0;0;5.8;1.4;0.6;0;0;0;0;0;3.2
LAVELLO;2017;4;0.2;0;0;0.2;0;0;0;0;0;0;0;0
LAVELLO;2017;5;14.2;0;0.8;0;0;0;0;0;0;0;0;0
LAVELLO;2017;6;0.2;0.4;0.2;2.8;1;0;0;0;0;0.2;23;0
LAVELLO;2017;7;0;0.8;10.8;3.4;0;0;0;0;0;3.2;6.8;0
LAVELLO;2017;8;0;0;8.6;0;22.6;0;0;0;17.4;0;0;0
LAVELLO;2017;9;0;6.4;0;0;1.8;0;0;0;2.2;0;0;8.2
LAVELLO;2017;10;0.4;1.2;0.2;0;0;0;0;0;3.8;0;0;0
LAVELLO;2017;11;0;0;0;0;0;0;0;0;17.6;4;0;0
LAVELLO;2017;12;0;0;0;0;0;0;0;0.2;0;0;0;0
LAVELLO;2017;13;1.4;0;0;0;0;0;0;0;0;0;0.2;5.4
LAVELLO;2017;14;0;0;0;0;0;0;39.2;0;0;0;8;0
LAVELLO;2017;15;1;0;0;0;18.4;0.2;0;0;0;0;0.2;0
LAVELLO;2017;16;0.8;0;0;3.8;0;0;0;0;0;0;34;1.6
LAVELLO;2017;17;4.4;0;0;1.8;0.6;0;0;0;0;0;9.8;0
LAVELLO;2017;18;22.8;5.8;0;0;0;1.4;0;0;0;0;0;0
LAVELLO;2017;19;23.8;0;0;2;0;0;0;0;0;0;0;0
LAVELLO;2017;20;3.6;0;0;0.6;0.4;0;0;0;0.4;0;0;0
LAVELLO;2017;21;1;0;0;0;10.6;0;0;0;0;0;0;0
LAVELLO;2017;22;0.6;0;0;0;0;0;0;0;0;1.4;0;0
LAVELLO;2017;23;1.6;0;0;0;0;0;0;0;0;8.6;0;0
LAVELLO;2017;24;0;0;0;0;0;0;0;0;0;1.8;0;0
LAVELLO;2017;25;0;25.4;0;0;32.8;0;0;0;10.8;0;0;0
LAVELLO;2017;26;0;2.4;0;0;0;0;0.8;0;0;0;0;0
LAVELLO;2017;27;0;0;0.4;0;0;0;0;0;0.4;0;0;0
LAVELLO;2017;28;0;0;0;0;0;0;0;0;0;0.2;0;5.8
LAVELLO;2017;29;0;NA;0;6.4;0;0;0;0;0;0;0;0.2
LAVELLO;2017;30;0;NA;0;0;0;0;0;0;0;0;3.6;0
LAVELLO;2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
