stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
LOCONIA;2017;1;0;0;1;0;0;0;0;0;0;0;0;1.4
LOCONIA;2017;2;0;0;0;0;0;10.8;0.6;0;5.8;0;0;3.8
LOCONIA;2017;3;2;0;0;3.4;1.2;0;0.2;0;0;0;0;3.6
LOCONIA;2017;4;0.4;0;0;0.2;0;0;0;0;0;0;0;0.2
LOCONIA;2017;5;19;0;0.4;0;0;0;0;0;0;0;0;0
LOCONIA;2017;6;0;0.4;0;4.2;1.2;0;0;0;0;1.8;18;0
LOCONIA;2017;7;0;1.6;5.2;3.4;0;0;0;0;0;3.2;8.4;0
LOCONIA;2017;8;0;0;11.4;0;22.2;0;0;0;7;0;0.6;0
LOCONIA;2017;9;0;1.6;0;0;1;0;0;0;1.4;0;0;8.8
LOCONIA;2017;10;0.6;2.2;1.4;0;0;0;0;0;2.2;0;0;0
LOCONIA;2017;11;0.4;0.2;0;0;0;0;0;0;13;0;0;0
LOCONIA;2017;12;0;0;0;0;0;0;0;0.6;0;0.2;0.2;0
LOCONIA;2017;13;2;0;0;0;0;0;0;0;0;0.2;1.2;5
LOCONIA;2017;14;0;0;0;0;0;0;3;0;0;0;6;0
LOCONIA;2017;15;0.4;0;0;0;5.6;0;0;0;0;0;5.2;0
LOCONIA;2017;16;1;0;0;0.2;0;0;0.4;0;0;0;19.4;1
LOCONIA;2017;17;0.8;0;0;6.4;0;0;0;0;0;0;8.2;0
LOCONIA;2017;18;26.6;3;0;0;0;0;0;0;0;0;0;0
LOCONIA;2017;19;15.2;0;0;0.8;0;0;0;0;0.6;0;0;0
LOCONIA;2017;20;3;0;0;1;0.8;0;0;0;0.2;0;1.4;0
LOCONIA;2017;21;0.2;0.2;0;0;10;0;0;0;0;0;0;0
LOCONIA;2017;22;0.4;0;0;0;0;0;0;0;0;1.8;0.2;0
LOCONIA;2017;23;1.6;0;0;0;1.6;0;0;0;0;6.4;0;0
LOCONIA;2017;24;0.8;0;0;0;1;0;0;0;0;2.4;0;0
LOCONIA;2017;25;0.2;22;0;0;36.4;0;0;0;4.4;0;0.2;0
LOCONIA;2017;26;0;0.6;0;0;0;0;0;0;0;0;0;0
LOCONIA;2017;27;0;0;2;0;0;0;0;0;0;0;0;0.2
LOCONIA;2017;28;0;0;0;0;0;0;0;0;0.2;2.8;0;2
LOCONIA;2017;29;0;NA;0;9;0;0;0;0;0;0;0;1.4
LOCONIA;2017;30;0.2;NA;0;0;0;0;0;0;0;0;4.6;0
LOCONIA;2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0.2
