stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MASSERIA MODESTI;2017;1;0;0;6.8;0;0;0;0;0;0;0.2;0;2
MASSERIA MODESTI;2017;2;0;0.2;0;0;0;8.2;0.2;0;5;0.4;0;4
MASSERIA MODESTI;2017;3;1;0;0;4.4;0;0;0;0;0.2;0.2;0;7.6
MASSERIA MODESTI;2017;4;0;0;0;0.2;0;0;0;0;0;0.2;0;1
MASSERIA MODESTI;2017;5;16;0;0.2;0.2;0;0;0;0;0;0;0;0
MASSERIA MODESTI;2017;6;0.2;0.4;0;1.4;1.2;2;0;0;0;1.4;3.6;0
MASSERIA MODESTI;2017;7;0;0;12;1.6;0;0;0;0;0;12.2;5.4;0
MASSERIA MODESTI;2017;8;0;0;10;0;11.8;0;0;0;0.6;0;0.8;0
MASSERIA MODESTI;2017;9;0.8;1.8;0;0;12;0;0;0;0.4;0;0;3.4
MASSERIA MODESTI;2017;10;2;6.2;0;0;0;0;0;0;0;3;1.8;0
MASSERIA MODESTI;2017;11;1.4;0.2;0;0;0.2;0;0;0;38.6;0.2;0.2;0
MASSERIA MODESTI;2017;12;6.6;0;0;0;0;0;0;0;0;0;0.4;0
MASSERIA MODESTI;2017;13;1.8;0;0;0;0;0;0;0;0;0.2;2.2;1.6
MASSERIA MODESTI;2017;14;0;0.8;0;0;0;0;0.6;0;0;0.2;13.4;0
MASSERIA MODESTI;2017;15;3.2;0.2;0;0;0;0;0;0;0;0;5.2;0
MASSERIA MODESTI;2017;16;1.4;0;0;0;0;0;1.2;0;0;0;21.4;0.2
MASSERIA MODESTI;2017;17;5.4;0;0;6.2;0;0;0;0;0;0;4.6;0.4
MASSERIA MODESTI;2017;18;42.4;0.2;0;0;0;0;0;0;0;0;0;0
MASSERIA MODESTI;2017;19;13;0;0;2;0;0;0;0;0;0;0;0
MASSERIA MODESTI;2017;20;5.2;0;0;0.2;0;0;0;0;0.2;0;0.6;0
MASSERIA MODESTI;2017;21;0.4;0;0;4;6.8;0;0;0;0;0.4;0;0
MASSERIA MODESTI;2017;22;1;0;0;0;0;0;0;0;0;2.4;0;0
MASSERIA MODESTI;2017;23;4;0;0;0;0;0;0;0;0;13;0;0
MASSERIA MODESTI;2017;24;2;0;0;0;0;0;0;0;8.8;17;0;0
MASSERIA MODESTI;2017;25;1.6;4.8;0;0;16.2;1.2;0;0;9.4;0;0;0
MASSERIA MODESTI;2017;26;0;0.4;0;0.2;0;0;0;0;0.2;0;0;0
MASSERIA MODESTI;2017;27;0;0;5.4;0;0;0;0;0;0.8;0;0.2;0
MASSERIA MODESTI;2017;28;0.4;0;0;0;0;0;0;0;1.2;1.4;0;1.4
MASSERIA MODESTI;2017;29;0;NA;0;2.4;0;0;0;0;14.4;0;0;0.4
MASSERIA MODESTI;2017;30;0.2;NA;0;0;0;0;0;0;0.2;0;1.6;0
MASSERIA MODESTI;2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
