stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
NUSCO;2017;1;0;1.2;2.6;0;0;0;0;0;0;9.4;0;1.4
NUSCO;2017;2;0.2;0;0;0.6;0;0;0.4;0;15.4;0;0;5.4
NUSCO;2017;3;14.4;1.4;0;1.4;0;0;0;0;0;0.2;0.2;8
NUSCO;2017;4;0;3;0.4;0;0;0;0;0;0;0;0.2;0.2
NUSCO;2017;5;0.2;6.8;12.2;0.2;0;0;0;0;0;0;1.6;0
NUSCO;2017;6;0;13.4;1.2;0.6;0.4;0;0;0;0;3.2;35.6;0
NUSCO;2017;7;0;0.2;24.6;1.4;0;0;0;1.4;0.4;4.2;23.2;0
NUSCO;2017;8;0.2;0.2;5.8;0;14;0;0;0;1;0;0.4;2.6
NUSCO;2017;9;0;3.6;0;0;11.8;0;0;0;2.2;0;0.2;12.2
NUSCO;2017;10;1.2;2.2;0.8;0;0.2;0;0;0;0.2;1.6;1.4;0.4
NUSCO;2017;11;1.8;0.2;0;2.6;0;0;0;0;44.6;0;0.2;2
NUSCO;2017;12;21.6;0;0;0;0;0;0;0;0.2;0;0.2;0
NUSCO;2017;13;20;0.2;0;0;0;0;0;0;0;0.2;12.2;7.6
NUSCO;2017;14;0.4;0;0;0;0;0;0;0;0;0;10.6;1.6
NUSCO;2017;15;0;0.2;0;0;4;0;0;0;0;0;3.8;32.4
NUSCO;2017;16;2.4;0;0;4.4;0;0;0;0;0;0;26.8;11
NUSCO;2017;17;0.8;0.2;0;4.2;0;0;0;0;3;0;1.4;0.8
NUSCO;2017;18;5.4;8;0;0.4;0;0;0;0;0;0;0;0
NUSCO;2017;19;0.6;0;0;4.4;0;0;0;0;3.6;0;0;0
NUSCO;2017;20;14.8;0;0;0;0;0;0;0;4.6;0.2;0;0
NUSCO;2017;21;6.2;0;0.2;0.2;4.8;6.6;0;0;0.2;0;0;0
NUSCO;2017;22;0.2;0;0;0;0;6.8;0;0;0;9.8;0;0
NUSCO;2017;23;5;0;0;0;0;0;0;0;0;10.2;0;0
NUSCO;2017;24;1.6;4.4;0;0;0;0;0;0;0;4.4;0;0
NUSCO;2017;25;0;28.6;0;0;11.4;0;0;0;10;0;0;0
NUSCO;2017;26;0;0.6;0;0;0;0;3.2;0;0;0;3.2;2
NUSCO;2017;27;0;0.2;14.6;0;0;0;0;0;0.4;0;3.8;35.6
NUSCO;2017;28;0;0;0;1.4;0;1.8;0;0;0;0.2;0;9
NUSCO;2017;29;0;NA;0;5.4;0;0.4;0;0;0;0;9.6;2
NUSCO;2017;30;0;NA;0;0;0;0;0;0;0;0;37.6;0
NUSCO;2017;31;0.4;NA;0;NA;0;NA;0;0;NA;0;NA;0
