stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
PESCOPAGANO;2017;1;0;0.2;10.8;0;0;0;0;0;0;0.6;0;4
PESCOPAGANO;2017;2;0;0;0;3;0;0;6.6;0;41.4;18.4;0;5.8
PESCOPAGANO;2017;3;12;0.4;0;0.4;0;0;0;0;0;0.2;0.2;7.8
PESCOPAGANO;2017;4;0.2;5.4;0;0.2;0;0;0;0;0;0;0;0.2
PESCOPAGANO;2017;5;0.2;0.8;6.2;0;0;0;0;0;0;0;0;0
PESCOPAGANO;2017;6;0;15.4;2;0;1.6;0;0;0;0;8;54.2;0
PESCOPAGANO;2017;7;0;0;32.8;3;0;0;0;5.2;0.6;6;14.2;0
PESCOPAGANO;2017;8;0.8;0.6;2.8;0;3.4;0;0;0;2.4;0;2.4;1.2
PESCOPAGANO;2017;9;0.2;6.6;0;0;10.8;0;0;0;3.2;0;0;20.4
PESCOPAGANO;2017;10;3.4;2;0.6;0;0;0;0;0;25;0.6;0.2;0
PESCOPAGANO;2017;11;6;0;0;4;0;0;0;0;47.8;0;0.2;0.2
PESCOPAGANO;2017;12;14.4;0;0;0;0;0;0;0;0.2;0;0;0
PESCOPAGANO;2017;13;23.6;0;0;0;0;0;0;0;0;0;13;16.2
PESCOPAGANO;2017;14;0;0;0;0;0;0;6;0;0;0;12.4;1
PESCOPAGANO;2017;15;0.6;0;1.6;0;0;0;0.2;0;0;0;2.6;19
PESCOPAGANO;2017;16;2.6;0;0;5;0;5;0;0;0;0;29.4;7.6
PESCOPAGANO;2017;17;4.4;0;0;1.2;0;0;0;0;0.4;0;4;0
PESCOPAGANO;2017;18;15.4;3.4;0;1.6;0;0;0;0;0;0;0;0
PESCOPAGANO;2017;19;0.4;2.6;0;11.2;0;0;0;0;3.2;0;0;0.2
PESCOPAGANO;2017;20;14;0;0;0;0.2;0;0;0;8.6;0;0;0
PESCOPAGANO;2017;21;9.4;0;0;0;12.8;0;0;0;0;0;0;0
PESCOPAGANO;2017;22;0.2;0;0;0;0;0;0;0;0;7;0;0
PESCOPAGANO;2017;23;5.6;0;0;0;0.8;0;0;0;0;7.8;0;0
PESCOPAGANO;2017;24;2.8;4.4;0;0;9.2;0;0;0;0;5.6;0;0
PESCOPAGANO;2017;25;1;32.6;0;0;21;0;0;0;8;0;0;0
PESCOPAGANO;2017;26;0;0.8;0;0;0;9.2;2.2;0;0.2;0;0.6;0.2
PESCOPAGANO;2017;27;0;0;3.2;0;0;0;6.2;0;0;0.2;3;18.2
PESCOPAGANO;2017;28;0;0.2;0;0.8;0;1.4;0;0;0;0;0;12.6
PESCOPAGANO;2017;29;0;NA;0;5;0;0.4;0;0;0;0;6.4;0
PESCOPAGANO;2017;30;0.2;NA;0;0;0;0;0;0;0.2;0;37.4;0
PESCOPAGANO;2017;31;0;NA;0;NA;0.2;NA;0;0;NA;0;NA;0
