stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
PIETRAMONTECORVINO;2017;1;0;0;0.6;0;0;11.6;0;0;3.2;0;0;0
PIETRAMONTECORVINO;2017;2;0;0;0;0.8;0;0;30.6;0;4;0;0;3.8
PIETRAMONTECORVINO;2017;3;9.6;0;0;13.2;13.2;0;0.2;0;0.2;0;0.2;4.8
PIETRAMONTECORVINO;2017;4;0;0;0;0;0;0;0;0;0;0;0;0
PIETRAMONTECORVINO;2017;5;27.4;1;4.8;0;0;0;0;0;0;0;12;0
PIETRAMONTECORVINO;2017;6;0;1.8;0;5.4;1.4;0;0;0;0;14;20.6;0
PIETRAMONTECORVINO;2017;7;0;1;36;0.8;5.6;0;0;0;0;2;6.2;0
PIETRAMONTECORVINO;2017;8;0.2;0.2;23.2;0;17;0;0;0;5.6;0;0.2;0.2
PIETRAMONTECORVINO;2017;9;1.4;5.8;0;0;1.2;0;0;0;0.2;0;0;11.2
PIETRAMONTECORVINO;2017;10;1.4;11.6;2.8;0;0;0;0;0;21.8;5.8;0;0.4
PIETRAMONTECORVINO;2017;11;0.6;0;0.2;0;0;0;0;0;5.8;0;0;0
PIETRAMONTECORVINO;2017;12;0;0;0;0;0;0;0;11.2;0;0;0;0
PIETRAMONTECORVINO;2017;13;2.4;0;0;0;0;0;0;0.4;0;0;6.6;10
PIETRAMONTECORVINO;2017;14;0;0;0;0;0;0;30.8;0;0;0;20.4;0
PIETRAMONTECORVINO;2017;15;0;0;0.2;0;0;0;0.2;0;0;0;2;10.4
PIETRAMONTECORVINO;2017;16;16.6;0;0;2.6;0;0.2;0;0;0;0;34.2;0.4
PIETRAMONTECORVINO;2017;17;8.8;0;0;9;0;0;0;0;0;0;0.4;4.4
PIETRAMONTECORVINO;2017;18;21.8;8.4;0;4.2;0;0;0;0;0;0;0;2
PIETRAMONTECORVINO;2017;19;34.6;0;0;4.4;0;0;0;0;0;0;0;2.6
PIETRAMONTECORVINO;2017;20;10.4;0;0;1.8;0;0;0;0;0.6;0;0;1.4
PIETRAMONTECORVINO;2017;21;1;0;0;0;3.2;0;0;0;0.4;0;0;0
PIETRAMONTECORVINO;2017;22;5;0;0;0;0;0;0;0;0;0.6;0;0.2
PIETRAMONTECORVINO;2017;23;12.6;0;0;0;0;15.6;0;0;0;21.2;0;0
PIETRAMONTECORVINO;2017;24;5.8;0;0;0;0;0;0;0;0;2;0;0
PIETRAMONTECORVINO;2017;25;0;23.8;0;0;10.8;0;0;0;0.4;0;0;0
PIETRAMONTECORVINO;2017;26;0;0;0.2;0;0.4;0;0;0;0;0;1;0
PIETRAMONTECORVINO;2017;27;0;0;8.4;0;0;0;0;0;0;2.2;0;4.4
PIETRAMONTECORVINO;2017;28;0;0;0;0;0;0;0;0;0;0.2;0;20.8
PIETRAMONTECORVINO;2017;29;0;NA;0;3;0;0;0;0;0;0;1.6;1
PIETRAMONTECORVINO;2017;30;0;NA;0;0;0;0;0;0;0;0;8.6;0
PIETRAMONTECORVINO;2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
