stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
QUASANO;2017;1;0;0;3.2;0;0;0;NA;NA;NA;NA;NA;2.6
QUASANO;2017;2;0;0.2;0;0;0;9.2;0;0;NA;NA;NA;3.2
QUASANO;2017;3;0.8;0;0;8.6;0;0;0;0;0;NA;NA;4.6
QUASANO;2017;4;0.2;0;0;0.2;0;0;NA;0;0;NA;NA;0.2
QUASANO;2017;5;15;0;0;0;0;0;0;0;NA;NA;0;0
QUASANO;2017;6;0;0.6;0;0.2;1.2;1.6;0;0;0;NA;2.6;0
QUASANO;2017;7;0;0.6;21.8;0.6;0;0;0;NA;0;NA;2.2;0
QUASANO;2017;8;1.6;0.2;5.8;0;10.6;0;0;0;NA;NA;0;0
QUASANO;2017;9;2;2.6;0;0;2.4;0;0;0;0;NA;0;2.4
QUASANO;2017;10;2.2;2.4;0;0;0;0;0;0;0;NA;1.8;0
QUASANO;2017;11;1.2;0;0;0;0;0;NA;0;0;NA;0.2;0
QUASANO;2017;12;11.8;0;0;0;0;0;0;0;0;NA;0.2;0
QUASANO;2017;13;3.8;0;0;0;0;0;0;0;0;NA;1.4;1.4
QUASANO;2017;14;0;0.4;0;0;0;0;0;0;0;NA;24.2;0
QUASANO;2017;15;13.2;0;0;0;0;0;0;NA;0;NA;3.6;0
QUASANO;2017;16;0.4;0;0;1.4;0;0;0;0;0;NA;16.8;0
QUASANO;2017;17;8.4;0;0;10;0;0;0;0;0;NA;20.6;0
QUASANO;2017;18;42;0.6;0;0;0;0;0;0;0;NA;0;0
QUASANO;2017;19;5;0;0;1;0;0;0;0;0;NA;0;0
QUASANO;2017;20;2.6;0;0;1.2;0;0;0;0;0;NA;1.8;1.2
QUASANO;2017;21;0.4;0;0;1.6;5;0;0;0;0;NA;0;0
QUASANO;2017;22;0.6;0;0;0;0;0;0;0;0;NA;0;0
QUASANO;2017;23;1.6;0;0;0;0;NA;0;0;0;NA;0;0
QUASANO;2017;24;0.4;0;0;0;0;0;0;0;NA;NA;0;0
QUASANO;2017;25;0.4;18.8;0;0;24.6;0;NA;0;NA;NA;0;0
QUASANO;2017;26;0;0.6;0;0;0;0;0;0;NA;NA;0;0
QUASANO;2017;27;0;0;3;0;0;0;0;0;NA;NA;0.2;0
QUASANO;2017;28;0.2;0;0;0;0;NA;0;0;NA;NA;0;1.2
QUASANO;2017;29;0;NA;0;3;0;0;0;0;NA;NA;0;0
QUASANO;2017;30;0;NA;0;0;0;0;0;0;NA;NA;1.6;0
QUASANO;2017;31;0;NA;0;NA;0;NA;0;0;NA;NA;NA;0
