stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;1;NA;0;2.2;0;0;0;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;2;0;0;0.2;0;0;0;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;3;NA;0;0;10.6;3.2;0;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;4;0;0.2;0;0.2;0;0;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;5;0.6;0;0.4;0.4;0;0;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;6;0;0.4;0.2;4.4;0.8;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;7;0;0;7.8;0.4;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;8;0;0;10;0;10.8;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;9;NA;10.8;0;0;2.2;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;10;NA;3.2;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;11;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;12;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;13;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;14;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;15;NA;0;0;0;2;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;16;NA;0;0;8.2;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;17;NA;0;0;5;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;18;NA;7.2;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;19;NA;0.2;0;2.4;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;20;1.4;0;0;0.2;2;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;21;3;0;0;0.2;13.8;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;22;0.4;0;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;23;7.6;0;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;24;0.6;0.2;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;25;0;26.8;0;0;7.8;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;26;0;0.2;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;27;0;0;0.4;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;28;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;29;0;NA;0;10.2;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;30;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA
ROCCHETTA SANT'ANTONIO (TRAV. S. VENERE);2017;31;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA
