stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
RUFFANO;2017;1;0;0;1.6;0;0;0;0;0;0;2.4;0;16.4
RUFFANO;2017;2;0;0;0;0;0;0;0;0;0.2;5.4;0;5.2
RUFFANO;2017;3;0;0;0;12.8;0;2;0;0;0;0;0.2;0.8
RUFFANO;2017;4;0;0;0;1.2;0;0;0;0;0;0;0.2;0
RUFFANO;2017;5;4.8;0;0.4;0;0;0;0;0;0;0;0;0
RUFFANO;2017;6;1.8;2;0.4;0.4;0;0;0;0;0;0;10.4;0
RUFFANO;2017;7;0.6;0.6;12.6;0;0;0;0;0;0;0.8;7.8;0
RUFFANO;2017;8;2.4;0;8.6;0;0;0;0;0;3.4;0;0;0.2
RUFFANO;2017;9;0;14.2;0;0;6.6;0;0;0;0.2;0;0;0.2
RUFFANO;2017;10;0;6.4;0.6;0;0;0;0;0;0;0;4;0
RUFFANO;2017;11;0.2;0;0.4;0;0;0;0;0;49;0;9;1
RUFFANO;2017;12;0;0;0;0;0;0;0;0;0;0;3.6;0
RUFFANO;2017;13;0;0.2;0;0;0;0;0;0;0;0.2;0;0.4
RUFFANO;2017;14;0;0;0;0;0;0;0;0;0;0.2;57.6;0
RUFFANO;2017;15;10.6;0;1;0;0;0;0;0;0;0;12;0
RUFFANO;2017;16;20.6;0;0;0.4;7.2;0;0;0;0;0;41.8;1.6
RUFFANO;2017;17;15.4;0;0;1;0;0;0;0;0;0;80.6;2
RUFFANO;2017;18;42;0.2;0;0;0;0;0;0;0;0;93.4;0
RUFFANO;2017;19;0;0;0;0;0;0;0;0;0;0;0;0.2
RUFFANO;2017;20;0;0;0;0;0;0;0;0;0.2;0;0;0
RUFFANO;2017;21;0;0;0;0;0.8;0;0;0.2;0;0;0;0
RUFFANO;2017;22;0;0;0.2;0;0;0;0;0;0;0;0;0
RUFFANO;2017;23;0.4;0;0;0;0;0;0;0;0;4;0.2;0
RUFFANO;2017;24;13.2;0;0;0;0;0;0;0;40.8;11.4;0.2;0
RUFFANO;2017;25;0.4;4.4;0;0;1.4;0;0;0;0.4;0.2;0.4;0.2
RUFFANO;2017;26;0;0;0;0;2;0;0;0;0;0;0.4;0.2
RUFFANO;2017;27;0;0;0;0;0;0;5.6;0;74.6;0.2;0;0.8
RUFFANO;2017;28;0;0;2.2;0;0;0;0;0;0.2;0;0;3.2
RUFFANO;2017;29;0;NA;0;0;0;0;0;0;24.8;0;1;0
RUFFANO;2017;30;0;NA;0;0;0;0;0;0;0;0;0.8;0
RUFFANO;2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
