stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SACCIONE SS16TER;2017;1;NA;NA;NA;NA;NA;0;0;0;0;0;0;0
SACCIONE SS16TER;2017;2;NA;NA;NA;NA;NA;0;0.2;0;3.6;0;0;1.4
SACCIONE SS16TER;2017;3;NA;NA;NA;NA;NA;0;0;0;1;0;0;1.8
SACCIONE SS16TER;2017;4;NA;NA;NA;NA;0;0;0;0;0;0;0;0.2
SACCIONE SS16TER;2017;5;NA;NA;NA;NA;0;0;0;0;0;0;19.2;0
SACCIONE SS16TER;2017;6;NA;NA;NA;NA;0.4;0;0;0;0;26.8;21.6;0
SACCIONE SS16TER;2017;7;NA;NA;NA;NA;24;0;0;0;0;0.8;0.4;0
SACCIONE SS16TER;2017;8;NA;NA;NA;NA;1;0;0;0;5.2;0;0.2;0
SACCIONE SS16TER;2017;9;NA;NA;NA;NA;0.2;0;0;0;0;0;0;12
SACCIONE SS16TER;2017;10;NA;NA;NA;NA;0;0;0;0;23.2;0;0.2;0.2
SACCIONE SS16TER;2017;11;NA;NA;NA;NA;0;0;0;0;3.8;0;0;0
SACCIONE SS16TER;2017;12;NA;NA;NA;NA;0;0;0;4.2;0;0;0;0
SACCIONE SS16TER;2017;13;NA;NA;NA;NA;0;0;0;1.8;0;0;0.2;1.2
SACCIONE SS16TER;2017;14;NA;NA;NA;NA;0;0;19.2;0;0;0;33.2;0.2
SACCIONE SS16TER;2017;15;NA;NA;NA;NA;0;0.4;0;0;0;0;16.2;5.6
SACCIONE SS16TER;2017;16;NA;NA;NA;NA;0;0;0;0;0;0;68.2;0
SACCIONE SS16TER;2017;17;NA;NA;NA;NA;0;0;0;0;0;0;0.6;6
SACCIONE SS16TER;2017;18;NA;NA;NA;NA;0;0;0;0;0;0;0;3.6
SACCIONE SS16TER;2017;19;NA;NA;NA;NA;0;0;0;0;10.4;0;0;0.6
SACCIONE SS16TER;2017;20;NA;NA;NA;NA;7.2;0;0;0;10;0;1.6;3.2
SACCIONE SS16TER;2017;21;NA;NA;NA;NA;2.2;0;0;0;1.8;0;0;0.2
SACCIONE SS16TER;2017;22;NA;NA;NA;NA;0;0;0;0;0;1;0;0
SACCIONE SS16TER;2017;23;NA;NA;NA;NA;0;0;0;0;0;12.4;0;0
SACCIONE SS16TER;2017;24;NA;NA;NA;NA;0;0;0;0;16.2;0;0.2;0
SACCIONE SS16TER;2017;25;NA;NA;NA;NA;7.4;0;43.4;0;1.6;0;0;0
SACCIONE SS16TER;2017;26;NA;NA;NA;NA;0;0;0.2;0;0;0;3.2;0
SACCIONE SS16TER;2017;27;NA;NA;NA;NA;0;0;0;0;0;4.2;0.4;1.6
SACCIONE SS16TER;2017;28;NA;NA;NA;NA;0;0;0;0;0;0;0;0
SACCIONE SS16TER;2017;29;NA;NA;NA;NA;0;0;0;0;0;0;0;2.4
SACCIONE SS16TER;2017;30;NA;NA;NA;NA;0;0;0;0;0;0;2.8;0
SACCIONE SS16TER;2017;31;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;0
