stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SAN FELE;2017;1;0;0;5.4;0;0;0;0;0;0;1;0;3.2
SAN FELE;2017;2;0;0;0;2.2;0;0.4;3.2;0;22;0;0;10.8
SAN FELE;2017;3;7.2;0;0;0.6;0;0.2;0;0;0.2;0;0.4;3.4
SAN FELE;2017;4;0.2;4.2;0;0;0;0;0;0;0;0;0;0.8
SAN FELE;2017;5;0;0.2;6.8;0;0;0;0;0;0;0;0;0
SAN FELE;2017;6;0;13;0.8;0.2;1;0;0;0;0;6.8;26.2;0
SAN FELE;2017;7;0;0;27.4;4.4;0;0;0;0;0;7.2;12.4;0
SAN FELE;2017;8;0;0.6;17.2;0;5.4;0;0;0;7.6;0;2.8;2
SAN FELE;2017;9;0;8;0;0;5;0;0;0;3.8;0;0;27.2
SAN FELE;2017;10;1.4;1.8;0.4;0;0;0;0;0;32;0.2;0;0.2
SAN FELE;2017;11;2;0;0;0.2;0.2;0;0;0;46.2;0.2;0.2;0.2
SAN FELE;2017;12;14.6;0;0;0;0;0;0;1.6;0;0;0;0
SAN FELE;2017;13;10.2;0;0;0;0;0;0;0;0;0;8.4;4.8
SAN FELE;2017;14;0;0;0;0;0;0;3.8;0;0;0;9.6;0.4
SAN FELE;2017;15;0.2;0;0.2;0;0.2;0;0.4;0;0;0;1.2;9.4
SAN FELE;2017;16;3.4;0;0;3.8;0.4;0;0;0;0;0;26.6;3.4
SAN FELE;2017;17;5.6;0;0;2.8;0.2;0;0;0;0;0;6.4;0.8
SAN FELE;2017;18;11.4;4.6;0;4.8;0;0.4;0;0;0;0;0;0
SAN FELE;2017;19;4;0.2;0;15.2;0;0;0;0;2;0;0;0
SAN FELE;2017;20;10.2;0;0;1.4;0;0;0;0;5.8;0;0;0
SAN FELE;2017;21;1.2;0;0;0.2;9.6;0;0;0;0.2;0;0;0
SAN FELE;2017;22;0.4;0;0;0;0;0;0;0;0;9.4;0;0
SAN FELE;2017;23;3.4;0;0;0;0;0;0;0;0;6.8;0;0
SAN FELE;2017;24;0.8;1.6;0;0;0;0;0;0;0;8.8;0;0
SAN FELE;2017;25;0.4;32.6;0;0;15;0;0;0;4;0;0;0
SAN FELE;2017;26;0;1.6;0;0;0;8.2;0.4;0;11.8;0;0.2;0.2
SAN FELE;2017;27;0;0.2;3.4;0;0;0;1;0;0.6;0;5.2;13
SAN FELE;2017;28;0;0;0;0.2;0;0.2;0;0;0;0.8;0;18.2
SAN FELE;2017;29;0.2;NA;0;4;0;0;0;0;0.2;0;4.4;2
SAN FELE;2017;30;0;NA;0;0;0;0;0;0;0;0;17.6;0
SAN FELE;2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
