stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SPINAZZOLA;2017;1;0;0;2;0;0;0.2;0;0;0;0;0;2
SPINAZZOLA;2017;2;0;0.2;0.2;0.6;0;0.6;3.4;0;7.6;0;0;3.6
SPINAZZOLA;2017;3;4;0;0;2.6;0;0;0;0;0.4;0;0;1.2
SPINAZZOLA;2017;4;0.2;0;0;0;0;0;0;0;0;0.2;0;0
SPINAZZOLA;2017;5;18;0;0;0;0;0;0;0;0;0;0;0
SPINAZZOLA;2017;6;0.2;0.4;0;3.2;0.8;0;0;0;0;6;17.8;0
SPINAZZOLA;2017;7;0;1.4;13.2;5.8;0;0;0;0;0;5.8;5.6;0
SPINAZZOLA;2017;8;5.8;0;10.4;0;19.6;0;0;0;15.4;0;1.2;0
SPINAZZOLA;2017;9;1;8.2;0;0;3.4;0;0;0;1;0;0;6.2
SPINAZZOLA;2017;10;1.2;5.8;0.8;0;0;0;0;0;0.2;4;0.4;1.6
SPINAZZOLA;2017;11;0.2;0;0;0;0.2;0;0;0;24.8;0.2;0;0
SPINAZZOLA;2017;12;0;0.2;0;0;0;0;0;0;0;0;0.2;0
SPINAZZOLA;2017;13;2.6;0;0;0;0;0;0;0;0;0;3.6;2
SPINAZZOLA;2017;14;0;0;0;0;0;0;16.6;0;0;0;6;0
SPINAZZOLA;2017;15;1;0;0;0;2.6;0;0;0;0;0;1.6;0
SPINAZZOLA;2017;16;1.2;0;0;0.8;1.8;0;0;0;0;0;8.2;0
SPINAZZOLA;2017;17;5.8;0;0;2.8;0;0;0;0;0;0;0.4;0.2
SPINAZZOLA;2017;18;20.8;2;0;1.2;0;0;0;0;0;0;0;0
SPINAZZOLA;2017;19;13.8;0.2;0;5.6;0;0;0;0;0;0;0;0
SPINAZZOLA;2017;20;3.8;0;0;1.4;0.2;0;0;0;0.8;0;1;0
SPINAZZOLA;2017;21;0.6;0;0;0;9.4;0;0;0;0.2;0.2;0;0
SPINAZZOLA;2017;22;0.6;0;0;0;0;0;0;0;0;4.2;0;0
SPINAZZOLA;2017;23;2.6;0;0;0;2.4;0;0;0;0;14;0;0
SPINAZZOLA;2017;24;1.2;0;0;0;0.2;0;0;0;0;5;0;0
SPINAZZOLA;2017;25;0.2;12.8;0;0;25.8;0;0;0;1.6;0;0;0
SPINAZZOLA;2017;26;0;2.4;0;0;0;0;0;0;0;0;0;0
SPINAZZOLA;2017;27;0;0;6.4;0;0;0;0;0;0;0;0;0.6
SPINAZZOLA;2017;28;0;0;0;0;0;0;0;0;2.6;0.6;0;1.8
SPINAZZOLA;2017;29;0;NA;0;4.4;0;0;0;0;0.4;0;0;2
SPINAZZOLA;2017;30;0;NA;0;0;0;0;0;0;0.2;0;3;0
SPINAZZOLA;2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
