stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
TEORA;2017;1;0;1;11.6;0.2;0;0;0;0;0;1.6;0;1.2
TEORA;2017;2;0.4;0;0.2;1;0;0.2;4;0;24.8;0.8;0;8.4
TEORA;2017;3;17.2;1.2;0.4;0.4;0.2;0;0;0;0;0.2;1.4;11.4
TEORA;2017;4;0.8;11.2;0.4;0;0;0;0;0;0.2;0.2;0.2;0.4
TEORA;2017;5;0.6;4.2;9.6;1.4;0.2;0;0;0.2;0;0.4;0.6;0.2
TEORA;2017;6;0;25.2;11.8;0.2;1;0;0;0;0.2;5.6;59.4;0
TEORA;2017;7;0;0;32.6;1.4;0;0.4;0;0;2;5.2;27.8;0
TEORA;2017;8;0;0.2;4.2;0;7.4;0.2;0;0;7.8;0;1.8;4.2
TEORA;2017;9;1.4;8.4;0;0;7;0;0;0;5;0;0.6;28
TEORA;2017;10;3;1.4;0;0;0.2;0;0;0;28.6;0;0.8;0.2
TEORA;2017;11;4.4;0.4;0.2;6;0;0;0;0;48.4;0;0.2;0.6
TEORA;2017;12;3;0;0;0;0;0;0;0;0.2;0.2;0.4;0
TEORA;2017;13;19.4;0.2;0;0;0;0;0;0;0;0.4;30.8;14.4
TEORA;2017;14;0;0;0;0.2;0;0;2.8;0;0.2;0;14.8;1.8
TEORA;2017;15;0.2;0.2;0;0.2;0.2;0;1.6;0;0.4;0;5.2;49.8
TEORA;2017;16;0.4;0;0;4.8;0;0.2;0;0;0.2;0;26.4;12
TEORA;2017;17;5.4;0.2;0;5;0;0;0;0;1.6;0;1.8;0
TEORA;2017;18;26;8;0;0.4;0;0;0;0;0;0.2;0;0
TEORA;2017;19;4.4;0;0.2;5.8;0;0;0;0;5;0.4;0.2;0
TEORA;2017;20;12.4;0.2;0;0;0.2;0;0;0;11.8;0.4;0.2;0.2
TEORA;2017;21;0.4;0;0.4;0;6.2;0.4;0;0;0;0.2;0;0
TEORA;2017;22;0;0.2;0;0;0;4;0;0;0;5.8;0.2;0
TEORA;2017;23;5.4;0.2;0.2;0;0.6;0.2;0;0;0;5.6;0;0
TEORA;2017;24;0.6;5.6;0;0.2;10.2;0;0;0;0;7.4;0.4;0
TEORA;2017;25;0;41.8;0;0;12.6;0.2;0;0;10;0;0.2;0
TEORA;2017;26;0;0.6;0;0;0;0;15.4;0;0.2;0;5;1.2
TEORA;2017;27;0;0.2;4.8;0;0;0;0;0;0;0;0.8;33.6
TEORA;2017;28;0.4;0;0;2.8;0;0.4;0.2;0;0;0.2;0;15.8
TEORA;2017;29;0;NA;0;5.8;0;0.6;0.2;0;0.8;0;12.2;0.4
TEORA;2017;30;0.2;NA;0;0.2;0;0;0;0;0;0.4;37.6;0
TEORA;2017;31;0.4;NA;0;NA;0;NA;0;0;NA;0;NA;0
