stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
VENOSA;2017;1;0;0;3;0;0;0.8;0;0;0;0;0;2.6
VENOSA;2017;2;0;0;0;0.4;0;0;0;0;14;0;0;4.2
VENOSA;2017;3;2.4;0;0;7.8;0;1.8;0;0;0;0;0;1.8
VENOSA;2017;4;0.2;0;0;0;0;0;0;0;0;0;0;0
VENOSA;2017;5;20.4;0;0.8;0;0;0;0;0;0;0;0;0
VENOSA;2017;6;0;0.6;0.2;9;0.4;0;0;0;0;1.4;25;0
VENOSA;2017;7;0;2.2;11.2;3.6;0;0;0;0;0;5.6;3.2;0
VENOSA;2017;8;0.2;0;16.2;0;11.2;0;0;0;26.4;0;0;0
VENOSA;2017;9;0.6;11.2;0;0;0.6;0;0;0;2;0;0;10.6
VENOSA;2017;10;0;2.4;0.2;0;0;0;0;0;6.4;0.2;0;0
VENOSA;2017;11;0.2;0.2;0;0;0;0;0;0;17.4;11.4;0;0
VENOSA;2017;12;0;0;0;0;0;0;0;0.8;0;0;0;0
VENOSA;2017;13;0.8;0;0;0;0;0;0;0;0;0;1.6;5
VENOSA;2017;14;0;0;0;0;0;0;8;0;0;0;10.4;0
VENOSA;2017;15;0.6;0;0;0;13.4;0.4;0;0;0;0;0.2;0
VENOSA;2017;16;1.2;0;0;10.4;0.2;0;0.4;0;0;0;18;0.2
VENOSA;2017;17;5;0;0;3.2;0;0;0;0;0;0;2.2;0.6
VENOSA;2017;18;18.6;4.2;0;0.6;0;2.2;0;0;0;0;0;0
VENOSA;2017;19;20;0;0;5.8;0;0;0;0;0;0;0;0
VENOSA;2017;20;3.6;0;0;2.6;0.2;0;0;0;2.2;0;0;0
VENOSA;2017;21;1.8;0;0;0;10.8;0;0;0;0;0;0;0
VENOSA;2017;22;0.8;0;0;0;0;0;0;0;0;1.6;0;0
VENOSA;2017;23;2.4;0;0;0;0;0;0;0;0;7.8;0;0
VENOSA;2017;24;0.2;0;0;0;0;0;0;0;0.2;2.4;0;0
VENOSA;2017;25;0;20;0;0;28.6;0;0;0;12.4;0;0;0
VENOSA;2017;26;0;1.8;0;0;0;0;8;0;0;0;0;0
VENOSA;2017;27;0;0;1;0;0;0;0;0;3.8;0;0.8;0.4
VENOSA;2017;28;0;0;0;0;0;0;0;0;0;1.4;0;9.2
VENOSA;2017;29;0;NA;0;4.2;0;0;0;0;0.2;0;0;1.8
VENOSA;2017;30;0;NA;0;0;0;0;0;0;0;0;7.4;0
VENOSA;2017;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
