stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ASCOLI SATRIANO;2018;1;1.4;0;1.4;7;0;0;0;0;0;0.8;3.2;0.2
ASCOLI SATRIANO;2018;2;6.2;0.2;0;0;0.6;0;0;0;1.2;0;1;0.4
ASCOLI SATRIANO;2018;3;1;5.2;2.8;0;12.4;0;0;0.2;0;1.4;0.2;0.2
ASCOLI SATRIANO;2018;4;0;0;1.6;0;0.4;0.2;0;0;0;8.2;1;0
ASCOLI SATRIANO;2018;5;0;0;11.6;1.6;1;0;0;0;0;4.2;0;0
ASCOLI SATRIANO;2018;6;0;9;0.4;0;0.6;0;0;0;0;0;0;0
ASCOLI SATRIANO;2018;7;0;5.6;1.8;0;1.2;0;0;0;0.6;0.4;0;0
ASCOLI SATRIANO;2018;8;0;0;0;0;16.8;0;0;0;0;0;0;2.8
ASCOLI SATRIANO;2018;9;0;0;0;1;3;0;0;0;0;0;0;0
ASCOLI SATRIANO;2018;10;22;0;0;0;0;0;0;6.4;0;0;0;7.8
ASCOLI SATRIANO;2018;11;0;0;0.8;0;0;0;0;0;0;0;0.2;2.6
ASCOLI SATRIANO;2018;12;8.4;0;3;0.2;2.4;0;0;0;0;0;0;0
ASCOLI SATRIANO;2018;13;0;0.8;0;0;0;0;0;0;0;0;0;0.2
ASCOLI SATRIANO;2018;14;0;1.2;0;0;0;1.6;0;5;0;0;0;1.2
ASCOLI SATRIANO;2018;15;0.4;0;0;0;2.2;8;0;25.4;0;0.4;0;0.2
ASCOLI SATRIANO;2018;16;0.2;0;0;0;0;0;0;0;0;0;0.2;0
ASCOLI SATRIANO;2018;17;1;0;0;0.6;0;0;3.4;0;0;2.4;0.2;7
ASCOLI SATRIANO;2018;18;1;4;0.4;0;0;0.2;0;0;1;0;3.6;0
ASCOLI SATRIANO;2018;19;0;2.4;0.8;0;0;0;0;0;35;0.2;3.4;0
ASCOLI SATRIANO;2018;20;5.4;14;8.8;0;0;0;0;0;4.8;0;10.6;1.2
ASCOLI SATRIANO;2018;21;0.2;8.8;6.8;0;0.4;10.4;0;0.2;0.2;4.6;0;0
ASCOLI SATRIANO;2018;22;0;0.2;9.4;0;11.2;8;0;0.2;0;30.2;0.2;0
ASCOLI SATRIANO;2018;23;0.8;1.6;10;0;25.6;0.2;16.4;0;0;2.8;0;0
ASCOLI SATRIANO;2018;24;0;7.2;0;0;0;0;0;1.4;4.6;0;1.2;1.4
ASCOLI SATRIANO;2018;25;0;0.2;20.4;0;0;0.6;0;0;0;0;7.6;0
ASCOLI SATRIANO;2018;26;0;0;1.4;0;0;6.8;0;0;0;0;0;0
ASCOLI SATRIANO;2018;27;0;5;0;0;0;0;0;0;0;0;30.6;0
ASCOLI SATRIANO;2018;28;0;0;0;0;0;0;1;0;0;1.2;0;0
ASCOLI SATRIANO;2018;29;0;NA;0;0;0;0;0;0;0;8.2;0;0
ASCOLI SATRIANO;2018;30;0;NA;0;0;0;0;0;0;0;0;0;2
ASCOLI SATRIANO;2018;31;0;NA;3.8;NA;0;NA;0;0;NA;0;NA;1.8
