stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BICCARI;2018;1;0.8;0;1.4;0.8;0;0;0;0;0.2;7;2.2;1
BICCARI;2018;2;1.2;4;1;0;0.8;0;0;0;0;1.8;8.2;0.4
BICCARI;2018;3;0.6;30.8;16.4;0;27.6;0;0;0.2;0;0;0;0.2
BICCARI;2018;4;0.2;0.6;2.2;0;3.2;0;0;0;0;5.4;4.4;0
BICCARI;2018;5;0;0;13;0.8;5.8;1.8;0;0;0;3.4;0;0
BICCARI;2018;6;0;11.6;10.6;0;0;0;0;0;0;0.2;0;0
BICCARI;2018;7;0;12.2;6.8;0;1.2;0;0;0;8.2;0;0;0
BICCARI;2018;8;0;0;0;0;32.8;0;0;0;0;0;0;0.6
BICCARI;2018;9;0;0;0;2;2.4;1.6;0;0;0;0;0;0
BICCARI;2018;10;11.8;0;0;0;0;0;0;1.4;0;0;0;7.8
BICCARI;2018;11;0.2;0.2;3;1;0;0;0;0.2;0;0;0.2;3.8
BICCARI;2018;12;18;0;8;0.4;0;0;0;1.2;0;0;0;0
BICCARI;2018;13;0;1.8;0;0;0;0;0;0;0;0;0;0.4
BICCARI;2018;14;0;0.8;0.6;0;0;22.4;0;5.8;0;0.6;0;1.8
BICCARI;2018;15;0.2;0;0;0;5;8.6;0;6.8;0;10.8;0;1.4
BICCARI;2018;16;0.4;0;0.2;0.2;0;0;0;0.6;0;3.4;0.8;0
BICCARI;2018;17;1.8;0;0.2;0;0;0;10.6;0;0;0.6;0;12.2
BICCARI;2018;18;0.2;4.6;9.6;1.2;0;0;0;0;18.6;0;2.8;0
BICCARI;2018;19;0;6;2.6;0;0;0;0.6;0;5;0.2;23.8;0
BICCARI;2018;20;5.4;18.6;12.8;0;0;8.8;0;4.6;23;0;16.4;0
BICCARI;2018;21;1.6;14.2;11.6;0;10.8;1;0;0;0;4.6;0.2;0
BICCARI;2018;22;0;0;3.6;0;1.6;11.8;0;0;0;61.8;0;0
BICCARI;2018;23;1;6.2;0;0;24.2;0.6;16.2;0;0;3.4;0;0
BICCARI;2018;24;0;11.4;0;0;0;0;0;1.4;3.2;0;0.2;2.2
BICCARI;2018;25;0;1.4;10;0;0;0;0;0;0;0;5.8;0
BICCARI;2018;26;0;0.8;2.2;0;0;27.4;0;0;0;0;1.2;0
BICCARI;2018;27;0;7.2;0;0;0;0.4;3.4;0;0;0;43.4;0
BICCARI;2018;28;0;0;0.2;0.6;2.4;0;0;0;0;2.8;0;0
BICCARI;2018;29;0;NA;0;0;0;0;0;0;0;14.8;0.2;0
BICCARI;2018;30;0;NA;0;0;0;0;0;0;0;0.6;0;7
BICCARI;2018;31;0;NA;13.8;NA;0;NA;0;0;NA;0;NA;0.4
