stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BISCEGLIE;2018;1;1;0;0.4;3.2;0;0;0;0;0;0;1.6;0
BISCEGLIE;2018;2;2.4;0;1.2;0;0.2;0;0;0;0;0;0.2;0.2
BISCEGLIE;2018;3;0.2;0.6;10.6;0;8.4;0;0;0;0;57.8;0;0
BISCEGLIE;2018;4;0.2;0;0;0;0;0.2;0;0;0;2.4;0.2;3
BISCEGLIE;2018;5;0;0;3.2;1;0;0;0;0;0;22.4;0.4;0
BISCEGLIE;2018;6;0;4.6;0;0;4;0;0;0;0;0.6;0;0
BISCEGLIE;2018;7;0;1.4;4.2;0;0.4;0;0;0;0;9;0;0
BISCEGLIE;2018;8;0;0.6;2.8;0;0.2;11.2;0;0;0;4.2;0;0.8
BISCEGLIE;2018;9;0;0.2;0;1;0;0;0;0;0;0;0;0
BISCEGLIE;2018;10;7.6;0;0;0;0;0;0;0;0;0;0;6.4
BISCEGLIE;2018;11;0;0.8;0;0;0;0;0;0;0;0;0;5.6
BISCEGLIE;2018;12;1.2;0;4.2;0.6;0;0;0;0;0;0;0;0
BISCEGLIE;2018;13;2.6;2.8;0;0;0;0;0;0;0;0;0.2;1.4
BISCEGLIE;2018;14;0;3.4;0;0;0;8.4;0;1.2;0;0;0.2;2
BISCEGLIE;2018;15;0.6;0;0;0;8.4;17.2;0;2.4;0;0;0;4.2
BISCEGLIE;2018;16;0;0;0.2;0;0;0;0;0;0;0.8;1.2;0
BISCEGLIE;2018;17;8.2;0;0;0;0;0;0;0;0;0;15;5.6
BISCEGLIE;2018;18;0;0.8;0;0;0;0;0;0;0;0;1.6;0.2
BISCEGLIE;2018;19;0;2;0.2;0;0;0;0;0;1.2;0;0.8;0
BISCEGLIE;2018;20;5.4;15.2;0.6;0;0;0;0;0;0;0;29.8;0.2
BISCEGLIE;2018;21;0.2;5;0.4;0;0;0;0;0;0;5;0;0
BISCEGLIE;2018;22;0;0;51.2;0;7.4;23;0;0;0;12;0;0
BISCEGLIE;2018;23;0;0;5;0;17.6;3.4;5.8;0;0;24.2;0.2;0
BISCEGLIE;2018;24;0;0;0;0;0;0;0;0;0;0;0.2;0
BISCEGLIE;2018;25;0;3;17;0;0;0;0;0;0;0;1.4;0
BISCEGLIE;2018;26;0;5.8;5.2;0;0;10.2;0;0;0;0;0.2;0
BISCEGLIE;2018;27;0;3.6;0;0;0;3.4;0;3.4;0;0;17.2;0
BISCEGLIE;2018;28;0;0;0;0;0;0.2;0;0;0;0;17.6;0
BISCEGLIE;2018;29;0;NA;0;0;0;0;0;0;0;2.8;0;0
BISCEGLIE;2018;30;0;NA;0;0;0;0;0;0;0;0.4;0;8.2
BISCEGLIE;2018;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;2.8
