stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BOSCO UMBRA;2018;1;0;0;2.2;0.4;0;0;0;0;0;0;0.4;0
BOSCO UMBRA;2018;2;21;0.2;0;0;2.2;0;0;0;0.8;0;0.2;0
BOSCO UMBRA;2018;3;3;9.2;12.6;0;27.2;0;0;0;0;0;0;0
BOSCO UMBRA;2018;4;0;1;1.2;0;6.2;0;0;1;0;0;0.4;9.6
BOSCO UMBRA;2018;5;0;0;16.4;3;0.4;25.8;0;0.2;0;11.6;0;0
BOSCO UMBRA;2018;6;0;38.2;1.6;0;3.8;0;15.4;13.2;0;8.8;0;0
BOSCO UMBRA;2018;7;0;4.8;1;0;1.6;0;0;0;6.6;4.6;0;0
BOSCO UMBRA;2018;8;0;0.2;4.2;0;40;8;0;0;0.4;2.4;0.6;3.6
BOSCO UMBRA;2018;9;0;3.6;0;4.4;8.2;0.8;0;0;0;0;0;0
BOSCO UMBRA;2018;10;20.4;0;0;0;0;0;0;0;0.2;0;0;12.2
BOSCO UMBRA;2018;11;0;0.2;1;0;0;0;0;0;0;0;0;11.4
BOSCO UMBRA;2018;12;1.4;0;1;0.4;11;0;0;0;0;0;0;0
BOSCO UMBRA;2018;13;0;11.6;0;0;0;6.4;0;0;0;0;0;2.6
BOSCO UMBRA;2018;14;0;6.4;0;0;0;13.4;0;4.6;0;0;0;5.2
BOSCO UMBRA;2018;15;0.2;0;0;0;1.4;23.2;0;0;0;0;0;15.4
BOSCO UMBRA;2018;16;0;0;1.2;0;0.2;0.4;0;0.2;0;1.2;0.6;1.2
BOSCO UMBRA;2018;17;25.8;0;0.2;0;0;1.2;7.8;0;0;0;8;17.8
BOSCO UMBRA;2018;18;1;1;2.4;0;0;0;0;0;0;0;5.2;0
BOSCO UMBRA;2018;19;0;5.4;0;0;0;0;0;2.2;16.6;0;18.2;0
BOSCO UMBRA;2018;20;0.4;9.4;14.6;0;0;0;0;0;2;0;11.6;0
BOSCO UMBRA;2018;21;2.6;22.8;17;0;0.2;0;0;0.2;0;13.6;10;0.8
BOSCO UMBRA;2018;22;0;0.6;29.2;0;4.8;23.4;0;0;0;55.8;0;0
BOSCO UMBRA;2018;23;0.6;22.6;37.2;0;36.4;3.2;47.2;0;0;7.8;0;0
BOSCO UMBRA;2018;24;0;0.2;0;0;0.2;0;0;47;1;0;0.4;5.2
BOSCO UMBRA;2018;25;0;23.2;30.2;0;0;0;0;0;0;0;3;0
BOSCO UMBRA;2018;26;0;16.2;5.8;2.2;0;0;0;16.4;0;0;0;0
BOSCO UMBRA;2018;27;0;7.4;0;0;0;5.6;0;4.6;0;0;58.4;0
BOSCO UMBRA;2018;28;0;24.6;0;0;0;0.2;0;0;0;1;6.8;0
BOSCO UMBRA;2018;29;0;NA;0;0;0;0;0;0;0;29.6;0;0
BOSCO UMBRA;2018;30;0;NA;0;0;0;0;0;0;0;0;0;23.2
BOSCO UMBRA;2018;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;8
