stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CASSANO DELLE MURGE;2018;1;0.2;0;0.8;1.4;0;0;0;0;0;0;3.8;0.6
CASSANO DELLE MURGE;2018;2;8.6;0;3;0;0;0;0;0;0;0.4;0.2;0.4
CASSANO DELLE MURGE;2018;3;1.2;0.6;3.6;0;15.8;0;0;0;0;1;0.2;0
CASSANO DELLE MURGE;2018;4;0.4;0;0;0;9.8;0;0;0;0;15.2;0.6;3.6
CASSANO DELLE MURGE;2018;5;0;0;3.4;15.8;0;0;0;0;0;35;0;0
CASSANO DELLE MURGE;2018;6;0;1.8;0.2;0;0.8;0;0;0;0;5.4;0.2;0
CASSANO DELLE MURGE;2018;7;0;19.8;0.4;0;0.6;0;0;0;2.2;4.8;0.2;0
CASSANO DELLE MURGE;2018;8;0.6;0;1;0;4;0;0;0;0.2;0;0;1.6
CASSANO DELLE MURGE;2018;9;0;0;0;0;2.4;6.8;0;2;0;0.2;0;0
CASSANO DELLE MURGE;2018;10;4;6.2;0;0;0;0;0;0;0;0;0;2.8
CASSANO DELLE MURGE;2018;11;0;2.6;0;0;0;0;0;0;0;0;0.2;3.6
CASSANO DELLE MURGE;2018;12;3.4;0;0.2;0;0;0;0;0;0;0;0.4;0
CASSANO DELLE MURGE;2018;13;2.8;9.2;0;0;0;0;0;0;0;0;0.2;1.2
CASSANO DELLE MURGE;2018;14;0;3.6;0;0;0;20;0;7.2;0;0.4;0;0.8
CASSANO DELLE MURGE;2018;15;0;0.8;0;0;0.8;14.6;0;13.4;0;0.2;0;8.6
CASSANO DELLE MURGE;2018;16;0;0;0;35.8;0;3.2;0;3.2;0;0.2;2.2;0
CASSANO DELLE MURGE;2018;17;4.8;0;0;0;0;0;0;0;0;0.2;8;9.2
CASSANO DELLE MURGE;2018;18;0;2.2;0;0;0;0;0;0;0;0;1;1
CASSANO DELLE MURGE;2018;19;0;2.8;0.2;0;0;0;0;0;0;0.2;0.2;0
CASSANO DELLE MURGE;2018;20;1;8.2;1.8;0;0;0;0;0;0;0;2.2;0
CASSANO DELLE MURGE;2018;21;2.8;14.8;3.6;0;0;0;0;0;0;0;0;0
CASSANO DELLE MURGE;2018;22;0;0;46.8;0;0.6;1.4;0;6.4;0;18.6;0;0
CASSANO DELLE MURGE;2018;23;0.2;0.6;2.2;0;8.4;1.2;12.8;3.2;0;6;0.2;0
CASSANO DELLE MURGE;2018;24;0;0.8;0;0;1.8;0;0;0.2;0;0;0;1.4
CASSANO DELLE MURGE;2018;25;0;9.8;11;0;0;0;0;10.2;0;0;15;0.6
CASSANO DELLE MURGE;2018;26;0;8;0.8;0;0;24.4;0;0;0;0;0.4;0
CASSANO DELLE MURGE;2018;27;0;7;0;0;0;5.8;0.8;0;0;0;9.8;0
CASSANO DELLE MURGE;2018;28;0;0;0;0;0;2.8;0;0;0;3.4;10.4;0
CASSANO DELLE MURGE;2018;29;0;NA;0;0;0;0;0;0;0;23;0;0
CASSANO DELLE MURGE;2018;30;0;NA;0;0;0.2;0;0;0;0;3.8;0;3.8
CASSANO DELLE MURGE;2018;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;13.4
