stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CASTELLANA GROTTE;2018;1;0.8;0;0.4;0.2;0;0;0;0;0;0;22;0.6
CASTELLANA GROTTE;2018;2;8.8;0;2.4;0;0;0;0;0;0;0.8;0;0
CASTELLANA GROTTE;2018;3;0;0;3.4;0;13.8;0;0;0;0;0;0;0.2
CASTELLANA GROTTE;2018;4;1.4;0;0;0;0.6;1.4;0;0;0;0.4;5;6
CASTELLANA GROTTE;2018;5;0;0;2.2;5.2;0;1;0;0;0;37.6;10.4;0.2
CASTELLANA GROTTE;2018;6;0.2;0;0;0;2;0;0;0;0;2.6;1.2;0
CASTELLANA GROTTE;2018;7;0;7.8;0.8;0;0;0;0;0;0;0.4;0.4;0
CASTELLANA GROTTE;2018;8;0;0;0.6;0;3.4;0;0;0;0;0.2;0;8.8
CASTELLANA GROTTE;2018;9;0;0;0;0;0;0.4;0;0;0;0;0;0
CASTELLANA GROTTE;2018;10;8.2;9.2;0;0;0;1.4;0;0;0;0;0.2;2.4
CASTELLANA GROTTE;2018;11;0;9.6;0;0;0;0;0;0;0;0.2;0.2;2.2
CASTELLANA GROTTE;2018;12;4.2;1;0.6;0;0;0;0;0;0;0.2;0.4;0
CASTELLANA GROTTE;2018;13;3;11.4;0;0;0;23.4;0;0;0;0;0.2;0.2
CASTELLANA GROTTE;2018;14;0;3.6;0;0;0;4;0;0;0;0.2;0.2;1.8
CASTELLANA GROTTE;2018;15;0;2.2;0.2;0;0;18.6;0;29.4;0;0;0.2;12.6
CASTELLANA GROTTE;2018;16;0;0;1.2;10.6;0;2;0;2;0;0;12.8;0
CASTELLANA GROTTE;2018;17;6.6;0;0;0.2;0;0;0;0;0;0.2;1.4;14.4
CASTELLANA GROTTE;2018;18;0.8;0;1.2;0;0;0;0;0;0;0.2;2.6;1.8
CASTELLANA GROTTE;2018;19;0;2.8;9.2;0;0;0;0;0;0;0.2;0.8;0
CASTELLANA GROTTE;2018;20;0.6;10.2;3.2;0;0;0;0;0;0;0;0.6;0
CASTELLANA GROTTE;2018;21;17.2;13.2;1;0;0;0;0;0;0;0;0;0
CASTELLANA GROTTE;2018;22;0;0.2;49;0;0;1.2;0;1.4;0.2;26.6;0.2;0.2
CASTELLANA GROTTE;2018;23;0.6;0;10.4;0;13.6;2.2;9.2;0;0;1.2;0.2;0
CASTELLANA GROTTE;2018;24;0;0.2;0.2;0;4;0;0;2.6;0.6;0;0.2;1.6
CASTELLANA GROTTE;2018;25;0;22.2;12.4;0;0;0;0;0;0;0;13;0
CASTELLANA GROTTE;2018;26;0;11.2;1.2;0;0;20.2;0;0;0;0;0.8;0
CASTELLANA GROTTE;2018;27;0;2.2;0;0;0;6;0;0;0;0;13;0
CASTELLANA GROTTE;2018;28;0;1.2;0;0;0;1.2;0;0;0;19.6;44.2;0
CASTELLANA GROTTE;2018;29;0.4;NA;0;0;0;0;0;0;0;12.2;1.2;0
CASTELLANA GROTTE;2018;30;0.2;NA;0;0;0;0;0;0;0;4.8;0;2.6
CASTELLANA GROTTE;2018;31;0.2;NA;0;NA;0;NA;0;0;NA;0.4;NA;5.2
