stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CASTELLUCCIO DEI SAURI;2018;1;0.4;0;1.4;4.6;0;0;0;0;0;7.4;4.2;1.2
CASTELLUCCIO DEI SAURI;2018;2;1.6;1;0;0;0.2;0;0;0;0;0;4;0.2
CASTELLUCCIO DEI SAURI;2018;3;0.4;9.6;6.4;0;13.6;0;0;0;0;0.6;0;0
CASTELLUCCIO DEI SAURI;2018;4;0;0.4;2;0;0.2;0;0;0;0;4;1.6;0
CASTELLUCCIO DEI SAURI;2018;5;0;0;18.6;0;11.8;0;0;0;0;4.8;0;0
CASTELLUCCIO DEI SAURI;2018;6;0;7.4;0.2;0;0;0;0;0;0;0.2;0;0
CASTELLUCCIO DEI SAURI;2018;7;0;7.4;1.8;0;2;0;0;0;2;1.2;0;0
CASTELLUCCIO DEI SAURI;2018;8;0;0;0.2;0;30;1.4;0;0;0;0;0;0.2
CASTELLUCCIO DEI SAURI;2018;9;0;0;0;1.4;16.2;0;0;0;0;0;0;0
CASTELLUCCIO DEI SAURI;2018;10;17.2;0;0;0;3.2;0;0;10.2;0;0;0;11.4
CASTELLUCCIO DEI SAURI;2018;11;0;0;1.4;0;0;0;0;0;0;0;0;5.8
CASTELLUCCIO DEI SAURI;2018;12;8.2;0;5.8;0.4;1.8;0;0;0;0;0;0;0
CASTELLUCCIO DEI SAURI;2018;13;0;0.2;0;0;0;0;0;0;0;0;0;0.2
CASTELLUCCIO DEI SAURI;2018;14;0;0.6;0;0;0;2.8;0;2.8;0;0;0;0.8
CASTELLUCCIO DEI SAURI;2018;15;1.6;0;0;0;2.2;18.4;0;11;0;1.8;0;0.4
CASTELLUCCIO DEI SAURI;2018;16;0;0;0;0;0;0;0;0;0;0.2;0.4;0
CASTELLUCCIO DEI SAURI;2018;17;0.2;0;0;0.6;0;0;2.6;0;0;4.6;1;6.8
CASTELLUCCIO DEI SAURI;2018;18;1.2;3.6;0.2;1;0;0;0;0.2;0.2;0;3.8;0
CASTELLUCCIO DEI SAURI;2018;19;0;1.6;0;0;0;0;0;0;50.2;0;6.2;0
CASTELLUCCIO DEI SAURI;2018;20;2.2;10.6;9;0;0;0;0;0.2;61;0;10;1.4
CASTELLUCCIO DEI SAURI;2018;21;1.2;10.8;11.2;0;0.4;9;0;3.8;0;6.4;0;0
CASTELLUCCIO DEI SAURI;2018;22;0;0;18.2;0;24.2;9.2;0;0;0.2;48.2;0;0
CASTELLUCCIO DEI SAURI;2018;23;0.2;2;1;0;17.8;0;92.8;0;0;0.2;0;0
CASTELLUCCIO DEI SAURI;2018;24;0;6.4;0;0;0;0;0;6.6;0;0;0.6;0.8
CASTELLUCCIO DEI SAURI;2018;25;0;0.2;15.6;0;0;0;0;0;0;0;5.6;0
CASTELLUCCIO DEI SAURI;2018;26;0;2.4;0.4;0;0;0;0;0;0;0;0;0
CASTELLUCCIO DEI SAURI;2018;27;0;0.4;0;0;0;0.4;16.2;0;0;0;34.6;0
CASTELLUCCIO DEI SAURI;2018;28;0;0;0;0;0;0;4.8;0;0;0;0;0
CASTELLUCCIO DEI SAURI;2018;29;0;NA;0;0;0;0;0;0;0;10.6;0;0
CASTELLUCCIO DEI SAURI;2018;30;0;NA;0;0;0.2;0;0;0;0;0;0;1.6
CASTELLUCCIO DEI SAURI;2018;31;0;NA;4.6;NA;0;NA;0;0;NA;0;NA;0.4
