stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
COLLEPASSO;2018;1;1;0.2;0.2;0;0;0;0;0;0;0;2.2;3.2
COLLEPASSO;2018;2;1.4;5.4;1.4;0;0.6;0;0;0;0;29.8;0.2;17.8
COLLEPASSO;2018;3;2.4;6.4;0.2;0;6.2;0;0;38.8;0;2.4;0.2;2
COLLEPASSO;2018;4;0;0;0;0;1.8;0;0;0;0;0;24.4;1.6
COLLEPASSO;2018;5;0;0;9.8;2.2;0;0;0;13.4;3.2;33;10;2.2
COLLEPASSO;2018;6;0.2;0;0.4;0;0;0;0;0;0;28.4;5.2;0
COLLEPASSO;2018;7;0;0;1.4;0;0;0;0;0;0;0;8.4;0
COLLEPASSO;2018;8;0;0;0;0;9.2;0;0;0;1.2;2.6;1.4;1.4
COLLEPASSO;2018;9;0;0;0;0;3.4;0;3.6;8.8;0;0.2;0.4;0.2
COLLEPASSO;2018;10;45;38.2;0;0;5;0;1.8;0;0;0.2;0.2;0.2
COLLEPASSO;2018;11;0.2;2.6;0;0;0;0;0;0;0;0.2;0;1.8
COLLEPASSO;2018;12;20.4;1.6;0;0.2;1.6;0;0;0;0;0;0.2;0
COLLEPASSO;2018;13;1.2;21;0;0;0.2;0;0;0;0;1;0.4;1
COLLEPASSO;2018;14;0;30;0;0;3.6;16.4;0;3.2;11;0.2;0.4;0
COLLEPASSO;2018;15;0.2;16.6;0.2;0;6;1.8;0;0;6.8;0;0.2;11.8
COLLEPASSO;2018;16;0.2;0;2.2;0;0;8.8;0;0;0;0;0;0.2
COLLEPASSO;2018;17;0;0.2;0;0;0;0;0;0.2;0;0;8.6;19
COLLEPASSO;2018;18;0.4;0;0.6;0;4.2;0;0;0;0;0.2;11.2;2.6
COLLEPASSO;2018;19;0;11.8;1.4;0;0;0;0;0;0;0.2;8.6;0
COLLEPASSO;2018;20;0;2.2;17.2;0;0.2;0;0;0;0;0.2;34;0
COLLEPASSO;2018;21;6.2;13.4;1.4;0;0;1;0;0;0;0.2;0.4;0.2
COLLEPASSO;2018;22;0;1.2;10;0.2;0;0;0;0;0;87;1.6;0
COLLEPASSO;2018;23;0;1;1.2;0.2;31.4;0.4;14.8;0;0;11.4;0.2;0
COLLEPASSO;2018;24;0;6;0;0;0;0;0;0;0.2;0;0.6;0.2
COLLEPASSO;2018;25;0;41.6;16.4;0;0.2;10;0;5.2;0;0;16.6;0
COLLEPASSO;2018;26;0;24.2;1;0;0;16.4;0;0;0;0;5;0
COLLEPASSO;2018;27;0.2;2;0;0;0;1.4;0;6.8;0;0;0.2;0
COLLEPASSO;2018;28;0;0;0;0;0;13.2;0;6.6;0;15.2;2.4;0.2
COLLEPASSO;2018;29;0.4;NA;0;0;0;0;0;0;0;0.2;0;0
COLLEPASSO;2018;30;0;NA;0;0;0;0;0;0;0;0.4;0;0
COLLEPASSO;2018;31;0.2;NA;0;NA;0;NA;0;0;NA;4;NA;1.2
