stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CORATO;2018;1;1;0;0.6;3.2;0.2;0;0;0;0;0;1.6;0.6
CORATO;2018;2;5;0;0.6;0;0;0;0;0;0.8;0;0.2;0.2
CORATO;2018;3;1.4;0.6;8.6;0;6.8;0;0;0;0;22.8;0;0.2
CORATO;2018;4;0.8;0;0;0;0;0;0;0;0;2.4;0.2;3.2
CORATO;2018;5;0;0;3;1.8;0;0;0;0;0;27.4;0.4;0
CORATO;2018;6;0;3.2;0.2;0;4.6;0;0.2;0;0;0.4;0.2;0
CORATO;2018;7;0;5;2.4;0;0.2;0;0;0;0;5.2;0;0
CORATO;2018;8;0;0;2;0;10.6;0;0;0;0;0.8;0;3.6
CORATO;2018;9;0;0;0;0.8;0;0.4;0;0;0;0;0;0
CORATO;2018;10;5.4;0.2;0;0;0;0;0;0;0;0;0;11.6
CORATO;2018;11;0;3.2;0;0;0;0;0;0;0;0;0;3.8
CORATO;2018;12;4.8;0;1.4;0;0;0;0;0;0;0;0.2;0
CORATO;2018;13;4;3.2;0;0;0;0;0;0;0;0;0;1
CORATO;2018;14;0;2.6;0;0;0;8;0;12.2;0;0;0;2.4
CORATO;2018;15;0.2;0.4;0.2;0;3.6;39.4;0;11.4;0;0;0.4;4.4
CORATO;2018;16;0.2;0;0;0;0;1.4;0;0;0;1.2;3.4;0
CORATO;2018;17;5;0;0;0;0;0;0;0;0;0;8.8;11.4
CORATO;2018;18;0;1.4;0;0;0;0;0;0;0;0;0.4;1
CORATO;2018;19;0;2.4;0.4;0;0;0;0;0;1.6;0.2;1.2;0
CORATO;2018;20;4.8;12.2;0.6;0;0;0;0;0;0.2;0;29.4;0.4
CORATO;2018;21;0.4;4.8;1.4;0;0.4;0;0;0;0;0;0;0
CORATO;2018;22;0;0;61.2;0;19.2;28.2;0;0;0;21;0;0
CORATO;2018;23;0.2;0;6.8;0;27.8;1.8;18.6;0;0;15.6;0;0
CORATO;2018;24;0;0.8;0;0;0;0;0;0;0;0;0.2;3.2
CORATO;2018;25;0;12.8;18.4;0;0;0;0;0;0;0;3;0
CORATO;2018;26;0;2.8;9.4;0;0;9.8;0;0;0;0;0.2;0
CORATO;2018;27;0;7;0;0;0;38.4;0;0.8;0;0;12.6;0
CORATO;2018;28;0;0.6;0;0;0;0.2;0;0;0;0;8.4;0
CORATO;2018;29;0;NA;0;0;0;0;0;0;0;6.4;0;0
CORATO;2018;30;0;NA;0;1.4;0.2;0;0;0;0;0.6;0;6.4
CORATO;2018;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;5.6
