stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CRISPIANO;2018;1;5;0;0.2;1;0;0;0;0;0;0;10;1.2
CRISPIANO;2018;2;7.2;0;0.4;0;0;0;0;10;0;0;0;0
CRISPIANO;2018;3;0;0.6;0.4;0;6.8;0;0;0;0;1.2;0;0.2
CRISPIANO;2018;4;0;0;0;0.2;1;0;0;0;0.4;0;9.2;1
CRISPIANO;2018;5;0;0;15.8;2;0;0;0;7.2;0.4;37.4;10.6;0
CRISPIANO;2018;6;0;0;0.2;0;2.4;0;0;0;0;8.8;0.2;0
CRISPIANO;2018;7;0;12.4;2.4;0;0;0;0;0;24.4;0.4;0.2;0
CRISPIANO;2018;8;0;0;1.2;0;0.2;0;0;0;0;0;0;0.8
CRISPIANO;2018;9;0;0;0;0;2;0;0;0;0;0;0;0
CRISPIANO;2018;10;2.8;6.2;0;0;0;0;0;0;0;0;0;2.8
CRISPIANO;2018;11;0;3.2;0;0;0;0;0;0;0;0;0.2;0
CRISPIANO;2018;12;6;0.6;0.8;0;0.2;0;0;0;0;0;0.4;0
CRISPIANO;2018;13;4.8;13;0;0;0;0;0;0;0;0;0;3.8
CRISPIANO;2018;14;0;0.2;1;0;0;24;0;0;0;0.2;0;25.6
CRISPIANO;2018;15;0;0.6;0;0;7.4;7.4;0;0;0;0.4;0;17.4
CRISPIANO;2018;16;0;0;0.2;2.6;0;0;0;41.8;0;1;0.6;0
CRISPIANO;2018;17;0.8;0;0;0;0;0;0.8;2.6;0;0;0.2;9.8
CRISPIANO;2018;18;0.2;0.2;1;0;9;0;0;0;0;0;1;0.4
CRISPIANO;2018;19;0;0.8;0;0;0;0;0;0;0;0;6.6;0
CRISPIANO;2018;20;0;13.2;5.8;0;0;19.4;0;0;16;0;3.2;0
CRISPIANO;2018;21;2;16.4;1;0;0;2;0;46;0;0;0.4;0
CRISPIANO;2018;22;0;0;19.2;0;0;0;0;22.4;0;18.2;0;0
CRISPIANO;2018;23;0.2;0.2;1.4;0;10.4;0;18.8;1.6;0;0;0.2;0
CRISPIANO;2018;24;0;0.6;0;0;0;0;0;8.4;0;0;0;0.2
CRISPIANO;2018;25;0;3.2;15.8;0;0;0;0;1;0;0;4.6;0.2
CRISPIANO;2018;26;0;4.2;0.2;0;0;26.2;0;0;0;0;2.4;0
CRISPIANO;2018;27;0;3;3.4;0;0;0.4;0;0.8;0;0;8.8;0
CRISPIANO;2018;28;0;0;0;0;0;1.2;0;0;0;27;4.8;0
CRISPIANO;2018;29;0;NA;0;0;0;0.6;0;0;0;11.4;1.4;0
CRISPIANO;2018;30;0;NA;0;0;0;0;0;0;0;12.4;0;0
CRISPIANO;2018;31;0;NA;0;NA;6.6;NA;0;0;NA;0;NA;2
