stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
FONTE ROSA;2018;1;0;0;0.6;1.6;0;0;0;0;0;2.2;1.8;0
FONTE ROSA;2018;2;3.8;0;0.2;0.2;0.4;0;0;0;2.2;0;0.6;0
FONTE ROSA;2018;3;0.6;3;6.2;0;19.4;0;0;1;0;0;0;0.6
FONTE ROSA;2018;4;0;0;0.2;1.2;0.8;0.2;0;0;0;6.8;1.2;0.2
FONTE ROSA;2018;5;0;0;12;1.4;9.6;1.2;0;0;0;7.6;0;0.2
FONTE ROSA;2018;6;0.2;7;0.8;0.2;0.8;0;15.4;0;0;0.8;0.2;0.2
FONTE ROSA;2018;7;0.2;2.4;0.6;0;2.2;0;0;0;3.6;7.6;0.2;0
FONTE ROSA;2018;8;0.2;0;0;0;0;6.2;0;0;0.2;0.2;0;0.4
FONTE ROSA;2018;9;0;0;0.2;3.8;0;0;0;0;0;0.2;0;0
FONTE ROSA;2018;10;18.4;0.2;0;0;0.2;0;0;0;0;0.2;0.2;9.8
FONTE ROSA;2018;11;0;0;0.6;0;0;0;0;0;0;0;0.2;4.8
FONTE ROSA;2018;12;0.4;0;2.4;0.4;7.8;0;0;0;0;0;0;0.2
FONTE ROSA;2018;13;0;0;0;0;0.2;0;0;0;0;0.2;0.4;0.4
FONTE ROSA;2018;14;0;0.6;0;0;0;2.6;0;0.2;0;0;0.2;3
FONTE ROSA;2018;15;1;0.2;0.2;0;2.4;5.8;0;8.2;0;0.2;0.2;0.2
FONTE ROSA;2018;16;0;0;0;0;0.2;0;0;0;0;0;0;0
FONTE ROSA;2018;17;0.6;0;0.2;0.2;0;0;1.6;0;0;0;4;6.2
FONTE ROSA;2018;18;0.2;1.6;0;1;0;23.8;0;0;0;0;15.8;0
FONTE ROSA;2018;19;0;1;0;0;0.2;0;0;0;5.2;0;2.8;0
FONTE ROSA;2018;20;0.4;7.8;6.2;0;0;0;0;0;2.8;0.2;14.2;1.8
FONTE ROSA;2018;21;0.6;4;3.4;0;0;0;0;0;0;3;0;0.2
FONTE ROSA;2018;22;0;0.2;12.8;0;26.2;12;0;0;0.2;59;0.2;0
FONTE ROSA;2018;23;0;3.8;0;0;8.8;1.8;0.2;0;0;0;0.2;0
FONTE ROSA;2018;24;0;1.4;0;0.2;0;0;0;0;1.8;0;0.2;0.2
FONTE ROSA;2018;25;0.2;0.2;11.4;0;0.2;4.6;0;0;0;0;3;0
FONTE ROSA;2018;26;0;1;0.4;0;0;0.8;0;0.4;0;0;0;0
FONTE ROSA;2018;27;0.2;0;0;0;0;0.6;0;0;0;0;27.4;0
FONTE ROSA;2018;28;0;0;0;0;0;0;0;0;0;0;0;0
FONTE ROSA;2018;29;0.2;NA;0;0;0;0;0;0;0;6;0;0
FONTE ROSA;2018;30;0.2;NA;0;0;0.4;0;0;0;0;0;0;10.2
FONTE ROSA;2018;31;0.2;NA;0.6;NA;0;NA;0;0;NA;0;NA;3.2
