stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
GIOVINAZZO;2018;1;0.4;0;0.2;2.2;0;0;0;0;0;0;1.6;0
GIOVINAZZO;2018;2;8.8;0;2.6;0;0.2;0;0;0;0.4;5.4;0.6;0
GIOVINAZZO;2018;3;0;0;7.8;0;8.8;0;0;0;0;88.8;0.2;0
GIOVINAZZO;2018;4;0.4;0;0;0;0.2;0;0;0;0;1.8;3.6;3.6
GIOVINAZZO;2018;5;0;0;4.6;0.2;0;0.2;0;0;0;23.6;0.2;0
GIOVINAZZO;2018;6;0;5;0;0;5.8;0;0;0;0;1.8;0;0
GIOVINAZZO;2018;7;0;8.6;2.6;0;0;0;0;0;0;1.6;0;0
GIOVINAZZO;2018;8;0;0.6;0.8;0;0;0;0;0;0;2;0;2
GIOVINAZZO;2018;9;0;0;0;2.4;0;0;0;0;0;0;0;0
GIOVINAZZO;2018;10;2.4;0.2;0;0;0;0;0;0;0;0;0;2.8
GIOVINAZZO;2018;11;0;1;0;0;0;0;0;0;0;0;0;6.2
GIOVINAZZO;2018;12;0.6;0;0.4;0.2;0;0;0;0;0;0;0;0.4
GIOVINAZZO;2018;13;2.4;5.6;0;0;0;0;0;0;0;0;0.2;0.6
GIOVINAZZO;2018;14;0;1.2;0;0;0;0;0;32;0;0;0;1.8
GIOVINAZZO;2018;15;0.8;0.2;0.2;0;1.6;69.8;0;4.6;0;0;0;4.6
GIOVINAZZO;2018;16;0.2;0;0.6;0;0;0;0;0;0;2.4;13.6;0.2
GIOVINAZZO;2018;17;8.4;0;0;0;0;0;0;0;0;0;20.6;5.2
GIOVINAZZO;2018;18;0;1.8;0;0;0;0;0;0;0;0;0.6;0.2
GIOVINAZZO;2018;19;0;2.6;0.2;0;0;0;0;0;0.4;0;0.4;0
GIOVINAZZO;2018;20;3.8;9.6;0.4;0;0;0;0;0;0;0;2.8;0
GIOVINAZZO;2018;21;0.2;9.2;1;0;0;0;0;0;0;21;0;0
GIOVINAZZO;2018;22;0;0;58.8;0;0.4;19.8;0;0;0;9.8;0;0
GIOVINAZZO;2018;23;0;0;11.4;0;18;3.4;10.8;0;0;6;0;0
GIOVINAZZO;2018;24;0;0;0;0;0.2;0;0;0;0;0;0.2;0
GIOVINAZZO;2018;25;0;4.8;11.8;0;0;0;0;0;0;0;0.8;0
GIOVINAZZO;2018;26;0;5.2;14.6;0;0;11.6;0;0;0;0;0.2;0
GIOVINAZZO;2018;27;0;1.8;0;0;0;0.2;0;1.8;0;0;25.8;0
GIOVINAZZO;2018;28;0;0;0;0;0;0.6;0;0;0;2.4;15.8;0
GIOVINAZZO;2018;29;0;NA;0;0;0;0;0;0;0;7.6;0;0
GIOVINAZZO;2018;30;0;NA;0;0;0;0;0;0;0;0.2;0;2.6
GIOVINAZZO;2018;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;7.2
