stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
GRAVINA IN PUGLIA;2018;1;1;0;1.4;5.2;0;9.8;0;0;0;0;1.8;0.8
GRAVINA IN PUGLIA;2018;2;7;0;0.8;0.2;0;0;0;0;0;3.8;0.2;0
GRAVINA IN PUGLIA;2018;3;0.2;0.6;3.4;0;27.6;0;0;5.6;0;0.6;0;1
GRAVINA IN PUGLIA;2018;4;0.4;0;0;0.6;0;0.2;0;0;0;43;3;0.2
GRAVINA IN PUGLIA;2018;5;0;0;3.2;14.4;1.8;0;0;8;0;32.8;0.2;0.2
GRAVINA IN PUGLIA;2018;6;0.2;10.6;0.4;0;0;0;0;0.2;0;1;0.2;0
GRAVINA IN PUGLIA;2018;7;0;3.2;1.4;0;1;0;0;0;0;0;0.4;0
GRAVINA IN PUGLIA;2018;8;0;0;0.4;0;8.8;0;0;0;0;0.4;0;2
GRAVINA IN PUGLIA;2018;9;0.2;0;0;0;23.2;1;0;0;0;0.2;0.2;0
GRAVINA IN PUGLIA;2018;10;0.8;0.2;0;0;0.2;0;0;0;0;0.2;0;3.4
GRAVINA IN PUGLIA;2018;11;0;0;0;0;0;0;0;0;0;0.2;0.4;0
GRAVINA IN PUGLIA;2018;12;4.4;0;1;0;1.8;20.6;0;0;0;0;0.4;0.2
GRAVINA IN PUGLIA;2018;13;0;8.4;0;0;0;0;0;0.2;0;0;0.2;2
GRAVINA IN PUGLIA;2018;14;0;1.4;0;0;0;7.2;0;0;0;0.2;0.2;0.8
GRAVINA IN PUGLIA;2018;15;0.2;0;0;0;0.6;19.8;0;4.6;0;3.8;0.2;1.4
GRAVINA IN PUGLIA;2018;16;0;0;0;0.4;0;0;0;0;0;12.6;1;0
GRAVINA IN PUGLIA;2018;17;0.6;0;0;0;0;0;2.2;17.8;0;0.2;0;5.6
GRAVINA IN PUGLIA;2018;18;0;2.4;0;0;0;0;0.2;0;6.8;0.2;0.2;0
GRAVINA IN PUGLIA;2018;19;0;2.8;0;0;0;0;0;0;8.6;0.2;1.6;0
GRAVINA IN PUGLIA;2018;20;0.2;25.4;2.4;0;0;5;0;0;2.2;0;1.6;1
GRAVINA IN PUGLIA;2018;21;0.8;9.2;5.4;0;0.4;0;0;0;0;0;0;0
GRAVINA IN PUGLIA;2018;22;0;0.2;17.4;0.2;1.6;0;0;1.4;0.2;24.8;0.2;0.2
GRAVINA IN PUGLIA;2018;23;0.2;4.4;0.8;0;15.8;0.4;0.4;0.2;0;8.8;0.2;0
GRAVINA IN PUGLIA;2018;24;0;5.2;0;0;0;0;0;3.2;0;0;0;0.2
GRAVINA IN PUGLIA;2018;25;0;0.4;8.8;0;0;0;0;0;0;0;4.8;0
GRAVINA IN PUGLIA;2018;26;0;0.2;0.4;0;0;8.4;0;0;0;0;1;0
GRAVINA IN PUGLIA;2018;27;0;2.4;0;0;0;7;4.4;0;0;0;6.8;0
GRAVINA IN PUGLIA;2018;28;0;0;0;0;0;3.6;0.2;0;0;0;0;0.2
GRAVINA IN PUGLIA;2018;29;0.2;NA;0;0;0;0;0;0;0;5;0;0
GRAVINA IN PUGLIA;2018;30;0;NA;0.2;0;0;0;0;0;0;0.6;0;5.6
GRAVINA IN PUGLIA;2018;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;5.8
