stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
LUCERA;2018;1;0;0;1;2;0;0;0;0;0;0.8;2;0.2
LUCERA;2018;2;2;0;0.2;0;0.6;0;0;0;0;2.6;7;0
LUCERA;2018;3;0.4;7.2;6.8;0;24.2;0;0;0;0;0;0;0.4
LUCERA;2018;4;0;0;2;0;0.4;0;0;4.6;0;1.2;2.8;0
LUCERA;2018;5;0;0;11;2;3.6;0.4;0;0;0;3.6;0;0
LUCERA;2018;6;0;6;0.2;0;0;0;0.4;0;0;0;0.2;0
LUCERA;2018;7;0.4;6.2;0;0;1.4;0;0;0;10.4;3;0;0
LUCERA;2018;8;0;0;0;0;11.6;0;0;0;0;0.2;0;4.4
LUCERA;2018;9;0;0;0;3;0;0.6;0;0;0;0;0;0
LUCERA;2018;10;15;0.2;0;0;0;0;0;0;0;0;0;10.8
LUCERA;2018;11;0;0;0.6;0.2;0;0;0;0;0;0;0.2;8
LUCERA;2018;12;1.2;0;0.2;1.2;5.8;0;0;0;0;0;0;0
LUCERA;2018;13;0;0;0;0;0;0;0;0;0;0;0.2;0.4
LUCERA;2018;14;0;0.8;0;0;0;46.8;0;0.6;0;0;0.2;2.2
LUCERA;2018;15;0.6;0;0;0;1.6;10.2;0.4;1;0;4.2;0;0.6
LUCERA;2018;16;0;0;0;0;0;0;0;2.4;0;0.4;0.4;0
LUCERA;2018;17;0.4;0;0;0.2;0;0;12.4;0;0;0;0;8
LUCERA;2018;18;2;2.6;0.4;2.6;0;0;0;0.2;0.8;0.2;0.4;0
LUCERA;2018;19;0;3;0;0;0;0;0;0;6.8;0;15.6;0
LUCERA;2018;20;2.4;16.2;7;0;0;0;0;0.2;15;0;11.2;1.4
LUCERA;2018;21;2.2;17.4;9.8;0;2.8;20.6;0;0;0;11.8;0.2;0
LUCERA;2018;22;0;0.2;2.4;0;7;12.4;0;0;0;58.6;0;0
LUCERA;2018;23;0;4.6;0;0;33.4;0.2;1;0;0;2.8;0;0
LUCERA;2018;24;0;3.2;0;0;0;0;0;0;0;0;0.6;0.8
LUCERA;2018;25;0;1.4;8.4;0;0;0;0;0;0;0;2.6;0
LUCERA;2018;26;0;0;1.8;0;0;19.6;0;0;0;0;0;0
LUCERA;2018;27;0;0.8;0;0;0;0;0;0.2;0;0;34.6;0
LUCERA;2018;28;0;0;0;0;0;0;0;0;0;0;0.2;0
LUCERA;2018;29;0.2;NA;0;0;0;0.8;0;0;0;2;0;0
LUCERA;2018;30;0.2;NA;0;0;0.2;0;0;0;0;0;0;6.2
LUCERA;2018;31;0;NA;4.8;NA;5.2;NA;0;0;NA;0;NA;0.2
