stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MARTINA FRANCA;2018;1;5.2;0;0.8;1.4;0;0;0;0;0;0;8.4;0.8
MARTINA FRANCA;2018;2;23.2;0;3.8;0;0.8;0;0;0;0;0;0;0
MARTINA FRANCA;2018;3;0.8;2.4;0;0;28;0;0;0;0;0;0;0.2
MARTINA FRANCA;2018;4;0.4;0;0;0.2;0.8;10.2;0;0;0;0.8;3.2;6
MARTINA FRANCA;2018;5;0.4;0.2;19.2;3.8;0;0;0;0;0;44.2;98;1.8
MARTINA FRANCA;2018;6;0;0;0.4;0;6.2;0;0;0;0;3.8;0;0
MARTINA FRANCA;2018;7;0;15.2;2.4;0;0;0;0;0;2.4;0.2;0;0
MARTINA FRANCA;2018;8;0;0;0.2;0;52;0;0;0;0;0;0;4
MARTINA FRANCA;2018;9;0;0;0;0.2;23.8;19.8;0;0;0;0;0.2;0
MARTINA FRANCA;2018;10;19.2;29.2;0;0;0;0;0;0;0;0.2;0.4;8
MARTINA FRANCA;2018;11;0;11.2;0;0;0;0;0;0;0;0.2;0.6;0
MARTINA FRANCA;2018;12;7.6;0.2;0;0;0;0;0;0;0;0.2;0.6;0
MARTINA FRANCA;2018;13;7;21.8;0;0;0;0.2;0;0;0;0;0;1.8
MARTINA FRANCA;2018;14;0.2;2.2;0;0;0;23.8;0;0;1.4;2.6;0;2
MARTINA FRANCA;2018;15;0.2;4.2;0;0;8.6;11.6;0;36;0.2;0.2;0.2;34
MARTINA FRANCA;2018;16;0.2;0;0.2;1;0;0.4;0;2.2;0;1;0;0
MARTINA FRANCA;2018;17;4.4;0.2;0;0.2;0;0;0;0;0;0.4;0.4;8.4
MARTINA FRANCA;2018;18;1.6;0.6;0.8;0;6.2;0;0;0.2;0;0.2;4;6.8
MARTINA FRANCA;2018;19;0;1.2;0.6;0;0.2;0;0;0;0;0.4;10.4;0
MARTINA FRANCA;2018;20;0;10;7.4;0;0;0;0;0;0;0.2;2.8;0
MARTINA FRANCA;2018;21;10;23.2;1.2;0;0.4;0;0;0;14.2;0;0;0.2
MARTINA FRANCA;2018;22;0;0.2;30.2;0;0;0;0;0;0.4;18.4;0.2;0
MARTINA FRANCA;2018;23;0.4;0;3.2;0;11.8;0;67.6;0.6;0;3.2;0.4;0
MARTINA FRANCA;2018;24;0;0.6;6.2;0;0;0;0;0.4;0.8;0;0;0.6
MARTINA FRANCA;2018;25;0;12.8;24;0;0;0;0.2;29.6;0;0;7.2;0
MARTINA FRANCA;2018;26;0;14;1.2;0;0;76.2;0;0;0;0;1.8;0
MARTINA FRANCA;2018;27;0;1.8;0;0;0;0.4;0;0.6;0;0;18.8;0
MARTINA FRANCA;2018;28;0.2;4.2;0;0;0;0.4;0;0;0;40.4;26.2;0
MARTINA FRANCA;2018;29;0.4;NA;0;0;0;0;0;0;0;12;1.4;0
MARTINA FRANCA;2018;30;0.6;NA;0;0;0;0;0;0;0;26.2;0;0
MARTINA FRANCA;2018;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;8
