stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MASSERIA SANTA CHIARA;2018;1;2.2;0;0.6;7;0;0;0;0;0;0.4;1.2;0
MASSERIA SANTA CHIARA;2018;2;5.2;0.2;0.4;0;0.4;0;0;0;0;0;0;0
MASSERIA SANTA CHIARA;2018;3;1.2;2.2;7;0;14.2;0;0;0;0;2;0;0
MASSERIA SANTA CHIARA;2018;4;0;0;0;0.4;6.2;0;0;0;0;1.8;0;0.4
MASSERIA SANTA CHIARA;2018;5;0;0;6.2;0.4;0;8.4;0;0;0;19.4;0.2;0.2
MASSERIA SANTA CHIARA;2018;6;0;5.6;0.2;0;1.2;0;20.4;0;0;4.4;0.2;0
MASSERIA SANTA CHIARA;2018;7;0;1;0.4;0;2.8;0;0;0;0.4;3.2;0.2;0
MASSERIA SANTA CHIARA;2018;8;0;0.2;0.4;0;0;1.8;0;0;0;0.2;0;0.6
MASSERIA SANTA CHIARA;2018;9;0;0;0;2.2;0;0.6;0;0;0;0.2;0;0
MASSERIA SANTA CHIARA;2018;10;5.6;0.4;0;0;0;0;0;0;0;0;0;13.4
MASSERIA SANTA CHIARA;2018;11;0;0;0;0;0;0;0;0;0;0.2;0.4;0.4
MASSERIA SANTA CHIARA;2018;12;0.6;0;0.2;0.4;0;1.4;0;0;0;0;0.2;0.2
MASSERIA SANTA CHIARA;2018;13;2.4;0.2;0;0;0;0;0;0;0;0.2;0.2;1.4
MASSERIA SANTA CHIARA;2018;14;0;0;0;0;0;15.2;0;0.4;0;0;0;2
MASSERIA SANTA CHIARA;2018;15;0.4;0;0;0;8;13;0;0.8;0;0.2;0.2;1
MASSERIA SANTA CHIARA;2018;16;0;0;0;0;0;0;0;0;0;0.2;0;0
MASSERIA SANTA CHIARA;2018;17;1.4;0;0;0;0;0;0;1.2;0;0;24.2;8.2
MASSERIA SANTA CHIARA;2018;18;0;1.4;0.4;0;0;0;0;0;0.2;0;1;0
MASSERIA SANTA CHIARA;2018;19;0;1.6;0.2;0;0;0;0;0;7.4;0.2;2.4;0
MASSERIA SANTA CHIARA;2018;20;1.4;13.6;5.2;0;0;0;0;0;1.6;0;7.8;1
MASSERIA SANTA CHIARA;2018;21;0;4;4.8;0;0.2;0;0;0;0;1.8;0;0.2
MASSERIA SANTA CHIARA;2018;22;0;0.2;43.2;0;1.2;32.6;0;0;0.2;35;0.2;0
MASSERIA SANTA CHIARA;2018;23;0.2;4.2;5;0;24.6;0.2;9.4;0;0;3.8;0;0
MASSERIA SANTA CHIARA;2018;24;0.2;0.4;0;0;0;0;0;0;1;0;0.2;0.2
MASSERIA SANTA CHIARA;2018;25;0;2.2;10.8;0;0;0;0;0;0;0;4.4;0
MASSERIA SANTA CHIARA;2018;26;0;5;6.6;0;0;1.6;0;0;0;0;0;0
MASSERIA SANTA CHIARA;2018;27;0;0.8;0;0;0;13.2;0;0;0;0;14.4;0
MASSERIA SANTA CHIARA;2018;28;0;0;0;0;0.2;0.8;0;0;0;0.2;2.8;0
MASSERIA SANTA CHIARA;2018;29;0;NA;0;0;0;0;0;0;0;3.2;0;0
MASSERIA SANTA CHIARA;2018;30;0.2;NA;0;18.2;0.8;0;0;0;0;0;0.2;0
MASSERIA SANTA CHIARA;2018;31;0;NA;0.4;NA;0;NA;0;0;NA;0;NA;0.2
