stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MINERVINO MURGE;2018;1;0.6;0;1.8;4.8;0;0;0;0;0;0;0.6;3.2
MINERVINO MURGE;2018;2;11.6;0;0;0;0;0;0;0;0;0;0.2;0.8
MINERVINO MURGE;2018;3;2.2;0.8;5;0;7.8;0;0;12.6;0;3.4;0.2;0.2
MINERVINO MURGE;2018;4;0;0;0;1.4;1.2;0;0;0;0;9.2;3.2;0.6
MINERVINO MURGE;2018;5;0;0;3;2.2;0;0;0;1.4;0;17.4;0;0
MINERVINO MURGE;2018;6;0;8.2;0;0.2;0.6;0;3;0;0;0.2;0.2;0
MINERVINO MURGE;2018;7;0;1;4.4;0;2;0;0;0;14.2;0.2;0.8;0.2
MINERVINO MURGE;2018;8;0;0;0.6;0;13.2;0;0;0;0;0.2;0;3.6
MINERVINO MURGE;2018;9;0;0;0;1.6;11.2;1;0;0;0;0;0;0
MINERVINO MURGE;2018;10;11.6;0;0;0;0;0;0;0;0;0;0;14.8
MINERVINO MURGE;2018;11;0;0;0;0;0;0;0;0;0;0;0.4;1.2
MINERVINO MURGE;2018;12;3;0;1.4;0;21;0;0;0;0;0;0;0.2
MINERVINO MURGE;2018;13;1.2;2.4;0;0;0;0;0;0;0;0;0;0
MINERVINO MURGE;2018;14;0;2.4;0;0;0;1.2;0;1.2;0;0.2;0;0.6
MINERVINO MURGE;2018;15;0;0.2;0;0;4.4;11;0;15;0;1;0;5
MINERVINO MURGE;2018;16;0;0;0;0;0;0.2;0;0;0;1.6;0.2;0
MINERVINO MURGE;2018;17;2.2;0;0;0;0;0.2;2;0;0;0;1.6;12.4
MINERVINO MURGE;2018;18;0;3.8;0.2;0;0;15.2;0;0;0;0.2;2.2;0.2
MINERVINO MURGE;2018;19;0;3;1.6;0;0.2;0;0;0;4.2;0.4;3.2;0
MINERVINO MURGE;2018;20;3.6;13.4;3.8;0;0;0;0;0;8.6;0;12.6;1.2
MINERVINO MURGE;2018;21;0.2;7.6;7.2;0;4.6;0;0;0;0.2;1.4;0;0
MINERVINO MURGE;2018;22;0;0.2;39.6;0;5;6.2;0;1.8;0;52.2;0;0
MINERVINO MURGE;2018;23;0;0.4;7.6;0;20.2;6.2;7;54.8;0;37.6;0.2;0
MINERVINO MURGE;2018;24;0.2;2.8;0.8;0;0;0;0;43.2;1.2;0;0;1
MINERVINO MURGE;2018;25;0;9.4;8.2;0;0;0;0;0;0;0;6.2;0
MINERVINO MURGE;2018;26;0;0.2;20.8;0;0;16;0;0;0;0;0.4;0
MINERVINO MURGE;2018;27;0;1.6;0;0;0;4.2;0;0;0;0;17.8;0
MINERVINO MURGE;2018;28;0;8.2;0;0;0;0.6;0;0;0;5.6;0.6;0
MINERVINO MURGE;2018;29;0.2;NA;0;0;0;0;0;0;0;17;0.4;0
MINERVINO MURGE;2018;30;0;NA;0;0;0.8;0;0;0;0;0;0.2;7.8
MINERVINO MURGE;2018;31;0;NA;0;NA;0.8;NA;0;0;NA;0;NA;6
