stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MONTELEONE DI PUGLIA;2018;1;3.2;0;1.4;8.8;0;0;0;0;0.2;4.4;3.8;0.4
MONTELEONE DI PUGLIA;2018;2;12;4.4;3.8;0;1;0;0;0;0.6;1.2;7.4;0.6
MONTELEONE DI PUGLIA;2018;3;2.4;21.2;24.6;0;12.8;0;0;22.6;0;1.8;0.2;0.2
MONTELEONE DI PUGLIA;2018;4;0;5;2.4;0;0;0.4;0;5.8;0;3.6;2;0.2
MONTELEONE DI PUGLIA;2018;5;0;0;9.2;3.2;8.6;0.6;0;0.2;0;2.4;0.4;0
MONTELEONE DI PUGLIA;2018;6;0;10.6;5.6;0;0.6;0;0;0;0;0.2;0;0
MONTELEONE DI PUGLIA;2018;7;0;10.2;8;0;4.6;0;0;0;10.2;0;0.2;0
MONTELEONE DI PUGLIA;2018;8;0;1.2;0.2;0;16.2;0;0;2;0;0;0.4;7.6
MONTELEONE DI PUGLIA;2018;9;0;0;0;2;0;0.2;0;0;0;0.2;0;0
MONTELEONE DI PUGLIA;2018;10;11.2;0;0;0;0.2;0;0;0;0;0;0;2.4
MONTELEONE DI PUGLIA;2018;11;0;0;3.4;0;0;0;0;21;0;0;0;7.6
MONTELEONE DI PUGLIA;2018;12;17.8;0.8;6.8;0;6;0;0;0;0;0;0;0
MONTELEONE DI PUGLIA;2018;13;0;0.8;5;0;0;0.6;0;0;0;0;0;1
MONTELEONE DI PUGLIA;2018;14;0;0;0;0;0;34;0;14.4;0;0.8;0;4.6
MONTELEONE DI PUGLIA;2018;15;0.6;3;0;0;6.8;13.2;0;17.4;0;3.4;0;1
MONTELEONE DI PUGLIA;2018;16;5;0;0;8;0;0;0;0;0;0.2;1.6;0
MONTELEONE DI PUGLIA;2018;17;4.8;0;4;1.8;0.2;0;4;0;4;0;0.2;12.8
MONTELEONE DI PUGLIA;2018;18;0.2;3.8;7.8;1;0.2;0;0;6.6;0.2;0;5.4;0
MONTELEONE DI PUGLIA;2018;19;0.4;5.6;2.8;0;0;0;1;0.6;27;0;10.6;0
MONTELEONE DI PUGLIA;2018;20;3.2;8.6;11.6;0;0;0;0;1.8;0.4;0;19.6;0
MONTELEONE DI PUGLIA;2018;21;2.4;6.4;11.8;0;10;0;0;4.4;1.4;0.6;0.2;0.4
MONTELEONE DI PUGLIA;2018;22;0;9.2;0.2;0;0.2;7.4;0;4.2;0;22.4;0;0
MONTELEONE DI PUGLIA;2018;23;3.8;4;2.6;0;26.6;0;19.4;0.6;0;10.2;0.2;0.2
MONTELEONE DI PUGLIA;2018;24;0;8.6;23.6;0;0;0;0;0.4;1.2;0;0;0.6
MONTELEONE DI PUGLIA;2018;25;0;0.4;7.2;0;0.2;0;0;0;0;0;10.2;0
MONTELEONE DI PUGLIA;2018;26;0;0;1.8;0;0;1.4;0;0;0;0.2;5.2;0.2
MONTELEONE DI PUGLIA;2018;27;0;8;0;0;0;1.6;5.4;0;0;0;36.8;0
MONTELEONE DI PUGLIA;2018;28;0.2;0.8;0;0;0;0.2;0;0;0;0;0;0
MONTELEONE DI PUGLIA;2018;29;0;NA;0;0;0.2;0.4;0;0;0;18.2;0.2;0
MONTELEONE DI PUGLIA;2018;30;0;NA;0.2;0;5;0;0;0;0;0;0;4
MONTELEONE DI PUGLIA;2018;31;0.2;NA;10.2;NA;0;NA;0;0;NA;0;NA;0.2
