stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MONTE VULTURE;2018;1;2.8;0;10.2;0;0;0;0;0;0;0.4;0.4;0.6
MONTE VULTURE;2018;2;3.4;1.2;0.4;0;0.2;0;0;0;0;1;10.6;1.6
MONTE VULTURE;2018;3;2;14;8.6;0;17.8;0;0;11.4;0;16.4;0.2;1
MONTE VULTURE;2018;4;0.2;4;1.8;0.6;0.6;0;0.2;0.2;0;13;2;0.8
MONTE VULTURE;2018;5;0.2;0.6;8.4;3;13.8;0;0;0.2;0.2;7.4;0;1.4
MONTE VULTURE;2018;6;0;12.6;2.4;0;0.4;0.2;0;0;0;0;0;0
MONTE VULTURE;2018;7;0;3;3.6;0;1.2;0;0;0;0;0.8;0;0.4
MONTE VULTURE;2018;8;0;0.2;1.6;0;5.4;0;0;0;0;0.2;0.2;2.6
MONTE VULTURE;2018;9;0;0.2;0;1.8;2.2;0;0;0;0;0.2;0;1.2
MONTE VULTURE;2018;10;21.2;0;0;0;1.4;0;0;0;0;0.2;0;0.2
MONTE VULTURE;2018;11;0.2;0;0.2;0;0.2;0;0;0;0;0;0;0
MONTE VULTURE;2018;12;13.4;1.2;0;0;0;0;0;0;0;0;0;0
MONTE VULTURE;2018;13;5;2;0;0;0.2;0;0;0;0;0;0;3.2
MONTE VULTURE;2018;14;0;0.8;0;0;0;19.6;0;2.8;0;1.6;0;3
MONTE VULTURE;2018;15;0.4;0;0;0;6.2;4.4;0;54.4;0;6;0.6;0.2
MONTE VULTURE;2018;16;0.4;1.4;0.2;5;0.2;0.2;0;0.4;0;5.6;0;0
MONTE VULTURE;2018;17;0.6;0;0.2;1.2;0.2;0;3;4.4;0;0.8;0.8;3.6
MONTE VULTURE;2018;18;0;4;3.8;0.6;0.2;0.2;0;0;2;0.2;7.2;0
MONTE VULTURE;2018;19;0;1.6;2;0.2;0;14.6;0;6.2;2.6;0.2;3;1.4
MONTE VULTURE;2018;20;2.4;2.4;4.4;0;0;0;0;4.8;2.8;0;24;1.6
MONTE VULTURE;2018;21;0.8;0;2.8;0;12;11.6;0;4.6;0.4;1.4;0.2;0.2
MONTE VULTURE;2018;22;0.2;10;0;0;12.2;5;0;0.2;0.2;32.4;0.2;0.8
MONTE VULTURE;2018;23;2.4;4.2;0;0;24.6;1;5;0.2;0;52;0.2;0.2
MONTE VULTURE;2018;24;0.2;24;0.2;0;0.2;0;0.8;1.6;6.6;0.2;0.2;1.2
MONTE VULTURE;2018;25;0;0;0;0;0;0;0;1.4;0.2;0;8;0.2
MONTE VULTURE;2018;26;0;0;3.2;0;0;18;0;0.2;0;0;2;0
MONTE VULTURE;2018;27;0;4.6;16.8;0;0;0.6;4.8;0.2;0;0.2;1.4;0
MONTE VULTURE;2018;28;0;0.6;0.2;0;0;1;0.2;0.2;0.6;2.6;1.8;0
MONTE VULTURE;2018;29;0;NA;0;0;0;0;0.2;0;0;2.4;31.6;0
MONTE VULTURE;2018;30;0.2;NA;0;0;0.2;0;0;0;0;0.6;0.2;0
MONTE VULTURE;2018;31;0;NA;0;NA;5.4;NA;0;0;NA;0.6;NA;0
