stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MONTICCHIO BAGNI;2018;1;2.2;0;7.8;6;0;0;0;0;0;0.2;2.6;1.4
MONTICCHIO BAGNI;2018;2;12.6;2.2;0.4;0;0.6;0;0;0;0;0.6;0;0.2
MONTICCHIO BAGNI;2018;3;2.4;23.6;6.4;0;14.8;0;0;3.2;0;12.4;0;0.6
MONTICCHIO BAGNI;2018;4;0.6;0;2;0.6;0;0;0;2;0;13;1.8;0.2
MONTICCHIO BAGNI;2018;5;0;0;6.2;3.2;8.8;0;0;0.2;0;6.6;0;0
MONTICCHIO BAGNI;2018;6;0;11.6;2.4;0.2;0.2;0;0;0;0;0;0;0
MONTICCHIO BAGNI;2018;7;0;3.4;7;0;3.4;0;0;0;0;0.6;0;0
MONTICCHIO BAGNI;2018;8;0;0;0;0;6.4;0;0;2.8;0;0.8;0;6.6
MONTICCHIO BAGNI;2018;9;0;0;0;1.6;0.2;0;0;0.2;0;0;0;0
MONTICCHIO BAGNI;2018;10;21.4;0;0;0;0.2;0;0;0;0;0.2;0;4.6
MONTICCHIO BAGNI;2018;11;0;0;0.6;0;0.4;0;0;0;0;0;0;5.8
MONTICCHIO BAGNI;2018;12;32.4;0;2.4;0;0.4;0;0;0;0;0;0;0.2
MONTICCHIO BAGNI;2018;13;11.2;2.8;0.8;0;0;0;0;0;4.6;0;0;0
MONTICCHIO BAGNI;2018;14;0;0.4;0;0;0;26.2;0;0.4;0;2.4;0;2.4
MONTICCHIO BAGNI;2018;15;0.2;6.8;0;0;5.4;4.4;0;25;0;4.2;0;2.6
MONTICCHIO BAGNI;2018;16;0;0;0;4;0;0;0;0;0;0.2;0;1.6
MONTICCHIO BAGNI;2018;17;2.8;0;0;4.8;0;0;2;0.8;1.2;0.4;1.6;17.4
MONTICCHIO BAGNI;2018;18;0.2;4;5;0;0.4;2.4;0;0;2.2;0;9;0
MONTICCHIO BAGNI;2018;19;0;2.8;3;0;0;14;0;9;1.2;0;11;0
MONTICCHIO BAGNI;2018;20;2.2;11.4;10.2;0;0;0;0;4.2;1.2;0;18;0.6
MONTICCHIO BAGNI;2018;21;0.4;10.4;16.6;0;10.2;0;0;26;0.4;0.8;0;0.2
MONTICCHIO BAGNI;2018;22;0;0.2;1.4;0;10.6;5.4;0;0.2;0;34.8;0;0
MONTICCHIO BAGNI;2018;23;2.2;3.2;0;0;17.6;0.2;1.8;0;0;69.4;0.2;0
MONTICCHIO BAGNI;2018;24;0;14;13.2;0;0;0;0;20.6;7.8;0;0.2;0.4
MONTICCHIO BAGNI;2018;25;0;2.4;76.4;0;0;0;0;0;0;0;6.6;0
MONTICCHIO BAGNI;2018;26;0;0;33.4;0;0;35.2;0;0;0;0;3;0
MONTICCHIO BAGNI;2018;27;0;5.2;0;0;0;0.6;23.2;0;0;0;38.4;0
MONTICCHIO BAGNI;2018;28;0;6.8;0;0;0;2.4;0;0;0;1.4;0.4;0
MONTICCHIO BAGNI;2018;29;0;NA;0;0.4;0;0;0;0;0;17.6;0;0
MONTICCHIO BAGNI;2018;30;0;NA;0;0;0.8;0;0;0;0;0;0;4
MONTICCHIO BAGNI;2018;31;0;NA;2;NA;9;NA;0;0;NA;0;NA;9.4
