stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MONTURSI (AQP);2018;1;0.2;0;0.6;4.6;0;0;0;0;0;0;11;1.8
MONTURSI (AQP);2018;2;9.6;0;2;0;0.2;0;0;0;0;1.2;0;0.4
MONTURSI (AQP);2018;3;5.4;0.2;2.4;0.2;13.8;0;0;0;0;0.2;0;0.2
MONTURSI (AQP);2018;4;0.2;0;0;0;7.6;0;0;0;2.4;11.2;0;1.6
MONTURSI (AQP);2018;5;0;0.2;6.4;18;0.2;0;0;0.2;0.2;45.4;5.4;0.2
MONTURSI (AQP);2018;6;0.2;0.4;0;0;0.6;0;0;2.4;0;9.4;0.2;0
MONTURSI (AQP);2018;7;0;6.6;1.4;0;1;0;0;0;9.4;14.4;0.4;0
MONTURSI (AQP);2018;8;0;0;0.4;0;2.6;0;0;0;0;0.2;0;4.6
MONTURSI (AQP);2018;9;0;0;0;0;5.8;2.6;0;2.6;0.2;0.4;0;0
MONTURSI (AQP);2018;10;14.8;12.2;0.2;0;0.2;0;0;0;0.2;0.4;0.4;3
MONTURSI (AQP);2018;11;0;1.8;0;0;0;0;0;0;0.2;0.2;0.6;2
MONTURSI (AQP);2018;12;1.2;0.6;0.2;0;0;0;0;0;0;0.2;0.6;0.2
MONTURSI (AQP);2018;13;5;12.6;0;0;0;0.8;0;1.8;0;0.2;0.2;3.4
MONTURSI (AQP);2018;14;0;4.2;0;0;0;4.6;0;0;0;0.8;0;0.8
MONTURSI (AQP);2018;15;0.2;1.6;0;0;0.4;15.4;0;49.2;0;1.4;0.2;8
MONTURSI (AQP);2018;16;0.2;0;0;8.8;0;2.4;0;9.6;0;3.8;0.8;0
MONTURSI (AQP);2018;17;2.6;0.2;0.2;0.2;0;0;1.4;0;0;0.2;0.8;4.6
MONTURSI (AQP);2018;18;0;0.4;1.4;0;0;0;0;0.2;0;0.4;0.6;1.8
MONTURSI (AQP);2018;19;0;3.2;0.4;0;0.2;0;0;0;0;0.4;0.4;0
MONTURSI (AQP);2018;20;0;6.4;2.4;0;0;0.2;0;0;0.6;0;1;0
MONTURSI (AQP);2018;21;2.8;18.8;4.4;0;0;20.8;0;0;0.2;0;0;0
MONTURSI (AQP);2018;22;0;0.2;28.4;0.2;0.2;0;0;14.2;0.4;8.8;0.2;0.2
MONTURSI (AQP);2018;23;0.2;3.6;2.2;0;10.8;0;3.8;28.4;0;3;0.2;0
MONTURSI (AQP);2018;24;0;1;0;0;4.6;0;0;10.2;0.2;0;0.2;1.4
MONTURSI (AQP);2018;25;0;7;8.6;0;0.2;0;0;7.8;0;0;6.2;0.2
MONTURSI (AQP);2018;26;0;5.6;0.6;0;0;33.4;0;0;0;0;1;0.4
MONTURSI (AQP);2018;27;0;4.8;0;0;0;1.8;7.8;0;0;0.2;11.2;0
MONTURSI (AQP);2018;28;0;0;0;0;0;1.2;0;0;0;7.6;2.2;0.2
MONTURSI (AQP);2018;29;0.2;NA;0;0;0;0;0;0;0;32.2;0;0.2
MONTURSI (AQP);2018;30;0.4;NA;0.2;0;0;0;0;0;0;3.4;0;2.2
MONTURSI (AQP);2018;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;10.2
