stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
OSTUNI;2018;1;4;0;1.4;3;0;0;0;0;0;0;5.6;0.2
OSTUNI;2018;2;12;0.2;2.6;0;0.2;0;0;0;0;5.2;0.2;0.4
OSTUNI;2018;3;0.2;8.6;0;0.2;10.2;0;0;0;0;0;0;0
OSTUNI;2018;4;0.2;0;0;0;7.8;0.2;0;0;0;0.2;1.2;6.6
OSTUNI;2018;5;0;0;7.8;9;0;0;0;0;0;24.2;2.8;0
OSTUNI;2018;6;0;0;0.8;0.2;4.2;0;0;0;0;3.8;0;0
OSTUNI;2018;7;0;0.4;0.4;0;0.2;0;0;0;0.8;0;0;0
OSTUNI;2018;8;0;0;0.2;0;3.4;0;0;0;0;0;0.6;7
OSTUNI;2018;9;0.8;0;0;0;1.6;5.4;0;0;0;0;0;0
OSTUNI;2018;10;34.4;21.2;0;0;0;0.2;0;0;0;0;0;12.6
OSTUNI;2018;11;0;6.2;0.2;0;0;0;0;0;0;0.4;0;8.6
OSTUNI;2018;12;4.2;0.2;0;0;0;0;0;0;0;0;0;0.2
OSTUNI;2018;13;6.8;14.4;0;0;0;0;0;0;0;0;0.2;0
OSTUNI;2018;14;0;0.4;0;0;0;31.8;0;0;0;0.4;0;0.6
OSTUNI;2018;15;0;2.4;1;0;7.6;5.4;0;14.8;0;0;0;20.2
OSTUNI;2018;16;0;0;1.4;0;0;9.6;0;7;0;0;0.2;0.4
OSTUNI;2018;17;4.6;0;14.8;0;0;0;0;0;0;0;0.8;10
OSTUNI;2018;18;1.8;0.4;0;0;4.6;0;0;0;0;0.2;3.4;7
OSTUNI;2018;19;0;0.2;0.2;0;0.2;0;0;0;0;0.2;7.2;0
OSTUNI;2018;20;0;11.2;2.6;0;0;0;0;0;0;0;5.6;0
OSTUNI;2018;21;6;13.4;0.2;0;0;0;0;0;0.4;0;0;0
OSTUNI;2018;22;0.2;0.2;31.6;0;2.4;0.8;0;0.2;0;12;0;0
OSTUNI;2018;23;0;0;7.2;0;13.8;28.8;36.4;0;0;1.4;0.2;0
OSTUNI;2018;24;0;0;0.4;0;0;0;0;0.8;8.6;0;0;0
OSTUNI;2018;25;0;20.8;23;0;0;0;0;4.6;0.2;0;6;0.2
OSTUNI;2018;26;0;7.4;1;0;0;13;0;0;0;0;0.8;0
OSTUNI;2018;27;0;2.6;0;0;0;0.8;0;3.8;0;0;9.4;0
OSTUNI;2018;28;0;2.2;0;0;0;0.4;0;0;0;25.8;20.4;0
OSTUNI;2018;29;0;NA;0;0;0;0;0;0;0;5.6;0;0
OSTUNI;2018;30;0;NA;0.4;0;0;0;0;0;0;20.6;0;0
OSTUNI;2018;31;0;NA;1;NA;0;NA;0;0;NA;0.2;NA;4.2
