stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
RIPALTA;2018;1;0;0;0;0;0;0;0;0;0;0;0.4;0
RIPALTA;2018;2;5.2;0.2;0.2;0;0.4;0;0;0;1.2;0;10.6;0
RIPALTA;2018;3;0.6;3;10.4;0;36;0;0;0;0;0;0;0
RIPALTA;2018;4;0;0;1.8;0;2.2;0;0;0;0;0;0.6;0
RIPALTA;2018;5;0;0;8.6;3;1.4;1.4;0;0;0;1.4;0;0
RIPALTA;2018;6;0;3.4;1.2;0;0;0;1;0;0;0;0.2;0
RIPALTA;2018;7;0.2;9.6;1.6;0;0;0;0;0;0.4;0.6;0;0
RIPALTA;2018;8;0;0.2;0;0;0.4;13.6;0;0;0;0;0;1.6
RIPALTA;2018;9;0;0;0;1.6;0;0.2;0;0;0;0;0.2;0
RIPALTA;2018;10;8;0;0;0;0;0;0;0;0;0;0;29
RIPALTA;2018;11;0;1;1.2;0;0;0;0;0;0;0;0.4;14.4
RIPALTA;2018;12;2;0;0.2;0.2;0;0;0;0;0;0;0.2;0
RIPALTA;2018;13;0;0.8;0;0;0;0.6;0;0;0;0;0.2;0.2
RIPALTA;2018;14;0;1;0;0;0;8.6;0;3.2;0;0;0;3.6
RIPALTA;2018;15;0.2;0;0.6;0;0;0;0;0.2;0;1.4;0;4.2
RIPALTA;2018;16;0;0;0;0;0;0.4;0.2;1.6;0;0.2;0;0
RIPALTA;2018;17;0.2;0;0.2;0;0;0;9.2;0;0;0;0;15
RIPALTA;2018;18;0.4;2.8;0.8;0;0;0;0;0;0;0.2;3.6;0
RIPALTA;2018;19;0;2.6;0;0;0;0;0;0;4.6;0;19.2;0
RIPALTA;2018;20;1;9.6;7.4;0;0;0;0;0;1.8;0;10.2;0
RIPALTA;2018;21;2;4.6;6.2;0;1.2;0;0;0;0;9;0;0
RIPALTA;2018;22;0;0;0;0;0.2;10.4;0;0;0;40.6;0;0
RIPALTA;2018;23;0;7.4;0;0;34.4;0.4;4.2;0;0;6;0;0
RIPALTA;2018;24;0;0;0;0;0;0;0;0;2.8;0;3.4;0.6
RIPALTA;2018;25;0;4.6;5.4;0;0;0;0;0;0;0;2;0
RIPALTA;2018;26;0;1.2;1.8;0;0;0;0;56.2;0;0;0;0
RIPALTA;2018;27;0;0;0;0;0;0;0;3.8;0;0;18.8;0
RIPALTA;2018;28;0;1;0;0;0;2.2;0;0;0;1.6;0;0
RIPALTA;2018;29;0.2;NA;0;0;0;0;0;0;0;4.8;0;0
RIPALTA;2018;30;0.2;NA;0;0;0.2;0;0;0;0;0;0;16.4
RIPALTA;2018;31;0.2;NA;0.2;NA;0;NA;0;0;NA;0;NA;0
