stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
RODI GARGANICO;2018;1;0.6;0;15.4;0;0;0;0;0;0;0;1.4;0
RODI GARGANICO;2018;2;16.4;0;0;0;0;0.6;0;0;12;0;0.2;0
RODI GARGANICO;2018;3;0.6;2.2;31.2;0;10.4;0;0;0;0.2;0.8;0;0
RODI GARGANICO;2018;4;0;0.2;0.8;0;2.6;0;0;0;0;0;0;2.8
RODI GARGANICO;2018;5;0;0;5.2;0.6;0;0.6;0;0;0;7.6;0;0
RODI GARGANICO;2018;6;0;8.6;0.8;0;0;0;1.8;0;0;0.2;0;0
RODI GARGANICO;2018;7;0;3.6;4.6;0;0.6;0;0;0;0.2;1.2;0;0
RODI GARGANICO;2018;8;0;0.2;1.2;0;1.6;0.6;0;0;3;9;0;0.4
RODI GARGANICO;2018;9;0;0;0;0.4;0;0;0;0;0;0;0;0
RODI GARGANICO;2018;10;28.8;0;0;0;0;0;0;0;0;0;0;9.4
RODI GARGANICO;2018;11;0;0;0;0;0;0;0;0;0;0;0;6
RODI GARGANICO;2018;12;0;0;0;0;0;0;0;0;0;0;0;0
RODI GARGANICO;2018;13;0;4.2;4.2;0;0;2.6;0;0;0;0;0.2;0
RODI GARGANICO;2018;14;0;1;0;0;0;5.8;0;3.2;0;0;0;8.6
RODI GARGANICO;2018;15;0.4;0;0;0;1.2;74.4;0;0;0;0.2;0;6.4
RODI GARGANICO;2018;16;0;0;0.6;0;0.2;0;0;0;0;0;0;0
RODI GARGANICO;2018;17;5;0;0;0;0;0;1.6;0;0;0;0;15.6
RODI GARGANICO;2018;18;0.4;1.8;0.2;0;0;0;0;0;0;0;1;0
RODI GARGANICO;2018;19;0;6.6;0;0;0;0;0;0;0;0;3.8;0
RODI GARGANICO;2018;20;1.6;10.8;2.2;0;0;0;0;0;4.4;0;5.8;0.2
RODI GARGANICO;2018;21;0;27.6;7.6;0;0;0;0;0;0;9.4;17.2;1.4
RODI GARGANICO;2018;22;0;0;5.4;0;4;6;0;0;0;37.2;0;0
RODI GARGANICO;2018;23;0;0.6;5;0;16.2;0.8;44.8;0;0;0.6;0;0
RODI GARGANICO;2018;24;0;0;0;0;0;0;0;0.6;0.4;0;0;1.4
RODI GARGANICO;2018;25;0;16.8;5.2;0;0;0;0;0;0;0;4.2;0
RODI GARGANICO;2018;26;0;7.6;5;0;0;0;0;182.4;0;0;0.2;0
RODI GARGANICO;2018;27;0;1.2;0;0;0;1.4;0;5;0;0;38.4;0
RODI GARGANICO;2018;28;0;0.6;0;0;0;0;0;0;0;0;0.4;0
RODI GARGANICO;2018;29;0;NA;0;0;0;0.2;0;0;0;6.8;0;0
RODI GARGANICO;2018;30;0;NA;0;0;0;0;0;0;0;0;0;3.2
RODI GARGANICO;2018;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;1.6
