stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SANT'AGATA DI PUGLIA;2018;1;1.4;0;2;9.2;0;0;0;0;0;0.8;2;0.6
SANT'AGATA DI PUGLIA;2018;2;6;1;0;0;2;0;0;0;0.6;0.2;3.6;0.2
SANT'AGATA DI PUGLIA;2018;3;2.4;7.6;3.6;0;10;0;0;NA;0;0.4;0;0
SANT'AGATA DI PUGLIA;2018;4;0;0.8;2.2;0;0;0.2;0;NA;0;6.6;0.8;0
SANT'AGATA DI PUGLIA;2018;5;0;0;9;2.4;6;0;0;NA;0;3.2;0;0
SANT'AGATA DI PUGLIA;2018;6;0;10.4;0.6;0;0.4;0;6.8;NA;0;0;0;0
SANT'AGATA DI PUGLIA;2018;7;0;3.4;4;0;1;0;0;NA;2;0;0;0
SANT'AGATA DI PUGLIA;2018;8;0;0.2;0.2;0;27.8;0;0;33.8;0;0;0;4.8
SANT'AGATA DI PUGLIA;2018;9;0;0;0;0.8;2.2;0;0;13;0;0;0;0
SANT'AGATA DI PUGLIA;2018;10;11.6;0;0;0;0;0;0;0;0;0;0;5.4
SANT'AGATA DI PUGLIA;2018;11;0;0;2;0;2.4;0;0;1.6;0;0;0;0.8
SANT'AGATA DI PUGLIA;2018;12;8.6;0;2.6;0;1;0;0;0;0;0;0;0
SANT'AGATA DI PUGLIA;2018;13;0;0.4;1;0;0;0;0;0;0;0;0;0.2
SANT'AGATA DI PUGLIA;2018;14;0;0.2;0;0;0;37;0;13.8;0;0.2;0;2.8
SANT'AGATA DI PUGLIA;2018;15;0.2;1;0;0;4.6;5.8;0;44;0;1.6;0;0.4
SANT'AGATA DI PUGLIA;2018;16;0.2;0;0;34;0;0;0;0;0;0.2;0.6;0
SANT'AGATA DI PUGLIA;2018;17;2.6;0;1.8;0.2;0;0;2.6;0.2;0;0;0.2;5.4
SANT'AGATA DI PUGLIA;2018;18;0.2;3.6;1.4;0;0.8;0;0;0.6;0.4;0;4.2;0.2
SANT'AGATA DI PUGLIA;2018;19;0;3;1.2;0;0;0;0;1.6;30;0;4;0
SANT'AGATA DI PUGLIA;2018;20;1.2;13.6;5;0;0;0.2;0;0;0.8;0;11;0
SANT'AGATA DI PUGLIA;2018;21;1.4;3.8;9.8;0;0.8;0;0;9.2;5.2;1;0;0
SANT'AGATA DI PUGLIA;2018;22;0;0;2;0;29.6;5.2;0;9.6;0;22.8;0;0
SANT'AGATA DI PUGLIA;2018;23;2.4;2;1.8;0;16.2;0;32.4;13.8;0;7.2;0;0
SANT'AGATA DI PUGLIA;2018;24;0;23.4;12.8;0;0;0;0;0.8;0.8;0;0;0.4
SANT'AGATA DI PUGLIA;2018;25;0;0;5.4;0;0;0;0;0;0;0;8.6;0
SANT'AGATA DI PUGLIA;2018;26;0;0;0.6;0;0;0;0;0;0;0;2;0
SANT'AGATA DI PUGLIA;2018;27;0;1.8;0;0;0;0;1.4;0.2;0;0;30;0
SANT'AGATA DI PUGLIA;2018;28;0;1.4;0;0;0;0;0;0;0;0;0.2;0
SANT'AGATA DI PUGLIA;2018;29;0;NA;0;0.2;0;0;0;0;0;8.2;0;0
SANT'AGATA DI PUGLIA;2018;30;0;NA;0;0;1.4;0;0;0;0;0;0;0.4
SANT'AGATA DI PUGLIA;2018;31;0;NA;4;NA;0;NA;0;0;NA;0;NA;0.2
