stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SANT'ANGELO DEI LOMBARDI;2018;1;NA;NA;0.4;9;0;0;0;0;0.2;5.4;1.6;0
SANT'ANGELO DEI LOMBARDI;2018;2;NA;NA;3.2;0;0.4;0;0;2;14.8;0.6;12.4;0
SANT'ANGELO DEI LOMBARDI;2018;3;NA;NA;8.2;0;3.8;0;0;2;0;0;0;0.2
SANT'ANGELO DEI LOMBARDI;2018;4;NA;NA;1.4;0;1.2;0;0;0;0;4.4;2.2;0.6
SANT'ANGELO DEI LOMBARDI;2018;5;NA;NA;4.6;0;4;0;0;1.4;0;3.8;0;0
SANT'ANGELO DEI LOMBARDI;2018;6;NA;NA;9.4;0;0.2;0;0;1;0;0.2;0;0
SANT'ANGELO DEI LOMBARDI;2018;7;NA;NA;6;0;4.8;0;0;0.2;0;2;0.8;0
SANT'ANGELO DEI LOMBARDI;2018;8;NA;NA;0;0;18.6;0;0;0;0;0;0;3.4
SANT'ANGELO DEI LOMBARDI;2018;9;NA;NA;0;1.4;2;0;0;6.4;0;0;0;0
SANT'ANGELO DEI LOMBARDI;2018;10;NA;NA;0;0;0.2;0;0;0;0;0;0;4.4
SANT'ANGELO DEI LOMBARDI;2018;11;NA;NA;5.6;0;0;0;0;0;0;0;0;0.8
SANT'ANGELO DEI LOMBARDI;2018;12;NA;NA;15;0;40;0;0;0;0;0;0;0
SANT'ANGELO DEI LOMBARDI;2018;13;NA;NA;2.6;0;0;0;0;0;0;0;0;0.8
SANT'ANGELO DEI LOMBARDI;2018;14;NA;0.2;0;0;0;8.4;0;0.2;0;1.2;0;10.2
SANT'ANGELO DEI LOMBARDI;2018;15;NA;3;0;0;5.2;13.2;0;6.4;0;5.6;0.2;3
SANT'ANGELO DEI LOMBARDI;2018;16;NA;0.2;1;0.4;0;0.2;0;12.8;13.6;1;0.8;0.8
SANT'ANGELO DEI LOMBARDI;2018;17;NA;0;2.4;17.6;0;1.8;1;19;0;0.2;0.2;11.6
SANT'ANGELO DEI LOMBARDI;2018;18;NA;3.2;7.2;0;0.2;0;0;1;0;0;0.6;0
SANT'ANGELO DEI LOMBARDI;2018;19;NA;4.4;6.2;0;0;0;0;12.8;0.4;0.2;4.4;0
SANT'ANGELO DEI LOMBARDI;2018;20;NA;12.8;11.4;0;0;5.8;0;0.6;2.2;0;29.4;0.8
SANT'ANGELO DEI LOMBARDI;2018;21;NA;8.2;19.8;0;5.6;4.6;0;0;0;0.4;0;0.2
SANT'ANGELO DEI LOMBARDI;2018;22;NA;6.6;0;23;3.6;1.4;0;9;0;13.6;0.2;0
SANT'ANGELO DEI LOMBARDI;2018;23;NA;13.4;5.4;0;24.2;0.2;3;14.8;0;26.2;0;0
SANT'ANGELO DEI LOMBARDI;2018;24;NA;6;23.8;0;0;0;0;0;0.8;0.2;0;0.2
SANT'ANGELO DEI LOMBARDI;2018;25;NA;0;4.4;0;0;0;0;0;0;0;16;0
SANT'ANGELO DEI LOMBARDI;2018;26;NA;0;4.2;0;0.2;0;0;0;0;0;3.4;0
SANT'ANGELO DEI LOMBARDI;2018;27;NA;10.6;0.2;0;0;2.4;0;0;0;0;33.6;0
SANT'ANGELO DEI LOMBARDI;2018;28;NA;0;0;5;0;0;0;0;0;2.8;0;0.2
SANT'ANGELO DEI LOMBARDI;2018;29;NA;NA;0;2;0;0;0;0;0;40.6;0.2;0
SANT'ANGELO DEI LOMBARDI;2018;30;NA;NA;0;0;3.2;0;0;0;0;0.6;0;0
SANT'ANGELO DEI LOMBARDI;2018;31;NA;NA;10.4;NA;0;NA;0;0;NA;0;NA;1.6
