stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
TERTIVERI;2018;1;0.2;0;1.4;0.6;0;0;0;0;0;2;2;0.4
TERTIVERI;2018;2;0.4;3;0;0;0.6;0;0;0;0;1.6;7.6;0.2
TERTIVERI;2018;3;0.6;11.8;8.8;0;24.2;0;0;1.4;0;0;0.2;0
TERTIVERI;2018;4;0;0;2;0;6.2;0.2;0;0;0;4.4;4.2;0
TERTIVERI;2018;5;0;0;11.2;0;26.4;1.2;0;0;0;3.2;0.2;0
TERTIVERI;2018;6;0;8.8;3.2;0;0;0;1.6;0;0;0.2;0;0
TERTIVERI;2018;7;0;7.2;1;0;0.8;0;0;0;5;0;0;0
TERTIVERI;2018;8;0;0;0;0;36.6;0;0;0;0.2;0;0;3.8
TERTIVERI;2018;9;0;0;0;1.2;24.8;1.2;0;0;0;0;0;0
TERTIVERI;2018;10;10.8;0.2;0;0;0;0;0;0.2;0;0;0;9.8
TERTIVERI;2018;11;0;0;2.2;0.8;0;0;0;0;0;0;0;3.6
TERTIVERI;2018;12;9.2;0;3.2;0.6;0;0;0;11.2;0;0;0;0
TERTIVERI;2018;13;0;1.4;0;0;0;0;0;0;0;0;0;0.2
TERTIVERI;2018;14;0;0.4;0;0;0;33.2;0;14;0;0.2;0;1.2
TERTIVERI;2018;15;0.4;0;0;0;0.8;11.4;0;6.6;0;8.4;0.2;0.4
TERTIVERI;2018;16;0.2;0;0;0;0;0;0;1.8;0;1.8;1;0
TERTIVERI;2018;17;2.6;0;0;0;0;0;15.6;0;0;2.2;0;11.8
TERTIVERI;2018;18;0;3;2.2;1.8;0;0;0;0;2;0.2;1.8;0
TERTIVERI;2018;19;0;4.6;1.2;0;0;0;0.4;0;6.4;0;17.2;0
TERTIVERI;2018;20;3.8;19;9.2;0;0;1;0;0.4;13.2;0;14.4;0
TERTIVERI;2018;21;1.2;14.4;9.8;0;7.4;0;0;0;0;8.4;0.2;0.2
TERTIVERI;2018;22;0;0;3.2;0;21.4;16;0;0;0.2;66;0;0
TERTIVERI;2018;23;0.4;7.6;2;0;42.2;0.4;7;0;0;4.4;0.2;0
TERTIVERI;2018;24;0;3.8;0;0;0;0;0;1.2;2.8;0;0;2.2
TERTIVERI;2018;25;0;1.6;10;0;0;0;0;0;0;0.2;4.4;0
TERTIVERI;2018;26;0;1.2;2.8;0;0;32.8;0;0;0;0;0;0
TERTIVERI;2018;27;0;5;0;0;0;0;5.4;0;0;0;38.2;0
TERTIVERI;2018;28;0;0;0;1.2;0;0;0.2;0;0;1.6;0.2;0
TERTIVERI;2018;29;0;NA;0;0;0;0.2;0;0;0;7;0;0
TERTIVERI;2018;30;0;NA;0;0;0.2;0;0;0;0;0;0;9.8
TERTIVERI;2018;31;0;NA;7;NA;0.2;NA;0;0;NA;0;NA;0.4
