stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
VICO DEL GARGANO;2018;1;0.4;0;27.2;0;0;0;0;0;0;0;0;0
VICO DEL GARGANO;2018;2;15.4;0;0;0;0.8;1.8;0;0;0;0;0.2;0
VICO DEL GARGANO;2018;3;0.8;2.4;20.4;0;20;0;0;0;0;0;0.2;0.2
VICO DEL GARGANO;2018;4;0;0.6;0.6;0;6;0;0;0;0;0;0;2.8
VICO DEL GARGANO;2018;5;0;0;4.4;0.2;0;16;0;0;0;8.2;0;0
VICO DEL GARGANO;2018;6;0;15.2;0.2;0;3.4;0.2;7;0;0;0.4;0;0
VICO DEL GARGANO;2018;7;0;4.2;5.4;0;0.2;0;2.4;0;12.6;34;0;0
VICO DEL GARGANO;2018;8;0;0;3.4;0;1.8;20;0;0;4.4;21.6;0;0.4
VICO DEL GARGANO;2018;9;0;0;0;2;0;1.6;0;0;0.2;0.2;0.2;0
VICO DEL GARGANO;2018;10;21.8;0.2;0;0;0.2;0;0;0;0.2;0.4;0;11.4
VICO DEL GARGANO;2018;11;0;0;0.4;0;0;0;0;0;0.2;0;0;7
VICO DEL GARGANO;2018;12;0;0;0.6;0;0;0;0;0;0.2;0;0.2;0
VICO DEL GARGANO;2018;13;0.4;17.2;7.2;0;0;1;0;0;0;0.4;0;0.2
VICO DEL GARGANO;2018;14;0;1.4;0;0;0;2.6;0;14.8;0;0.2;0;9.6
VICO DEL GARGANO;2018;15;0.2;0;0.4;0;1.6;24;0;0;0;0.4;0.2;16.8
VICO DEL GARGANO;2018;16;0;0;0.8;0;0;0;0;0;0;0.4;0;0.2
VICO DEL GARGANO;2018;17;6.2;0.2;0;0.2;0;0;3.4;0;0;0.2;0.2;23.2
VICO DEL GARGANO;2018;18;0;0.8;0.8;1.4;0.2;0;0;0;11.4;0;1.4;0
VICO DEL GARGANO;2018;19;0;12.4;0;0;0.2;0;0;0;0.2;0.2;7.8;0
VICO DEL GARGANO;2018;20;1.4;9.8;6.2;0;0;0;0;0;9;0.2;8;0
VICO DEL GARGANO;2018;21;0.4;22.8;11.8;0;0;0;0;0;1;10;14;1
VICO DEL GARGANO;2018;22;0;0;14.4;0;3.4;17.2;0;0;0;30.8;0.2;0
VICO DEL GARGANO;2018;23;0;7.6;18.2;0;30.2;0.4;57;0;0;3.4;0.2;0
VICO DEL GARGANO;2018;24;0;0;0;0;0;0;0;1.8;2.8;0;0;4.6
VICO DEL GARGANO;2018;25;0;35.8;12.8;0;0;0;0;0.2;0;0;2.8;0
VICO DEL GARGANO;2018;26;0;0.2;6.8;0;0;0;0;88.2;0;0;0.4;0
VICO DEL GARGANO;2018;27;0;0;0;0;0;2.6;0;4.8;0;0;57.6;0
VICO DEL GARGANO;2018;28;0;0;0;0;0;0.2;0;0;0;0.4;3.8;0
VICO DEL GARGANO;2018;29;0.2;NA;0;0;0;0.4;0;0;0.2;18.8;0;0
VICO DEL GARGANO;2018;30;0;NA;0;0;0;0;0;0;0;0;0;23
VICO DEL GARGANO;2018;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;1.6
