stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
VIGNACASTRISI;2018;1;0.2;1.4;1.8;0.8;0;0;0;0;0;0;1.4;0.6
VIGNACASTRISI;2018;2;1.8;12.8;2.8;0;0.8;0;0;0;0;37.4;0.2;18.6
VIGNACASTRISI;2018;3;2.4;6.4;0;0;5.4;0.2;0;0;0;9;0.4;1.8
VIGNACASTRISI;2018;4;0.6;0;0;0;1.2;0;0;0;0;0;2;0.4
VIGNACASTRISI;2018;5;0;0;23.2;1.6;0.2;0.2;0;0;1.8;43;9;4.8
VIGNACASTRISI;2018;6;0;0;0.2;0.2;0;0;0;0;0;13;1.8;0
VIGNACASTRISI;2018;7;0;1;2.2;0;0;0;0;0;2.2;0.2;8.6;0
VIGNACASTRISI;2018;8;0;0;0;0;0;0;0;0;0;0.6;0.2;0.8
VIGNACASTRISI;2018;9;0;0;0;0.2;0;0;0;0;0;0.2;0.4;0.4
VIGNACASTRISI;2018;10;44.2;35.2;0;0;0;0;0;0;0;0.2;0.2;0
VIGNACASTRISI;2018;11;0;0.8;0;0;0;0;0;0;0;0.2;0;2.4
VIGNACASTRISI;2018;12;12.6;0;0;0;0;0;0;0;0;0.2;0.6;0
VIGNACASTRISI;2018;13;3.8;31.2;0;0.2;0.2;0;0;0;0;0;0.6;11.6
VIGNACASTRISI;2018;14;0;22.4;0;0.2;0.2;12;0;0;0;0.2;0.2;0
VIGNACASTRISI;2018;15;0;25.6;0;0;1;3.8;0;1.4;9.6;0;0.2;8.4
VIGNACASTRISI;2018;16;0;0;2;0;0;11;0;14.2;0;0;20.8;1
VIGNACASTRISI;2018;17;0.4;0;0;0;0;0;0;0;0;0;20;23.4
VIGNACASTRISI;2018;18;0.6;0.4;0.8;0;1.4;0;0;0;0;0.2;24.2;1.4
VIGNACASTRISI;2018;19;0;23.4;17.6;0;0;0;0;0;0;0.4;4.4;0
VIGNACASTRISI;2018;20;0;13.2;12.4;0;0.2;0;0;0;0;0.4;38.2;0
VIGNACASTRISI;2018;21;7.6;13;3;0;0;0;0;0;0;0;2.4;0.2
VIGNACASTRISI;2018;22;0;1;2.2;0;0;0;0;0;0;113.4;0.4;0
VIGNACASTRISI;2018;23;0;0.8;0.8;0.4;15;4.8;1.2;0;0;0.2;0.2;0.2
VIGNACASTRISI;2018;24;0;4.2;0.4;0;0;0;0;0;0;0;0.2;0.2
VIGNACASTRISI;2018;25;0;43.2;20.8;0;0.2;0;0;0;2.4;0;45.6;0.2
VIGNACASTRISI;2018;26;0;36.2;1.6;0;0;31.8;0;0;0;0;3;0
VIGNACASTRISI;2018;27;0;4.8;2.8;0;0;13.4;0;11.4;0;0.2;4.2;0
VIGNACASTRISI;2018;28;0;0;0;0;0;1.8;0.2;0.2;0;2.2;3;0
VIGNACASTRISI;2018;29;0.4;NA;0;0;0;0;0;0;0;0;0;0
VIGNACASTRISI;2018;30;0.2;NA;0.2;0;0;0;0;0;0;0.8;0;0.2
VIGNACASTRISI;2018;31;0;NA;0;NA;0;NA;0;0;NA;1;NA;0
