stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
AVETRANA;2019;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;2;3.2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;3;1.4;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;4;5.4;13.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;5;4.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;6;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;7;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;8;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;9;7.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;10;4.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;13;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;14;2.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;15;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;16;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;17;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;19;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;20;0.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;21;0.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;22;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;23;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;24;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;25;4.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;26;0.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;27;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;28;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;29;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;30;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVETRANA;2019;31;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
