stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BRINDISI;2019;1;0;0;0;0;0;0;0;0;0;0;0;0
BRINDISI;2019;2;5.4;0.2;0;0;0;0;0;0;0.2;2.8;9.8;0
BRINDISI;2019;3;0.8;0;0;0;0;0;0;0;0.4;4.6;0;0
BRINDISI;2019;4;7.8;1.4;0;0.4;15.8;0;0;0;0;7;0.2;0
BRINDISI;2019;5;3;0.2;0;0.8;0.2;2;0;0;0;0;0;0
BRINDISI;2019;6;1;0;0;0;2.4;0;0;0;1.6;0;4.2;18.8
BRINDISI;2019;7;0;0;0;9.2;2.8;0;0;0;0.4;0;13.2;0
BRINDISI;2019;8;0;0;0;5.4;0;0;0;0;0;0;0;0.2
BRINDISI;2019;9;3.6;0;0;0;0;0;6;0;0;0;16.4;0
BRINDISI;2019;10;12.6;0;0;1.4;0;0;42.4;0;0;0;0;5
BRINDISI;2019;11;1.6;0.2;0;0;0;0;0;0;0;0;0.8;2
BRINDISI;2019;12;0;0.4;11.6;0;29.4;0;0.2;0;0;0;39.8;0
BRINDISI;2019;13;0;0;0;1.6;1.8;0;8.8;0;0;0;0.8;4.6
BRINDISI;2019;14;0.6;0;4.8;0.4;3;0;0;0;0;0;0;0.2
BRINDISI;2019;15;0;0.4;0;0;0.4;0;0;0;0;0;0;0
BRINDISI;2019;16;0;0;0;0;4;0;10.8;0;0;5;0;0
BRINDISI;2019;17;0;0;0;0;0;0;0;0;0;0;3.4;0
BRINDISI;2019;18;0;0;0;0;0;0;0;0;0;0;0.2;0
BRINDISI;2019;19;0.2;0;0;0;0;0;0;0;7.4;0;6.8;0.6
BRINDISI;2019;20;0;0;0;0;0;0;0;0;0;0;3;0.4
BRINDISI;2019;21;0;0;0;0;0;0;0;0;0;0;0;0
BRINDISI;2019;22;0.8;0;0;0;0;0;0;0;0;0;0;5.8
BRINDISI;2019;23;0;1.2;0;0;0;0;0;0;0;0;0;8
BRINDISI;2019;24;11;0;0;0;0;0;0;0;0;0;13;0.2
BRINDISI;2019;25;4.8;0;0;0;0;0;0;0;0;0;0.8;0
BRINDISI;2019;26;0;0;0;0;1;0;0;0;0;0;0;0
BRINDISI;2019;27;0;0;13.2;2;1.8;0;0;0;0;0;0;0
BRINDISI;2019;28;0;0;8.4;0;0;0;0;0;0;0;2;5.8
BRINDISI;2019;29;0;NA;0;0;0;0;0;0;0;0;0;0
BRINDISI;2019;30;0.4;NA;0;0;0;0;0.2;0;0;0;0.2;0
BRINDISI;2019;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
