stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CANDELA;2019;1;0.2;0;0;0;2.8;3;0;0;0.8;0;9.4;0
CANDELA;2019;2;4.8;0;0;0;0;0.4;0;0;1.6;0;0;0
CANDELA;2019;3;0.2;0;0;0;0;0;0;0;0;6.4;4.6;0
CANDELA;2019;4;0.2;30;0;0;3.6;0;22.4;0;0;0;1.8;0
CANDELA;2019;5;1.4;0;0;1.2;1;0;0;0;3;0;0;0.4
CANDELA;2019;6;2.2;0.2;0;1;1.8;0;0;0;0;0;4.2;0.4
CANDELA;2019;7;1.4;0;0;0;0.2;0;0;0;0;26.8;0.2;0
CANDELA;2019;8;0;0;0;8;0;0;0;0;0;0;0.4;0
CANDELA;2019;9;4;0;0;3;0;0.4;0;0;0;0;8.2;0
CANDELA;2019;10;3.6;0;0;0.2;0;0;12.6;0;0;0;0;5.8
CANDELA;2019;11;0.6;6;2.4;6;0;0;0;0;0;0;2.2;0
CANDELA;2019;12;0.2;0.4;7.2;22.6;11.8;0;10.8;0;0;0;15.4;0.2
CANDELA;2019;13;0;0;0;0;8;0;16.4;0;0;0;1.2;4
CANDELA;2019;14;10.2;0;4.2;8.6;4.4;0;0;0;0;0;0.2;1.8
CANDELA;2019;15;3.8;2.4;0;2.6;6.2;0;0;0;0;0.2;0;0
CANDELA;2019;16;0.2;0;0;4.4;9;0;29.8;0;0;0;0;0
CANDELA;2019;17;0;0;0;0;0;0;0;0;0;0;8.6;0
CANDELA;2019;18;0;0;0;0;0.4;15.4;0;0;0;0;0;0
CANDELA;2019;19;0;0;1.4;0;0.8;0;0;0;4.4;0;0;2.2
CANDELA;2019;20;0;0;9.2;0;2;0;0;0;0.4;0;0;1.4
CANDELA;2019;21;1.4;0;0;0;0.2;0;0;0;0;0;0;0
CANDELA;2019;22;3.6;0;0;0.6;0;0;0;0;0;0;0;3.8
CANDELA;2019;23;0;0.2;0;0.2;1.4;0;0;27.8;1.4;0;0;0.4
CANDELA;2019;24;21.4;0;0;0;0;0;0;0.2;0;0;14.4;0.2
CANDELA;2019;25;34.2;1.2;0;0;0;0;0;0.4;0;0;8;0
CANDELA;2019;26;0;0;2.4;0;14.8;0;0;0;0;0;1.6;0
CANDELA;2019;27;0.2;0;1.2;0;0.8;0;0;0;0;0;0;0
CANDELA;2019;28;7.4;0;0.2;0;0.8;0;1;0.2;0;0;0.8;2.4
CANDELA;2019;29;1.2;NA;0;6.6;0;0;0;0;0;0;0;0
CANDELA;2019;30;2.8;NA;0;0;5.8;0;0;0;0;0;1.4;0.4
CANDELA;2019;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
